TS	4/4	
Bar	[3.0, 3.75]	[67, 72]
Grp	0.0	
Bar	[0.0, 1.5, 2.0, 3.0, 3.75]	[70, 60, 63, 65, 65]
Bar	[0.0, 2.0, 3.5]	[66, 65, 65]
Bar	[0.0, 1.0, 1.5, 2.0]	[67, 68, 65, 70]
Grp	0.0	
Bar	[0.5, 0.75, 1.0, 2.0, 2.5, 3.0]	[70, 70, 75, 75, 68, 73]
Bar	[0.0, 0.5, 1.0, 3.0, 3.5]	[73, 66, 71, 70, 78]
Bar	[0.0, 1.0, 1.5, 2.0]	[73, 73, 66, 70]
Bar	[0.0, 3.0, 3.75]	[70, 67, 72]
Grp	0.0	
Bar	[0.0, 1.5, 2.0, 3.0, 3.75]	[70, 60, 63, 65, 65]
Bar	[0.0, 1.0, 2.0, 3.5]	[66, 66, 65, 65]
Bar	[0.0, 0.5, 1.0, 1.5, 2.0]	[67, 67, 68, 65, 70]
Grp	0.0	
Bar	[0.5, 1.0, 2.5, 3.0]	[70, 76, 68, 73]
Bar	[0.0, 0.5, 1.0, 2.0, 3.0, 3.5]	[73, 66, 71, 71, 70, 78]
Bar	[0.0, 1.0, 2.5, 3.5]	[73, 73, 70, 70]
Bar	[0.0]	[70]
