TS	4/4	
Bar	[1.0, 1.5, 2.0, 2.5, 3.0, 3.5]	[65, 67, 69, 72, 74, 77]
Grp	0.0	
Bar	[0.0]	[79]
Bar	[0.0, 1.0, 1.5, 2.0, 2.5, 3.0, 3.5]	[79, 77, 79, 77, 76, 74, 72]
Bar	[0.0, 1.0, 1.5, 2.0]	[69, 74, 69, 69]
Bar	[0.0, 1.0, 1.5, 2.0, 2.5, 3.0, 3.5]	[69, 69, 72, 74, 68, 67, 65]
Grp	0.0	
Bar	[0.0, 2.0, 2.5, 3.0, 3.5]	[62, 62, 65, 69, 72]
Bar	[0.0, 3.0]	[76, 74]
Bar	[0.0, 2.0]	[70, 64]
Bar	[0.0, 1.0, 1.5, 2.0, 2.5, 3.0, 3.5]	[67, 65, 67, 69, 72, 74, 77]
Bar	[0.0]	[65]
Grp	0.0	
Bar	[0.0, 1.0, 1.5, 2.0, 2.5, 3.0, 3.5]	[72, 70, 72, 75, 73, 72, 70]
Bar	[0.0, 1.0, 1.5, 2.0, 2.5, 3.0, 3.5]	[65, 63, 65, 66, 68, 65, 63]
Bar	[0.0, 2.0, 2.6666666666666643, 3.3333333333333357]	[61, 66, 67, 70]
Bar	[0.0, 0.6666666666666643, 1.3333333333333357, 2.0, 2.6666666666666643, 3.3333333333333357]	[71, 72, 75, 75, 77, 80]
Grp	0.0	
Bar	[0.0, 1.0, 1.5, 2.0, 2.5, 3.0, 3.5]	[72, 70, 72, 75, 73, 72, 70]
Bar	[0.0, 1.0, 1.5, 2.0, 2.5, 3.0, 3.5]	[65, 63, 65, 66, 68, 65, 63]
Bar	[0.0]	[60]
Bar	[1.0, 1.5, 2.0, 2.5, 3.0, 3.5]	[65, 67, 69, 72, 74, 77]
Grp	0.0	
Bar	[0.0]	[79]
Bar	[0.0, 1.0, 1.5, 2.0, 2.5, 3.0, 3.5]	[79, 77, 79, 77, 76, 74, 72]
Bar	[0.0, 1.0, 1.5, 2.0]	[69, 74, 69, 69]
Bar	[0.0, 1.0, 1.5, 2.0, 2.5, 3.0, 3.5]	[69, 69, 72, 74, 68, 67, 65]
Grp	0.0	
Bar	[0.0, 2.0, 2.5, 3.0, 3.5]	[62, 62, 65, 69, 72]
Bar	[0.0, 3.0]	[76, 74]
Bar	[0.0, 2.0]	[70, 64]
Bar	[0.0]	[65]
