TS	3/4	
Grp	0.0	
Bar	[0.0]	[72]
Bar	[0.0]	[65]
Bar	[0.0]	[70]
Bar	[0.0]	[64]
Bar	[0.0]	[69]
Bar	[0.0]	[69]
Grp	0.0	
Bar	[1.0, 2.0]	[67, 65]
Bar	[0.0, 1.0, 2.0]	[64, 65, 67]
Bar	[0.0, 2.0]	[69, 67]
Bar	[0.0, 1.0, 2.0]	[65, 67, 69]
Grp	0.0	
Bar	[0.0, 2.0]	[70, 69]
Bar	[0.0, 1.0, 2.0]	[67, 69, 70]
Bar	[0.0]	[72]
Bar	[0.0]	[72]
Bar	[0.0]	[72]
Bar	[0.0]	[72]
Grp	0.0	
Bar	[0.0, 2.0]	[71, 69]
Bar	[0.0, 1.0, 2.0]	[68, 69, 71]
Bar	[0.0]	[73]
Bar	[0.0]	[73]
Bar	[0.0]	[73]
Bar	[1.0]	[73]
Grp	0.0	
Bar	[0.0]	[74]
Bar	[0.0, 2.0]	[74, 72]
Bar	[0.0]	[74]
Bar	[0.0, 2.0]	[74, 72]
Bar	[0.0, 1.0, 2.0]	[74, 72, 70]
Bar	[0.0, 1.0, 2.0]	[69, 68, 67]
Bar	[0.0, 2.0]	[69, 65]
Bar	[0.0, 1.0, 2.0]	[74, 72, 70]
Grp	0.0	
Bar	[0.0]	[69]
Bar	[0.0, 1.0, 2.0]	[67, 69, 67]
Bar	[0.0, 1.0, 2.0]	[65, 69, 72]
Bar	[0.0, 1.0, 2.0]	[76, 77, 76]
Bar	[0.0]	[72]
Bar	[0.0]	[72]
Bar	[0.0]	[72]
Bar	[0.0]	[72]
Grp	0.0	
Bar	[0.0, 1.0, 2.0]	[70, 69, 67]
Bar	[0.0, 1.0, 2.0]	[69, 70, 72]
Bar	[0.0]	[74]
Bar	[0.0]	[74]
Bar	[1.0, 2.0]	[76, 74]
Grp	0.0	
Bar	[0.0, 1.0, 2.0]	[76, 74, 76]
Bar	[0.0]	[72]
Bar	[0.0]	[72]
Bar	[1.0, 2.0]	[72, 70]
Grp	0.0	
Bar	[0.0, 1.0, 2.0]	[72, 70, 72]
Bar	[0.0]	[69]
Bar	[1.0, 2.0]	[67, 65]
Bar	[0.0, 1.0, 2.0]	[67, 65, 67]
Bar	[0.0, 1.0, 2.0]	[65, 67, 65]
Bar	[0.0]	[74]
Bar	[0.0]	[64]
Bar	[0.0]	[65]
Bar	[0.0]	[65]
Bar	[0.0]	[65]
Bar	[0.0]	[65]
