TS	2/4	
Bar	[1.5]	[79]
Grp	0.0	
Bar	[0.0, 0.5, 1.0, 1.5]	[79, 77, 76, 74]
Bar	[0.0, 0.25, 0.5, 1.0, 1.25, 1.5]	[77, 76, 74, 74, 73, 70]
Bar	[0.0, 0.25, 0.5, 1.0, 1.25, 1.5]	[74, 73, 70, 70, 69, 67]
Bar	[0.0, 0.25, 0.5, 1.5]	[73, 76, 74, 79]
Grp	0.0	
Bar	[0.0, 0.5, 1.0, 1.5]	[79, 77, 76, 74]
Bar	[0.0, 0.25, 0.5, 1.0, 1.25, 1.5]	[77, 76, 74, 74, 73, 70]
Bar	[0.0, 0.25, 0.5, 1.0, 1.25, 1.5, 1.75]	[74, 73, 70, 70, 69, 67, 66]
Bar	[0.0, 0.5, 1.5]	[67, 62, 79]
Bar	[0.0, 0.5, 1.0]	[67, 62, 67]
Grp	0.0	
Bar	[0.0, 0.5, 1.5]	[62, 67, 70]
Bar	[0.0, 0.5, 1.0, 1.25, 1.5]	[73, 74, 70, 69, 67]
Bar	[0.0, 0.5, 1.0, 1.25, 1.5, 1.75]	[73, 74, 77, 76, 74, 73]
Bar	[0.0, 0.25, 0.5, 0.75, 1.0, 1.25, 1.5, 1.75]	[74, 79, 77, 76, 74, 73, 74, 79]
Grp	0.0	
Bar	[0.0, 0.5, 1.0, 1.5]	[79, 77, 76, 74]
Bar	[0.0, 0.5, 1.0, 1.5]	[73, 70, 69, 71]
Bar	[0.0, 0.5, 1.0, 1.5]	[72, 72, 71, 74]
Bar	[0.0, 0.25, 0.5, 0.75, 1.0, 1.25, 1.5, 1.75]	[72, 67, 66, 67, 69, 70, 71, 72]
Grp	0.0	
Bar	[0.0, 0.5, 1.5]	[73, 74, 74]
Bar	[0.0, 0.25, 0.5, 1.0, 1.25, 1.5]	[74, 73, 70, 70, 69, 67]
Bar	[0.0, 0.5, 1.0, 1.5]	[67, 69, 70, 71]
Bar	[0.0, 0.25, 0.5, 0.75, 1.0, 1.25, 1.5]	[72, 78, 79, 74, 75, 71, 72]
Grp	0.0	
Bar	[0.0, 0.5, 1.5]	[73, 74, 74]
Bar	[0.0, 0.25, 0.5, 1.0, 1.5]	[74, 73, 70, 73, 74]
Bar	[0.0, 0.25, 0.5, 0.75, 1.0, 1.25, 1.5, 1.75]	[77, 76, 74, 73, 70, 69, 67, 66]
Bar	[0.0, 0.25, 0.5, 0.75, 1.0, 1.25, 1.5, 1.75]	[67, 69, 70, 73, 74, 76, 77, 78]
Grp	0.0	
Bar	[0.0, 1.0]	[79, 77]
Bar	[0.0, 0.25, 0.5]	[76, 77, 74]
Bar	[0.0, 0.25, 0.5, 1.0, 1.5]	[76, 77, 74, 73, 73]
Bar	[0.0, 0.25, 0.5, 0.75, 1.0, 1.25, 1.5, 1.75]	[74, 66, 67, 69, 70, 73, 74, 76]
Grp	0.0	
Bar	[0.0, 1.0, 1.5]	[77, 76, 74]
Bar	[0.0, 0.25, 0.5, 1.0, 1.25, 1.5]	[73, 74, 70, 73, 74, 70]
Bar	[0.0, 0.5, 1.0, 1.25, 1.5, 1.75]	[73, 74, 70, 69, 67, 66]
Bar	[0.0, 0.25, 0.5, 0.75, 1.0, 1.25, 1.5, 1.75]	[67, 69, 70, 73, 74, 76, 77, 78]
Bar	[0.0, 0.5, 1.0, 1.5]	[67, 62, 67, 79]
