TS	2/4	
Grp	0.0	
Bar	[0.5, 1.0, 1.25, 1.5, 1.75]	[71, 71, 70, 73, 71]
Bar	[0.0, 1.0]	[71, 70]
Bar	[0.5, 1.0, 1.25, 1.5, 1.75]	[69, 69, 68, 71, 69]
Bar	[0.0, 1.0]	[69, 67]
Bar	[0.5, 1.0, 1.25, 1.5, 1.75]	[67, 69, 67, 62, 64]
Bar	[0.0, 0.5, 1.0, 1.5]	[66, 69, 73, 71]
Bar	[0.0, 0.5, 0.75, 1.0, 1.5]	[69, 66, 62, 59, 67]
Bar	[0.0]	[64]
Grp	0.0	
Bar	[0.0, 0.75, 1.0, 1.25, 1.5, 1.75]	[62, 57, 62, 66, 69, 73]
Bar	[0.0, 0.5, 1.0, 1.5, 1.75]	[71, 69, 69, 66, 64]
Bar	[0.0, 0.5, 0.75, 1.0, 1.5, 1.75]	[64, 62, 62, 62, 59, 62]
Bar	[0.0]	[69]
Grp	0.0	
Bar	[0.5, 0.75, 1.0, 1.5, 1.75]	[67, 67, 67, 66, 67]
Bar	[0.0, 0.5, 0.75, 1.0, 1.5, 1.75]	[66, 66, 64, 64, 62, 59]
Bar	[0.0, 0.5, 0.75, 1.0, 1.5, 1.75]	[66, 66, 64, 62, 58, 59]
Bar	[0.0]	[64]
Grp	0.0	
Bar	[0.5, 1.0, 1.25, 1.5, 1.75]	[57, 62, 66, 69, 73]
Bar	[0.0, 0.5, 0.75, 1.0, 1.5, 1.75]	[71, 69, 69, 69, 68, 66]
Bar	[0.0, 0.5, 0.75, 1.0, 1.5, 1.75]	[69, 69, 69, 69, 68, 66]
Bar	[0.0]	[73]
Grp	0.0	
Bar	[0.5, 0.75, 1.0, 1.5, 1.75]	[73, 74, 73, 65, 66]
Bar	[0.0, 1.0]	[73, 71]
Bar	[0.5, 0.75, 1.0, 1.5, 1.75]	[71, 73, 71, 63, 64]
Bar	[0.0, 1.0]	[71, 70]
Bar	[0.0, 0.75, 1.0, 1.25, 1.5, 1.75]	[69, 57, 66, 66, 66, 64]
Grp	0.0	
Bar	[0.0, 1.0]	[67, 66]
Bar	[0.5, 1.0, 1.25, 1.5, 1.75]	[66, 66, 64, 64, 66]
Bar	[0.0, 1.0]	[64, 62]
Bar	[0.5, 1.0, 1.25, 1.5, 1.75]	[62, 62, 62, 62, 62]
Bar	[0.0, 1.0]	[71, 71]
Bar	[0.5, 1.0, 1.25, 1.5, 1.75]	[71, 71, 69, 72, 71]
Grp	0.0	
Bar	[0.0]	[71]
Bar	[0.5, 1.0, 1.25, 1.5, 1.75]	[71, 71, 69, 63, 64]
Bar	[0.0, 1.0]	[71, 69]
Bar	[0.5, 1.0, 1.25, 1.5, 1.75]	[67, 67, 66, 60, 61]
Bar	[0.0, 1.0]	[64, 62]
Bar	[0.5, 1.0, 1.25, 1.5, 1.75]	[62, 64, 62, 61, 62]
Bar	[0.0, 1.0]	[66, 66]
Bar	[0.5, 1.0, 1.25, 1.5, 1.75]	[62, 64, 62, 61, 62]
Grp	0.0	
Bar	[0.0]	[69]
Bar	[0.5, 1.0, 1.25, 1.5, 1.75]	[57, 66, 66, 66, 64]
Bar	[0.0, 1.0]	[67, 66]
Bar	[0.5, 1.0, 1.25, 1.5, 1.75]	[66, 66, 64, 64, 66]
Grp	0.0	
Bar	[0.0, 1.0]	[64, 62]
Bar	[0.5, 1.0, 1.25, 1.5, 1.75]	[62, 62, 62, 62, 62]
Bar	[0.0, 1.0]	[71, 71]
Bar	[0.5, 1.0, 1.25, 1.5, 1.75]	[71, 71, 69, 72, 71]
Grp	0.0	
Bar	[0.0]	[71]
Bar	[0.5, 1.0, 1.25, 1.5, 1.75]	[71, 71, 70, 73, 71]
Bar	[0.0, 1.0]	[71, 70]
Bar	[0.5, 1.0, 1.25, 1.5, 1.75]	[69, 69, 68, 71, 69]
Bar	[0.0, 1.0]	[69, 67]
Bar	[0.5, 1.0, 1.25, 1.5, 1.75]	[67, 69, 67, 62, 64]
Bar	[0.0, 0.5, 1.0, 1.5]	[66, 69, 73, 71]
Bar	[0.0, 0.5, 0.75, 1.0, 1.5]	[69, 66, 62, 59, 67]
Bar	[0.0]	[64]
Bar	[0.0]	[62]
Bar	[0.5, 1.0, 1.25, 1.5, 1.75]	[57, 66, 66, 66, 64]
Bar	[0.0]	[62]
Bar	[0.0]	[62]
