TS	4/4	
Bar	[3.0]	[67]
Grp	0.0	
Bar	[0.0, 1.5, 2.0, 3.0]	[75, 72, 67, 75]
Bar	[0.0, 1.5, 2.0, 3.0]	[67, 67, 72, 75]
Bar	[2.0, 2.5, 3.0, 3.5]	[80, 79, 77, 75]
Bar	[0.0, 3.5]	[74, 67]
Grp	0.0	
Bar	[0.0, 3.0, 3.5]	[75, 75, 72]
Bar	[0.0, 3.0]	[75, 72]
Bar	[]	[]
Bar	[]	[]
Bar	[]	[]
Bar	[3.0]	[67]
Bar	[1.0, 1.5, 2.0, 3.0, 3.5]	[67, 68, 70, 67, 68]
Grp	0.0	
Bar	[0.0]	[65]
Bar	[1.0, 1.5, 2.0, 3.0, 3.5]	[69, 70, 72, 69, 70]
Bar	[0.0]	[67]
Bar	[3.0]	[67]
Grp	0.0	
Bar	[0.0, 1.5, 2.0, 3.0]	[75, 72, 67, 75]
Bar	[0.0, 1.5, 2.0, 3.0]	[67, 67, 72, 75]
Bar	[0.0]	[68]
Bar	[0.0, 3.5]	[67, 67]
Grp	0.0	
Bar	[0.0, 3.0, 3.5]	[75, 75, 72]
Bar	[0.0, 3.0]	[75, 72]
Bar	[]	[]
Bar	[]	[]
Bar	[0.0, 1.5, 2.0, 2.5, 3.0]	[68, 66, 65, 63, 61]
Bar	[0.0]	[70]
