TS	2/2	
Grp	0.0	
Bar	[0.0, 1.75]	[72, 71]
Bar	[0.0, 1.0, 2.0, 3.0]	[76, 74, 74, 72]
Bar	[0.0, 2.0, 2.666666666666666, 3.333333333333334]	[72, 72, 69, 72]
Bar	[0.0, 1.0, 2.0, 3.0, 3.5]	[76, 74, 74, 72, 69]
Bar	[0.0, 2.5, 3.0, 3.5]	[72, 69, 72, 69]
Bar	[0.0, 1.0, 1.5, 2.0]	[76, 74, 74, 74]
Bar	[0.0, 1.5, 2.0]	[71, 69, 67]
Bar	[0.0]	[67]
Grp	0.0	
Bar	[1.0, 1.5, 2.0, 3.0]	[71, 71, 71, 71]
Bar	[0.0, 1.0, 1.5, 2.0, 3.0]	[71, 71, 71, 71, 71]
Bar	[0.0, 1.0, 1.5, 2.0, 3.0]	[71, 71, 71, 71, 74]
Bar	[0.0]	[71]
Grp	0.0	
Bar	[0.5, 1.0, 1.5, 2.0, 3.0]	[70, 71, 70, 71, 70]
Bar	[0.0, 1.0, 2.0, 2.5]	[71, 70, 71, 71]
Bar	[0.0, 1.0, 2.0, 2.5, 3.5]	[72, 72, 72, 72, 71]
Bar	[0.0]	[71]
Grp	0.0	
Bar	[1.0, 2.0, 3.0]	[70, 71, 70]
Bar	[0.0, 1.0, 1.5, 2.0, 3.0]	[71, 71, 71, 71, 71]
Bar	[0.0, 1.0, 2.0, 3.0, 3.5]	[71, 71, 71, 74, 71]
Bar	[0.0, 2.0, 2.5, 3.0]	[71, 71, 69, 67]
Grp	0.0	
Bar	[0.5, 1.0, 1.5, 2.0, 3.5]	[70, 71, 70, 71, 70]
Bar	[0.0, 0.5, 1.0, 3.5]	[71, 70, 71, 67]
Bar	[0.0, 1.0, 2.0, 3.0, 3.5]	[72, 72, 72, 72, 71]
Bar	[0.0]	[71]
Grp	0.0	
Bar	[0.0, 1.0, 2.0, 3.0]	[74, 74, 74, 74]
Bar	[0.0, 1.0, 2.0, 3.0]	[72, 72, 71, 69]
Bar	[0.0, 2.0, 3.0]	[72, 71, 69]
Bar	[0.0, 2.0, 2.5, 3.5]	[69, 71, 72, 74]
Grp	0.0	
Bar	[0.0, 1.0, 2.0, 3.0, 3.5]	[74, 74, 74, 74, 74]
Bar	[0.0, 1.0, 2.0, 2.5, 3.5]	[74, 72, 71, 69, 72]
Bar	[0.0, 2.0, 3.0]	[72, 71, 69]
Bar	[0.0]	[69]
Grp	0.0	
Bar	[0.0, 1.0, 1.5, 2.0, 3.0]	[74, 74, 74, 74, 74]
Bar	[0.0, 1.0, 2.0, 2.5, 3.5]	[74, 72, 71, 69, 72]
Bar	[0.0, 2.0, 3.0]	[72, 71, 69]
Bar	[0.0, 2.0, 3.0]	[69, 74, 74]
Grp	0.0	
Bar	[]	[]
Bar	[2.0, 2.5]	[74, 72]
Bar	[0.0]	[71]
Bar	[0.0]	[71]
Bar	[0.0, 0.5, 2.0, 2.5]	[69, 67, 74, 72]
Bar	[0.0]	[71]
Bar	[]	[]
Bar	[0.0, 2.0]	[79, 74]
Bar	[]	[]
