TS;4/4;;
Grp;3.0;;
Bar;0;[3.0];[65]
Bar;0  1  2  3;[0.0, 1.0, 2.0, 3.0, 3.5];[65, 67, 69, 67, 69]
Bar;0         0.5           1           2           3;[0.0, 1.0, 2.0, 3.5];[70, 69, 67, 67]
Bar;0;[0.0];[65]
Grp;3.0;;
Bar;3         3.5;[3.0];[69]
Bar;0         0.5           1           2           3;[0.0, 1.0, 2.0, 3.0];[70, 69, 67, 65]
Bar;0  1  2;[0.0, 1.0, 2.0];[64, 65, 67]
Grp;3.0;;
Bar;3;[3.0];[72]
Bar;0  1  2  3;[0.0, 1.0, 2.0, 2.5, 3.0];[70, 69, 67, 65, 64]
Bar;0         0.5           1           2;[0.0, 1.0, 2.0];[65, 62, 60]
Grp;3.0;;
Bar;3         3.5;[3.0];[69]
Bar;0  1  2  3;[0.0, 1.0, 2.0, 3.0];[70, 69, 67, 65]
Bar;0  1  2;[0.0, 1.0, 2.0];[69, 67, 65]
