TS;4/4;;
Grp;0.0;;
Bar;0  1  2  3;[0.0, 1.0, 2.0, 3.0];[71, 71, 69, 67]
Bar;0  1  2;[0.0, 2.0];[66, 64]
Grp;0.0;;
Bar;0  1  2  3;[0.0, 1.0, 2.0, 3.0];[71, 71, 73, 75]
Bar;0  1  2;[0.0, 2.0];[76, 75]
Grp;0.0;;
Bar;0  2;[0.0, 1.0, 2.0, 3.5];[76, 79, 78, 76]
Bar;0;[0.0];[76]
Grp;0.0;;
Bar;0  2  3;[0.0, 1.0, 2.0, 3.0];[71, 71, 72, 71]
Bar;0  1  2;[0.0, 1.5, 2.0];[69, 67, 67]
Grp;0.0;;
Bar;0  1  2  3;[0.0, 1.0, 2.0, 3.0];[71, 73, 74, 71]
Bar;0  1  2;[0.0, 1.0, 2.0];[76, 74, 73]
Bar;0;[0.0];[71]
Grp;2.0;;
Bar;2  3;[2.0, 3.0];[71, 71]
Bar;0         0.5           1           2           3;[0.0, 1.0, 2.0];[69, 67, 66]
Bar;0;[0.0];[64]
