TS;4/4;;
Bar;;[2.5, 3.0, 3.5];[62, 67, 69]
Grp;0.0;;
Bar;0;[0.0, 0.5, 1.0, 1.5, 2.0, 2.5, 3.0, 3.5];[71, 69, 67, 66, 67, 66, 64, 62]
Bar;0  2;[0.0, 0.5, 1.0, 2.5, 3.0, 3.5];[64, 62, 60, 62, 67, 69]
Bar;0;[0.0, 0.5, 1.0, 1.5, 2.0, 2.5, 3.0, 3.5];[71, 69, 67, 66, 67, 62, 64, 67]
Bar;0;[2.5, 3.0, 3.5];[62, 67, 69]
Grp;0.0;;
Bar;0;[0.0, 0.5, 1.0, 1.5, 2.0, 3.0];[69, 67, 67, 67, 67, 69]
Bar;0;[3.0, 3.5];[67, 69]
Bar;0;[0.0, 0.5, 1.0];[70, 67, 69]
Bar;;[0.0, 0.5, 1.0, 3.0, 3.5];[70, 67, 69, 67, 69]
Bar;0;[0.0, 0.5, 1.0, 3.0, 3.5];[69, 64, 67, 69, 70]
Grp;0.0;;
Bar;0;[];[]
Bar;;[3.0];[67]
Bar;0;[];[]
Bar;;[];[]
Grp;0.0;;
Bar;0;[];[]
Bar;;[3.0];[67]
Bar;0;[0.0, 1.0, 2.0, 3.0];[65, 67, 69, 70]
Bar;0;[0.0, 1.0, 2.0, 2.5, 3.0, 3.5];[69, 66, 62, 62, 67, 69]
Grp;0.0;;
Bar;0;[0.0, 0.5, 1.0, 1.5, 2.0, 2.5, 3.0, 3.5];[71, 69, 67, 66, 67, 66, 64, 62]
Bar;0  2;[0.0, 0.5, 1.0, 2.5, 3.0, 3.5];[64, 62, 60, 62, 67, 69]
Bar;0;[0.0, 0.5, 1.0, 1.5, 2.0, 2.5, 3.0, 3.5];[71, 69, 67, 66, 67, 62, 64, 67]
Bar;0;[2.5, 3.0, 3.5];[62, 67, 69]
Grp;0.0;;
Bar;0;[0.0, 0.5, 1.0, 1.5, 2.0, 3.0];[69, 67, 67, 67, 67, 69]
Bar;0;[3.0, 3.5];[67, 69]
Bar;0;[0.0, 0.5, 1.0];[70, 67, 69]
Bar;0;[3.0, 3.5];[69, 70]
Bar;0;[2.5, 3.0, 3.5];[62, 67, 69]
Bar;;[0.0, 1.0, 2.0, 3.0, 3.5];[69, 66, 62, 71, 72]
Grp;0.0;;
Bar;0;[];[]
Bar;;[];[]
Bar;0;[];[]
Bar;;[];[]
Grp;0.0;;
Bar;0;[];[]
Bar;;[];[]
Bar;0;[];[]
Bar;;[2.0, 2.5, 3.0, 3.5];[72, 71, 74, 69]
Bar;0;[0.0];[71]
Bar;0;[0.0];[71]
