TS;4/4;;
Bar;;[3.5];[70]
Grp;0.0;;
Bar;0;[0.0, 1.0, 2.0];[72, 75, 75]
Bar;;[3.5];[70]
Bar;0;[0.0, 1.0, 2.0];[72, 75, 75]
Bar;;[3.5];[70]
Bar;0;[0.0, 1.0, 2.0];[72, 75, 75]
Bar;;[];[]
Bar;0;[0.0];[70]
Bar;0  2;[0.0, 3.5];[70, 58]
Grp;0.0;;
Bar;0;[0.0, 1.0, 2.0, 3.0];[63, 65, 67, 68]
Bar;0;[3.0, 3.5];[67, 68]
Bar;0;[0.0, 1.0, 2.0, 3.5];[70, 67, 67, 65]
Bar;;[0.0, 0.5, 1.0, 3.5];[67, 70, 67, 62]
Grp;0.0;;
Bar;0;[0.0, 1.0, 2.0, 3.0];[63, 65, 67, 68]
Bar;0;[3.0, 3.5];[67, 68]
Bar;0;[0.0, 1.0, 2.0, 3.5];[70, 67, 67, 65]
Bar;;[0.0, 0.5, 1.0, 2.5, 3.0, 3.5];[67, 70, 67, 70, 70, 70]
Grp;0.0;;
Bar;0;[0.0, 1.0, 3.0, 3.5];[72, 75, 63, 65]
Bar;0  2  3;[0.0, 1.0, 2.0, 3.0];[67, 67, 65, 63]
Bar;0;[0.0];[60]
Bar;2;[0.0, 3.0, 3.5];[60, 63, 63]
Grp;0.0;;
Bar;0;[0.0, 1.0, 3.0, 3.5];[65, 65, 65, 65]
Bar;0  2  3;[0.0, 1.0, 2.0, 3.0];[65, 65, 68, 71]
Bar;0;[];[]
Bar;0  2;[3.5];[58]
Bar;0;[3.5];[70]
Grp;0.0;;
Bar;0;[0.0, 1.0, 2.0];[72, 75, 75]
Bar;;[3.5];[70]
Bar;0;[0.0, 1.0, 2.0];[72, 75, 75]
Bar;;[2.5, 3.0, 3.5];[63, 63, 65]
Bar;0;[0.0, 1.0, 2.0, 3.5];[65, 65, 65, 65]
Bar;0  2;[0.0, 1.0, 2.0, 3.0];[66, 66, 65, 65]
Bar;0;[0.0, 0.5, 2.0];[65, 63, 63]
Bar;;[0.0, 3.5];[63, 58]
Grp;0.0;;
Bar;0;[0.0, 3.0, 3.5];[63, 63, 63]
Bar;0;[0.0, 1.0, 2.0, 3.5];[65, 65, 65, 65]
Bar;0  2;[0.0, 1.0, 2.0, 3.0];[66, 66, 65, 65]
Bar;0;[0.0, 0.5, 2.0];[65, 63, 63]
Bar;0;[0.0, 3.0, 3.5];[63, 63, 63]
Bar;0;[0.0, 1.0, 2.0, 3.5];[65, 65, 65, 65]
Bar;0  2;[0.0, 1.0, 2.0, 2.5, 3.0, 3.5];[66, 66, 65, 63, 65, 70]
Grp;0.0;;
Bar;0;[0.0];[75]
Bar;;[0.0];[75]
Bar;;[];[]
Bar;;[];[]
Bar;0;[];[]
Bar;;[];[]
Bar;0;[];[]
Bar;0;[];[]
