TS;4/4;;
Grp;0.0;;
Bar;0  2;[];[]
Bar;0  2;[];[]
Bar;0  2;[];[]
Bar;0;[];[]
Grp;2.0;;
Bar;2;[2.5, 3.0, 3.5];[71, 74, 73]
Bar;0;[0.0, 3.5];[69, 66]
Bar;0  2;[0.0, 0.5, 1.0, 1.5, 2.0, 2.5, 3.5];[67, 70, 73, 76, 79, 78, 81]
Bar;0;[0.0];[81]
Grp;0.0;;
Bar;0;[1.0, 1.5, 2.5, 3.5];[81, 81, 83, 81]
Bar;0;[0.0, 0.5, 1.5, 2.0, 3.0];[81, 79, 79, 78, 79]
Bar;0;[0.0, 1.0, 1.5, 2.5, 3.5];[79, 78, 79, 81, 78]
Bar;0  2;[0.0];[78]
Grp;0.0;;
Bar;0  2;[0.5, 1.0, 1.5, 2.0, 2.5, 3.5];[78, 81, 80, 79, 78, 78]
Bar;0  2;[0.0, 0.5, 1.0, 1.5, 2.0, 2.5, 3.0, 3.5];[78, 74, 74, 74, 74, 71, 74, 76]
Bar;0  2;[0.0, 0.5, 1.0, 1.5, 2.0, 2.5, 3.5];[77, 74, 72, 68, 67, 65, 65]
Bar;0  2;[0.0, 0.5, 2.0];[65, 62, 62]
Bar;0;[0.0];[62]
Grp;2.0;;
Bar;2;[2.5, 3.0, 3.5];[71, 74, 73]
Bar;0  2;[0.0];[62]
Grp;0.0;;
Bar;0;[0.0, 2.0, 2.6666666666666714, 3.3333333333333286];[74, 72, 70, 69]
Bar;0;[0.0, 2.0, 2.6666666666666714, 3.3333333333333286];[67, 69, 70, 74]
Bar;0;[0.0, 1.5, 2.0];[72, 72, 72]
Bar;;[0.0];[72]
Grp;0.0;;
Bar;0;[0.0, 2.0, 2.5, 3.0, 3.5];[72, 72, 70, 68, 67]
Bar;0;[0.0, 2.0, 2.6666666666666714, 3.3333333333333286];[65, 67, 68, 72]
Bar;0;[0.0, 1.5, 2.0];[70, 70, 70]
Bar;0;[0.0];[70]
Grp;2.0;;
Bar;2;[2.5, 3.0, 3.5];[71, 74, 73]
Bar;0;[0.0, 3.5];[69, 66]
Bar;0  2;[0.0, 0.5, 1.0, 1.5, 2.0, 2.5, 3.5];[67, 70, 73, 76, 79, 78, 81]
Bar;0;[0.0];[81]
Grp;0.0;;
Bar;0;[1.0, 1.5, 2.5, 3.5];[81, 81, 83, 81]
Bar;0;[0.0, 0.5, 1.5, 2.0, 3.0];[81, 79, 79, 78, 79]
Bar;0;[0.0, 1.0, 1.5, 2.5, 3.5];[79, 78, 79, 81, 78]
Bar;0  2;[0.0];[78]
Grp;0.0;;
Bar;0  2;[0.5, 1.0, 1.5, 2.0, 2.5, 3.5];[78, 81, 80, 79, 78, 78]
Bar;0  2;[0.0, 0.5, 1.0, 1.5, 2.0, 2.5, 3.0, 3.5];[78, 74, 74, 74, 74, 71, 74, 76]
Bar;0  2;[0.0, 0.5, 1.0, 1.5, 2.0, 2.5, 3.5];[77, 74, 72, 68, 67, 65, 65]
Bar;0  2;[0.0, 0.5, 2.0];[65, 62, 62]
Bar;0  2;[0.0];[62]
Bar;0;[0.0];[62]
