TS;3/4;;
Grp;0.0;;
Bar;1;[1.0];[66]
Bar;0  1  2;[0.0, 0.5, 1.0, 1.5, 2.0, 2.5];[68, 68, 66, 66, 68, 68]
Bar;0;[0.0, 2.0];[66, 66]
Grp;0.0;;
Bar;0  1  2;[0.0, 0.5, 1.0, 1.5, 2.0, 2.5];[68, 68, 73, 73, 70, 66]
Bar;0;[0.0, 1.0];[66, 66]
Grp;0.0;;
Bar;0  2;[0.0, 0.5, 0.6666666666666661, 0.8333333333333339, 1.0, 2.0, 2.5, 2.75];[66, 64, 66, 64, 66, 64, 66, 64]
Bar;0  1;[0.0, 0.25, 0.5, 1.0];[63, 64, 66, 66]
Grp;0.0;;
Bar;0  2;[0.0, 0.33333333333333215, 0.6666666666666679, 1.0, 1.5, 2.0, 2.333333333333332, 2.666666666666668];[66, 66, 68, 66, 66, 64, 66, 64]
Bar;0         0.5           1;[0.0, 0.25, 0.5, 1.0];[63, 64, 66, 66]
Grp;2.0;;
Bar;2;[2.0, 2.5];[66, 66]
Bar;0         0.5           1        1.75           2        2.75;[0.0, 0.5, 1.0, 1.5, 2.0, 2.5];[63, 66, 68, 68, 70, 70]
Bar;0;[0.0, 2.0, 2.3333333333333357, 2.6666666666666643];[71, 71, 73, 71]
Bar;0;[0.0, 0.5, 0.6666666666666643, 0.8333333333333357, 1.0, 1.5, 1.6666666666666643, 1.8333333333333357, 2.0, 2.5, 2.6666666666666643, 2.8333333333333357];[73, 71, 73, 71, 73, 71, 73, 71, 73, 71, 73, 71]
Bar;;[0.0, 1.0];[73, 68]
Grp;2.0;;
Bar;2;[2.0];[73]
Bar;0         0.5           1         1.5           2         2.5;[0.0, 0.5, 1.0, 1.5, 2.0, 2.5, 2.6666666666666643, 2.8333333333333357];[76, 75, 73, 78, 76, 75, 76, 75]
Bar;0           1         1.5;[0.0, 1.0];[73, 73]
Grp;2.0;;
Bar;2         2.5;[2.0, 2.5];[70, 71]
Bar;0         0.5           1           2;[0.0, 0.5, 1.0, 2.0];[68, 69, 66, 68]
Bar;1;[0.0, 1.0];[68, 66]
Grp;0.0;;
Bar;0  1  2;[0.0, 0.75, 1.0, 1.5, 1.75, 2.0, 2.75];[66, 63, 66, 63, 63, 66, 66]
Bar;0;[0.0, 2.0];[70, 70]
Grp;0.0;;
Bar;0  2;[0.0, 1.0, 1.5, 2.0, 2.3333333333333357, 2.6666666666666643];[68, 66, 68, 70, 66, 70]
Bar;0  2;[0.0, 1.0, 1.5, 2.0, 2.5];[73, 70, 73, 78, 73]
Bar;;[0.0, 0.5, 1.0, 1.5, 1.6666666666666714, 1.8333333333333286, 2.0, 2.5];[71, 73, 78, 73, 75, 73, 71, 73]
Grp;0.0;;
Bar;0  1;[0.0, 1.0, 2.0, 2.5];[73, 71, 66, 66]
Bar;0  2;[0.0, 1.0, 1.5, 2.0, 2.5, 2.75];[66, 66, 66, 66, 66, 68]
Bar;0  1;[0.0];[66]
Grp;2.0;;
Bar;2;[2.0];[66]
Bar;0  1  2;[0.0, 0.5, 1.0, 1.5, 2.0, 2.5];[68, 68, 66, 66, 68, 68]
Bar;0;[0.0, 1.0];[66, 73]
Grp;0.0;;
Bar;0           1         1.5           2         2.5;[0.0, 0.5, 0.6666666666666714, 0.8333333333333286, 1.0, 1.5, 2.0, 2.5];[76, 75, 76, 75, 73, 78, 76, 75]
Bar;0;[0.0];[73]
