TS;4/4;;
Grp;0.0;;
Bar;0;[0.0];[68]
Bar;0;[0.0, 3.0];[73, 68]
Bar;0;[0.0, 1.0, 2.0, 3.0];[67, 67, 67, 67]
Bar;0;[0.0, 1.0, 3.0];[67, 72, 67]
Bar;0;[0.0, 1.0, 2.0, 3.0];[65, 65, 65, 65]
Bar;0;[0.0, 1.0, 3.0];[65, 71, 65]
Bar;0;[0.0];[64]
Bar;;[0.0];[64]
Grp;0.0;;
Bar;0;[0.0];[63]
Bar;0;[0.0, 3.0];[68, 63]
Bar;0;[0.0, 1.0, 2.0, 3.0];[62, 62, 62, 62]
Bar;0;[0.0, 1.0, 3.0];[62, 67, 62]
Bar;0;[0.0, 1.0, 2.0, 3.0];[60, 60, 60, 60]
Bar;0;[0.0, 0.6666666666666643, 1.3333333333333357, 2.0, 3.0];[60, 62, 63, 62, 60]
Bar;0;[0.0];[59]
Bar;;[0.0, 1.0, 2.0, 3.0];[59, 62, 67, 74]
Grp;0.0;;
Bar;0;[0.0, 2.0];[74, 72]
Bar;0;[0.0, 1.0, 2.0, 3.0];[72, 63, 64, 72]
Bar;0;[0.0];[71]
Bar;;[0.0, 1.0, 2.0, 3.0];[71, 62, 67, 71]
Grp;0.0;;
Bar;0;[0.0, 2.0];[71, 69]
Bar;0;[0.0, 1.0, 2.0, 3.0];[69, 58, 59, 69]
Bar;0;[0.0];[68]
Bar;0;[0.0];[68]
Grp;0.0;;
Bar;0;[0.0];[68]
Bar;0;[0.0, 3.0];[73, 68]
Bar;0;[0.0, 1.0, 2.0, 3.0];[67, 67, 67, 67]
Bar;0;[0.0, 1.0, 3.0];[67, 72, 67]
Bar;0;[0.0];[65]
Bar;0;[0.0, 2.0];[75, 73]
Bar;0;[0.0, 1.0, 2.0, 2.6666666666666714, 3.3333333333333286];[63, 63, 63, 63, 63]
Bar;0;[0.0, 3.0];[67, 65]
Grp;0.0;;
Bar;0;[0.0, 1.0, 2.0, 3.0];[61, 65, 68, 73]
Bar;0;[0.0, 2.0];[77, 79]
Bar;0;[0.0];[80]
Bar;0;[0.0];[80]
