TS;4/4;;
Bar;;[1.0, 2.0, 3.0];[62, 64, 65]
Grp;0.0;;
Bar;0;[0.0, 3.0];[69, 67]
Bar;0;[0.0, 1.5, 2.0, 3.0, 3.5];[65, 64, 62, 64, 65]
Bar;0;[0.0];[65]
Bar;;[0.0, 0.5, 2.0, 3.0];[65, 65, 67, 69]
Grp;0.0;;
Bar;0;[0.0, 3.0];[72, 70]
Bar;0;[0.0, 1.5, 2.0, 3.0, 3.5];[69, 67, 65, 67, 69]
Bar;0;[0.0];[69]
Bar;0  2;[0.0, 0.5, 2.0, 3.0];[69, 69, 71, 73]
Grp;0.0;;
Bar;0;[0.0, 1.0, 3.0];[76, 74, 69]
Bar;0;[0.0, 1.0, 3.0];[72, 70, 62]
Bar;0;[0.0];[64]
Bar;0  2;[0.0, 0.5, 2.0, 3.0];[64, 64, 65, 67]
Grp;0.0;;
Bar;0;[0.0, 3.0];[69, 62]
Bar;0;[0.0, 3.0];[61, 62]
Bar;0;[0.0];[64]
Bar;0;[0.0, 0.5, 2.0, 3.0];[64, 64, 65, 67]
Bar;0;[0.0, 3.0];[69, 64]
Bar;0  2;[0.0, 2.0];[65, 64]
Bar;0;[0.0];[62]
Grp;1.0;;
Bar;;[];[]
Bar;0;[0.0, 0.5, 2.0, 3.0];[62, 62, 64, 65]
