TS;4/4;;
Bar;;[3.0];[64]
Grp;0.0;;
Bar;0;[0.0, 3.0, 3.5];[72, 71, 69]
Bar;0  2;[0.0, 3.0, 3.5];[69, 68, 71]
Bar;0;[0.0];[64]
Bar;0;[0.0, 3.0];[64, 64]
Grp;0.0;;
Bar;0;[0.0, 3.0, 3.5];[72, 71, 69]
Bar;0  2;[0.0, 3.0, 3.5];[69, 67, 71]
Bar;0;[0.0];[64]
Bar;0  2;[0.0, 2.5, 3.0, 3.5];[64, 64, 65, 67]
Grp;0.0;;
Bar;0;[0.0, 1.5, 2.0];[69, 62, 62]
Bar;0;[0.0, 2.5, 3.0, 3.5];[62, 62, 64, 65]
Bar;0;[0.0, 1.5, 2.0];[67, 60, 60]
Bar;0;[0.0, 2.5, 3.0, 3.5];[60, 60, 62, 64]
Grp;0.0;;
Bar;0;[0.0, 1.5, 2.0];[65, 59, 59]
Bar;0;[0.0, 2.5, 3.0, 3.5];[59, 59, 60, 62]
Bar;0;[0.0];[64]
Bar;0;[0.0, 3.0];[64, 64]
Grp;0.0;;
Bar;0;[0.0, 3.0, 3.5];[72, 71, 69]
Bar;0  2;[0.0, 3.0, 3.5];[69, 68, 71]
Bar;0;[0.0];[64]
Bar;0;[0.0, 3.0];[64, 64]
Grp;0.0;;
Bar;0;[0.0, 3.0, 3.5];[70, 69, 67]
Bar;0;[0.0, 3.0, 3.5];[67, 65, 64]
Bar;0;[0.0];[69]
Bar;;[0.0, 3.0];[69, 62]
Grp;0.0;;
Bar;0;[0.0, 3.0, 3.5];[62, 64, 65]
Bar;0  2;[0.0];[71]
Bar;0;[1.0, 2.0, 3.0, 3.5];[60, 60, 62, 64]
Bar;0;[0.0, 3.0];[69, 68]
Grp;0.0;;
Bar;0;[0.0];[64]
Bar;;[2.0, 3.0, 3.5];[64, 68, 71]
Bar;0;[0.0];[69]
Bar;0  2;[0.0, 3.0];[69, 64]
Bar;0;[0.0, 3.0, 3.5];[69, 69, 71]
Grp;0.0;;
Bar;0  2;[0.0, 1.0, 1.5, 2.0, 3.0, 3.5];[72, 74, 72, 71, 69, 71]
Bar;0  2;[0.0, 1.0, 1.5, 2.0, 3.0, 3.5];[72, 74, 72, 71, 69, 71]
Bar;0  2;[0.0, 1.0, 1.5, 2.0, 3.0, 3.5];[72, 74, 72, 71, 69, 67]
Bar;0;[0.0];[69]
Bar;0;[0.0];[69]
