TS;4/4;;
Grp;0.0;;
Bar;0  2;[0.0, 2.0];[78, 74]
Bar;0  2;[0.0, 2.0, 3.5];[71, 67, 70]
Bar;0;[0.0];[70]
Bar;0  2;[0.0, 1.5, 2.0];[71, 69, 69]
Grp;0.0;;
Bar;0  2;[0.0, 2.0];[74, 70]
Bar;0  2;[0.0, 2.0, 3.5];[67, 63, 66]
Bar;0;[0.0];[66]
Grp;0.0;;
Bar;0  2;[0.0, 2.0, 3.5];[67, 65, 70]
Bar;0;[0.0];[70]
Bar;0  2;[0.0, 2.0, 3.5];[71, 69, 74]
Bar;0;[0.0];[74]
Grp;0.0;;
Bar;0  2;[0.0, 2.0, 3.5];[75, 73, 78]
Bar;0;[0.0, 2.0];[78, 78]
Bar;0  2;[0.0, 2.0, 3.5];[79, 77, 82]
Bar;0;[0.0];[82]
Bar;0  2;[0.0, 1.5, 2.0];[78, 78, 78]
Bar;0;[0.0];[78]
