TS;4/4;;
Bar;;[1.0, 2.0, 3.0];[62, 67, 69]
Grp;0.0;;
Bar;0;[0.0, 2.0];[69, 71]
Bar;;[0.0, 1.0, 2.0, 3.0];[71, 62, 67, 69]
Bar;0;[0.0];[70]
Bar;0;[0.0, 1.0, 2.0, 3.0];[70, 60, 65, 67]
Grp;0.0;;
Bar;0;[0.0, 2.0];[67, 69]
Bar;;[0.0, 1.0, 2.0, 3.0];[69, 60, 65, 67]
Bar;0;[0.0];[68]
Bar;0;[0.0, 1.0, 2.0, 3.0];[68, 62, 63, 65]
Grp;0.0;;
Bar;0;[0.0, 1.0, 2.0, 3.0];[67, 67, 67, 67]
Bar;0  2;[0.0, 1.0, 1.5, 2.5, 3.0];[67, 67, 69, 67, 69]
Bar;0;[0.0];[70]
Bar;0  2;[0.0, 1.5, 2.5, 3.0];[70, 69, 67, 69]
Grp;0.0;;
Bar;0;[0.0];[71]
Bar;0  2;[0.0, 1.0, 2.0, 3.0];[71, 69, 71, 72]
Bar;0  2;[0.0, 1.0, 2.0, 3.0];[74, 74, 74, 74]
Bar;0  2;[0.0, 1.0, 2.0, 3.0];[74, 62, 67, 69]
Grp;0.0;;
Bar;0;[0.0, 2.0];[69, 71]
Bar;;[0.0, 1.0, 2.0, 3.0];[71, 62, 67, 69]
Bar;0;[0.0];[70]
Bar;0;[0.0, 1.0, 2.0, 3.0];[70, 60, 65, 67]
Grp;0.0;;
Bar;0;[0.0, 2.0];[67, 69]
Bar;;[0.0, 1.0, 2.0, 3.0];[69, 60, 65, 67]
Bar;0;[0.0];[68]
Bar;0;[0.0, 1.0, 2.0, 3.0];[68, 62, 63, 65]
Grp;0.0;;
Bar;0;[0.0, 1.0, 2.0, 3.0];[67, 67, 67, 67]
Bar;0  2;[0.0, 1.0, 1.5, 2.5, 3.0];[67, 67, 69, 67, 69]
Bar;0;[0.0];[71]
Bar;0  2;[0.0, 1.0, 2.0, 3.0];[71, 69, 71, 72]
Bar;0  2;[0.0, 1.0, 2.0, 3.0];[74, 74, 74, 74]
Bar;0  2;[0.0, 1.0, 2.0, 3.0];[74, 62, 67, 69]
Bar;0;[0.0];[67]
Bar;0  2;[0.0];[67]
Bar;0;[0.0];[67]
