TS;4/4;;
Grp;0.0;;
Bar;0;[0.0, 2.0, 3.0];[60, 62, 63]
Bar;0;[0.0, 1.5, 2.0];[62, 63, 62]
Bar;0;[0.0, 2.0, 3.0];[60, 62, 63]
Bar;0;[0.0, 1.5, 2.0];[62, 63, 62]
Grp;0.0;;
Bar;0;[0.0, 2.0, 3.0];[60, 62, 63]
Bar;0;[0.0, 2.0, 3.0];[70, 68, 67]
Bar;0;[0.0];[65]
Bar;0;[0.0];[65]
Grp;0.0;;
Bar;0;[0.0, 2.0, 3.0];[63, 65, 67]
Bar;0;[0.0, 1.5, 2.0];[65, 67, 65]
Bar;0;[0.0, 2.0, 3.0];[63, 65, 67]
Bar;0;[0.0, 1.5, 2.0];[65, 67, 65]
Grp;0.0;;
Bar;0;[0.0, 2.0, 3.0];[63, 65, 67]
Bar;0  2;[0.0, 1.5, 2.0, 3.5];[74, 72, 70, 69]
Bar;;[0.0];[68]
Bar;0;[0.0, 2.0, 3.0];[68, 67, 65]
Grp;0.0;;
Bar;0  2;[0.0, 1.5, 2.0, 3.0];[70, 63, 63, 62]
Bar;0  2;[0.0, 2.0, 3.0];[63, 63, 62]
Bar;0  2;[0.0, 1.5, 2.0, 3.0];[72, 63, 63, 62]
Bar;0  2;[0.0, 2.0, 3.0];[63, 63, 62]
Grp;0.0;;
Bar;0  2;[0.0, 1.5, 2.0, 3.0];[74, 63, 63, 62]
Bar;0  2  3;[0.0, 2.0, 3.0];[63, 65, 67]
Bar;0;[0.0];[72]
Bar;0  2;[0.0, 2.0];[72, 62]
Grp;0.0;;
Bar;0;[0.0, 2.0, 3.0];[60, 62, 63]
Bar;0;[0.0, 1.5, 2.0];[62, 63, 62]
Bar;0;[0.0, 2.0, 3.0];[63, 65, 67]
Bar;0;[0.0, 1.5, 2.0];[65, 67, 65]
Grp;0.0;;
Bar;0;[0.0, 2.0, 3.0];[72, 74, 75]
Bar;0  2;[0.0, 1.5, 2.0];[74, 75, 74]
Bar;0;[0.0];[75]
Bar;0  2;[0.0];[75]
Grp;0.0;;
Bar;0;[0.0, 2.0, 3.0];[63, 65, 67]
Bar;0  2;[0.0, 1.5, 2.0];[65, 67, 65]
Bar;0;[0.0];[63]
Bar;0  2;[];[]
Bar;0;[0.0];[63]
