TS;4/4;;
Bar;;[2.0, 3.0, 3.5];[67, 67, 67]
Grp;0.0;;
Bar;0;[0.0];[67]
Bar;0;[0.0, 2.0, 2.666666666666666, 3.333333333333334];[67, 65, 64, 63]
Bar;0;[0.0];[64]
Bar;;[0.0, 2.0, 3.0, 3.5];[64, 67, 67, 67]
Grp;0.0;;
Bar;0;[0.0, 1.0, 2.0, 3.0];[67, 67, 67, 67]
Bar;0;[0.0, 1.0, 2.0, 2.666666666666668, 3.333333333333332];[67, 65, 65, 64, 63]
Bar;0;[0.0];[64]
Bar;;[0.0, 2.0, 3.5];[64, 64, 64]
Grp;0.0;;
Bar;0;[0.0, 1.0, 2.0, 3.0];[64, 64, 64, 64]
Bar;0;[0.0, 2.0, 2.5, 3.5];[63, 63, 63, 63]
Bar;0;[0.0, 1.0, 2.0, 3.0];[62, 62, 62, 62]
Bar;0;[0.0, 1.0, 1.5, 2.0, 3.0];[62, 61, 60, 60, 59]
Bar;0;[0.0, 1.0, 1.5, 2.0];[57, 56, 55, 55]
Bar;0;[0.0, 2.0, 3.0, 3.5];[55, 67, 67, 67]
Bar;0;[0.0];[67]
Bar;;[0.0, 2.0, 3.0, 3.5];[67, 67, 67, 67]
Bar;0;[0.0, 2.0, 3.0];[67, 67, 67]
Grp;0.0;;
Bar;0;[0.0];[70]
Bar;;[0.0, 2.0, 2.6666666666666714, 3.3333333333333286];[70, 67, 65, 63]
Bar;0;[0.0, 1.0, 1.5, 2.0];[67, 67, 67, 67]
Bar;;[0.0, 2.0, 3.5];[67, 67, 67]
Grp;0.0;;
Bar;0;[0.0, 0.5, 1.5, 2.0, 3.0, 3.5];[70, 72, 70, 72, 70, 72]
Bar;;[0.0, 0.5, 1.5, 2.0, 2.6666666666666714, 3.3333333333333286];[72, 70, 67, 67, 65, 63]
Bar;0;[0.0, 1.0, 1.5, 2.0];[67, 67, 67, 67]
Bar;;[0.0, 2.0, 3.5];[67, 64, 64]
Grp;0.0;;
Bar;0;[0.0, 1.0, 2.0, 3.0];[64, 64, 64, 64]
Bar;0;[0.0, 2.0, 2.5, 3.5];[63, 63, 63, 63]
Bar;0;[0.0, 1.0, 2.0, 3.0];[62, 62, 62, 62]
Bar;0;[0.0, 0.5, 1.0, 1.5, 2.0, 2.5, 3.0];[62, 61, 60, 71, 71, 70, 69]
Bar;0;[0.0, 1.0, 1.5, 2.0];[67, 67, 67, 67]
Bar;0;[0.0, 2.0, 3.0, 3.5];[67, 72, 72, 72]
Bar;0;[0.0];[72]
Bar;0  2;[2.0, 3.0, 3.5];[67, 67, 67]
