TS;4/4;;
Grp;0.0;;
Bar;0  2;[1.0, 1.25, 1.5, 1.75, 2.0, 3.5];[58, 63, 65, 70, 66, 58]
Bar;0  2;[0.0, 1.5, 1.75, 2.0, 2.5];[63, 62, 63, 70, 68]
Bar;0  2;[1.0, 1.25, 1.5, 1.75, 2.0, 3.5];[63, 66, 70, 73, 72, 63]
Bar;0  1  2  3;[0.0, 0.5, 0.75, 1.0, 2.0, 2.5, 2.75, 3.0];[69, 66, 62, 68, 68, 65, 61, 67]
Grp;0.0;;
Bar;0  2;[1.0, 1.25, 1.5, 1.75, 2.0, 3.5];[68, 71, 75, 78, 77, 71]
Bar;0  2;[0.0, 1.0, 1.3333333333333321, 1.6666666666666679, 2.0, 2.5, 3.5, 3.75];[70, 63, 62, 61, 60, 68, 63, 65]
Bar;0;[0.0, 0.33333333333333215, 0.6666666666666679, 1.0, 1.3333333333333321, 1.6666666666666679, 2.0, 3.5];[66, 66, 66, 66, 65, 63, 65, 63]
Bar;0;[0.0, 0.5];[62, 58]
Bar;0  2;[0.0, 1.0, 1.5, 2.0, 3.0, 3.5];[66, 65, 63, 65, 63, 61]
Bar;0;[0.0, 3.0, 3.5];[63, 63, 65]
Grp;0.0;;
Bar;0  2;[0.0, 1.0, 1.5, 2.0, 3.5];[66, 65, 63, 65, 63]
Bar;0;[0.0, 0.5, 3.0, 3.5];[62, 74, 63, 65]
Bar;0  2;[0.0, 1.0, 1.5, 2.0, 3.5];[66, 65, 63, 65, 63]
Bar;0;[0.0, 0.5, 3.0];[62, 58, 70]
Grp;0.0;;
Bar;0  1  2;[0.0, 1.5, 2.0, 3.5];[71, 71, 70, 70]
Bar;0  2;[0.0, 1.0, 2.0, 3.5];[68, 66, 65, 70]
Bar;0  2;[0.0, 0.5, 1.0, 2.0, 2.5, 3.0];[75, 75, 75, 73, 73, 73]
Bar;0  2;[0.0, 1.0, 1.5, 2.0, 2.5, 3.0, 3.5];[71, 63, 62, 70, 68, 64, 62]
Grp;0.0;;
Bar;0  2;[1.0, 1.25, 1.5, 1.75, 2.0, 3.5];[58, 63, 65, 70, 66, 58]
Bar;0  2;[0.0, 1.5, 1.75, 2.0, 2.5];[63, 62, 63, 70, 68]
Bar;0  2;[1.0, 1.25, 1.5, 1.75, 2.0, 3.5];[63, 66, 70, 73, 72, 63]
Bar;0  1  2  3;[0.0, 0.5, 0.75, 1.0, 2.0, 2.5, 2.75, 3.0];[69, 66, 62, 68, 68, 65, 61, 67]
Grp;0.0;;
Bar;0  2;[1.0, 1.25, 1.5, 1.75, 2.0, 3.5];[68, 71, 75, 78, 77, 71]
Bar;0  2;[0.0, 1.0, 1.3333333333333286, 1.6666666666666714, 2.0, 2.5, 3.5, 3.75];[70, 63, 62, 61, 60, 68, 63, 65]
Bar;0  2;[0.0, 1.0, 1.5, 2.0, 3.0, 3.5];[66, 65, 63, 65, 63, 61]
Bar;0;[0.0];[63]
