TS;4/4;;
Grp;0.0;;
Bar;0;[0.5, 2.0, 3.0, 3.5];[72, 71, 74, 72]
Bar;;[0.5, 1.0, 2.0, 3.5];[67, 67, 67, 69]
Bar;0;[0.0, 1.0, 1.5, 2.0, 3.0, 3.5];[70, 70, 70, 69, 72, 70]
Bar;0;[0.0];[70]
Grp;0.0;;
Bar;0;[0.5, 2.0, 3.0, 3.5];[69, 68, 70, 69]
Bar;;[0.5, 1.0, 3.0, 3.5];[60, 60, 65, 67]
Bar;0;[0.0, 1.0, 1.5, 2.0, 3.0, 3.5];[68, 68, 68, 67, 70, 68]
Bar;0;[0.0, 3.5];[68, 67]
Grp;0.0;;
Bar;0  2;[0.0, 1.0, 1.5, 2.0, 2.5, 3.5];[67, 65, 63, 62, 60, 66]
Bar;0  2;[0.0, 1.0, 1.5, 2.0, 2.5, 3.5];[66, 65, 63, 61, 60, 65]
Bar;0;[0.0];[65]
Bar;0  2;[0.5, 1.0, 1.5, 2.0, 2.5, 3.0];[62, 63, 65, 67, 68, 71]
Bar;0;[0.0];[72]
