TS;4/4;;
Bar;;[2.0, 3.0];[68, 70]
Grp;0.0;;
Bar;0;[0.0, 1.0, 2.0];[72, 72, 72]
Bar;2;[0.0, 2.0];[72, 73]
Bar;0;[0.0];[73]
Bar;;[0.0, 3.0];[65, 70]
Grp;0.0;;
Bar;0;[0.0, 1.0, 2.0];[70, 68, 68]
Bar;0;[0.0, 1.0, 2.0, 3.0];[68, 66, 66, 65]
Bar;0;[0.0];[65]
Bar;0  2;[0.0, 2.0, 3.0];[65, 68, 70]
Bar;0  2;[0.0, 3.5];[65, 70]
Grp;0.0;;
Bar;0;[0.0, 0.5, 1.0, 2.0, 3.5];[73, 70, 73, 61, 70]
Bar;0;[0.0, 0.5, 1.0, 2.0, 3.5];[73, 70, 73, 61, 70]
Bar;0;[0.0, 0.6666666666666643, 1.3333333333333357, 2.0, 3.0];[73, 70, 73, 70, 65]
Bar;0  2;[0.0, 3.5];[63, 70]
Grp;0.0;;
Bar;0;[0.0, 0.5, 1.0, 2.0, 3.5];[73, 70, 73, 61, 70]
Bar;0;[0.0, 0.5, 1.0, 2.0, 3.5];[73, 70, 73, 61, 70]
Bar;0;[0.0, 0.6666666666666643, 1.3333333333333357, 2.0, 3.0];[73, 70, 73, 70, 70]
Bar;0  2;[0.0, 2.0, 3.0];[70, 68, 70]
Grp;0.0;;
Bar;0  2  3;[0.0, 1.0, 2.0];[72, 72, 72]
Bar;0  2;[0.0, 2.0];[72, 73]
Bar;0;[0.0];[73]
Bar;0  3;[0.0, 3.0];[65, 70]
Grp;0.0;;
Bar;0;[0.0, 1.0, 2.0];[70, 68, 68]
Bar;0;[0.0, 1.0, 2.0, 3.0];[68, 66, 66, 66]
Bar;0;[0.0];[65]
Bar;0  2;[];[]
