TS;4/4;;
Grp;1.0;;
Bar;0;[1.0];[65]
Bar;0;[0.0, 2.0];[70, 66]
Bar;0;[0.0, 2.0];[69, 67]
Bar;0;[0.0];[67]
Bar;0;[0.0];[67]
Bar;0;[0.0, 2.0];[75, 71]
Bar;0;[0.0, 2.0];[74, 72]
Bar;0;[0.0, 1.0, 2.0];[72, 74, 75]
Grp;0.0;;
Bar;0;[0.0, 2.0];[77, 77]
Bar;0;[0.0, 2.0];[81, 81]
Bar;0;[0.0];[77]
Bar;0;[0.0, 1.0, 2.0];[72, 74, 75]
Grp;0.0;;
Bar;0;[0.0, 2.0];[77, 77]
Bar;0;[0.0, 2.0];[81, 81]
Bar;0;[0.0];[77]
Bar;0;[0.0];[77]
Grp;0.0;;
Bar;0;[0.0, 1.5, 2.0];[77, 76, 77]
Bar;0;[0.0, 2.0];[84, 82]
Bar;0;[0.0, 1.0, 2.0];[72, 70, 72]
Bar;0;[0.0, 2.0];[81, 79]
Grp;0.0;;
Bar;0;[0.0, 2.0];[77, 75]
Bar;0  2;[0.0, 2.0];[74, 72]
Bar;0;[0.0];[70]
Bar;0;[0.0];[70]
