TS;4/4;;
Bar;1;[3.0];[66]
Grp;0.0;;
Bar;0;[0.0, 2.0, 2.5, 3.0, 3.5];[65, 65, 68, 72, 75]
Bar;0  1  2  3;[0.0, 1.0, 2.0, 3.0, 3.5];[78, 77, 76, 75, 72]
Bar;0  2;[0.0, 2.0, 2.5, 3.0, 3.5];[67, 67, 65, 68, 72]
Bar;0  1  2  3;[0.0, 1.0, 2.0, 3.0, 3.5];[75, 74, 73, 72, 77]
Bar;0;[0.0, 2.0, 2.5, 3.0, 3.5];[65, 65, 67, 68, 72]
Bar;0  2;[0.0, 0.33333333333333215, 0.6666666666666679, 1.0, 3.0];[75, 72, 75, 72, 75]
Grp;0.0;;
Bar;0;[0.0, 3.0];[67, 75]
Bar;0  3;[0.0, 3.0];[66, 66]
Bar;0;[0.0, 0.5, 1.0];[67, 65, 68]
Bar;0  2;[];[]
Grp;0.0;;
Bar;0  2;[0.5, 1.5, 2.0, 3.0, 3.5];[62, 59, 64, 59, 67]
Bar;0  2;[0.0, 0.5, 1.0, 2.0, 2.5, 3.5];[67, 64, 71, 66, 76, 70]
Bar;0  2;[0.0, 0.5, 1.0];[71, 71, 65]
Bar;0  2;[0.0, 0.5, 1.0];[64, 72, 63]
Grp;0.0;;
Bar;0  2;[0.5, 1.5, 2.0, 3.0, 3.5];[62, 59, 64, 59, 67]
Bar;0  2;[0.0, 0.5, 1.0, 2.0, 2.5, 3.5];[67, 64, 71, 66, 76, 70]
Bar;0  2;[0.0, 1.0, 1.5, 2.0, 2.5, 3.0];[71, 65, 68, 67, 63, 60]
Bar;0  2  3;[0.0, 0.5, 1.0, 1.5, 2.0, 2.5, 3.0];[65, 67, 70, 73, 72, 75, 66]
Bar;0;[0.0];[68]
