TS;4/4;;
Grp;0.0;;
Bar;0  2;[0.0, 1.0, 2.0, 3.0];[58, 63, 68, 67]
Bar;0  2;[0.0];[63]
Bar;0  1  2  3;[0.0, 1.0, 2.0, 3.0];[58, 63, 68, 67]
Bar;0  2;[0.0, 1.0, 2.0];[63, 67, 65]
Grp;0.0;;
Bar;0  2;[0.0, 1.0, 2.0, 3.0];[58, 63, 72, 70]
Bar;0  2;[0.0, 2.0];[68, 67]
Bar;0  2;[0.0];[65]
Bar;0;[0.0, 3.0, 3.5];[65, 67, 68]
Grp;0.0;;
Bar;0  2;[0.0, 1.5, 2.0, 3.0];[70, 63, 63, 63]
Bar;0  2;[0.0, 1.0, 3.0, 3.5];[67, 65, 67, 68]
Bar;0  2;[0.0, 0.6666666666666643, 1.3333333333333357, 2.0, 2.6666666666666643, 3.3333333333333357];[70, 67, 68, 70, 67, 68]
Bar;0  2;[0.0, 3.0, 3.5];[70, 68, 70]
Grp;0.0;;
Bar;0  2;[0.0, 1.5, 2.0, 3.0];[72, 65, 65, 65]
Bar;0  2;[0.0, 1.0, 3.0, 3.5];[68, 67, 68, 70]
Bar;0  2;[0.0, 0.6666666666666643, 1.3333333333333357, 2.0, 2.6666666666666643, 3.3333333333333357];[72, 68, 70, 72, 68, 72]
Bar;0  2;[0.0];[70]
Grp;0.0;;
Bar;0  2;[0.0, 1.5, 2.0, 3.0];[70, 63, 63, 63]
Bar;0  2;[0.0, 1.0, 3.0];[74, 72, 60]
Bar;0  2;[0.0, 1.0, 3.0];[72, 70, 75]
Bar;0  2;[0.0, 3.0];[68, 65]
Grp;0.0;;
Bar;0  1  2  3;[0.0, 1.0, 2.0, 3.0];[58, 63, 68, 67]
Bar;0  2;[0.0, 2.0];[63, 65]
Bar;0;[0.0];[63]
Bar;0  2;[];[]
