TS;2/4;;
Grp;0.0;;
Bar;0;[0.0, 0.5, 1.0, 1.5];[75, 76, 78, 79]
Bar;0;[0.0, 0.16666666666666652, 0.3333333333333335, 0.5, 1.0, 1.5];[78, 79, 78, 76, 75, 78]
Bar;0;[0.0, 0.16666666666666696, 0.33333333333333304, 0.5, 1.0, 1.25, 1.5, 1.75];[78, 79, 78, 76, 76, 71, 70, 71]
Bar;;[0.0, 0.25, 0.5, 0.75, 1.0];[79, 76, 78, 75, 76]
Grp;0.0;;
Bar;0;[0.0, 0.5, 1.0, 1.5];[71, 72, 74, 76]
Bar;;[0.0, 0.16666666666666607, 0.3333333333333339, 0.5, 1.0, 1.5];[74, 76, 74, 72, 71, 72]
Bar;0;[0.0, 0.16666666666666607, 0.3333333333333339, 0.5, 1.0, 1.5, 1.75];[71, 72, 71, 69, 69, 75, 78]
Bar;;[0.0, 0.25, 0.5, 0.75, 1.0];[76, 75, 72, 71, 69]
Grp;0.0;;
Bar;0;[0.0, 0.5, 1.0, 1.5];[76, 75, 76, 78]
Bar;;[0.0, 0.16666666666666785, 0.33333333333333215, 0.5, 1.0];[76, 78, 76, 72, 69]
Bar;0;[0.0, 0.5, 1.0, 1.5];[71, 70, 71, 72]
Bar;;[0.0, 0.16666666666666785, 0.33333333333333215, 0.5, 1.0];[71, 72, 71, 67, 64]
Grp;0.0;;
Bar;0;[0.0, 0.5, 1.0, 1.5];[71, 72, 75, 76]
Bar;;[0.0, 0.16666666666666785, 0.33333333333333215, 0.5, 1.0, 1.5];[78, 79, 78, 76, 75, 78]
Bar;0;[0.0, 0.16666666666666785, 0.33333333333333215, 0.5, 1.0, 1.25, 1.5, 1.75];[78, 79, 78, 76, 76, 71, 70, 71]
Bar;;[0.0, 0.25, 0.5, 0.75, 1.0];[79, 76, 78, 75, 76]
Grp;0.0;;
Bar;0;[0.0, 0.5, 1.0, 1.5];[75, 76, 78, 79]
Bar;0;[0.0, 0.1666666666666643, 0.3333333333333357, 0.5, 1.0, 1.5];[78, 79, 78, 76, 75, 78]
Bar;0;[0.0, 0.1666666666666643, 0.3333333333333357, 0.5, 1.0, 1.25, 1.5, 1.75];[78, 79, 78, 76, 76, 71, 70, 71]
Bar;;[0.0, 0.25, 0.5, 0.75, 1.0];[79, 76, 78, 75, 76]
Grp;0.0;;
Bar;0;[0.0, 0.5, 1.0, 1.5];[71, 72, 74, 76]
Bar;;[0.0, 0.1666666666666643, 0.3333333333333357, 0.5, 1.0, 1.5];[74, 76, 74, 72, 71, 72]
Bar;0;[0.0, 0.1666666666666643, 0.3333333333333357, 0.5, 1.0, 1.5, 1.75];[71, 72, 71, 69, 69, 75, 78]
Bar;;[0.0, 0.25, 0.5, 0.75, 1.0];[76, 75, 72, 71, 69]
Grp;0.0;;
Bar;0;[0.0, 0.5, 1.0, 1.5];[76, 75, 76, 78]
Bar;;[0.0, 0.1666666666666643, 0.3333333333333357, 0.5, 1.0];[76, 78, 76, 72, 69]
Bar;0;[0.0, 0.5, 1.0, 1.5];[71, 70, 71, 72]
Bar;;[0.0, 0.1666666666666643, 0.3333333333333357, 0.5, 1.0];[71, 72, 71, 67, 64]
Bar;0;[0.0, 0.5, 1.0, 1.5];[66, 67, 69, 71]
Bar;;[0.0, 0.5, 1.0, 1.5];[72, 76, 75, 72]
Bar;0;[0.0, 0.1666666666666643, 0.3333333333333357, 0.5, 1.0, 1.25, 1.5, 1.75];[72, 74, 72, 71, 71, 71, 70, 71]
Bar;;[0.0, 0.25, 0.5, 0.75, 1.0, 1.75];[74, 71, 72, 70, 71, 74]
Grp;0.0;;
Bar;0;[0.0, 0.5, 1.0, 1.5];[76, 75, 76, 78]
Bar;;[0.0, 0.1666666666666714, 0.3333333333333286, 0.5, 1.0];[76, 78, 76, 72, 69]
Bar;0;[0.0, 0.5, 1.0, 1.5];[71, 70, 71, 72]
Bar;;[0.0, 0.1666666666666714, 0.3333333333333286, 0.5, 1.0];[71, 72, 71, 67, 64]
Grp;0.0;;
Bar;0;[0.0, 0.5, 1.0, 1.5];[71, 72, 75, 76]
Bar;;[0.0, 0.1666666666666714, 0.3333333333333286, 0.5, 1.0, 1.5];[78, 79, 78, 76, 75, 78]
Bar;0;[0.0, 0.1666666666666714, 0.3333333333333286, 0.5, 1.0, 1.25, 1.5, 1.75];[78, 79, 78, 76, 76, 71, 70, 71]
Bar;0;[0.0, 0.25, 0.5, 0.75, 1.0];[79, 76, 78, 75, 76]
