TS;3/4;;
Bar;;[];[]
Grp;1.0;;
Bar;1;[1.0, 2.0];[64, 63]
Bar;0;[0.0, 1.0, 2.0];[64, 60, 69]
Bar;0;[0.0, 1.0, 2.0];[68, 62, 71]
Bar;0;[0.0, 2.0];[69, 64]
Bar;;[0.0];[64]
Grp;1.0;;
Bar;;[1.0, 2.0];[69, 68]
Bar;0;[0.0, 1.0, 2.0];[69, 64, 65]
Bar;;[0.0, 1.0, 2.0];[67, 65, 64]
Bar;0;[0.0];[69]
Bar;;[];[]
Grp;1.0;;
Bar;;[1.0, 2.0];[65, 64]
Bar;0;[0.0, 1.0, 2.0];[65, 62, 69]
Bar;0;[0.0, 1.0, 2.0];[68, 64, 71]
Bar;0;[0.0, 1.0, 2.0];[69, 64, 69]
Grp;0.0;;
Bar;0;[0.0, 1.0, 2.0];[69, 68, 69]
Bar;0;[0.0, 1.0, 2.0];[72, 71, 69]
Bar;0;[0.0, 1.0, 2.0];[69, 68, 69]
Bar;0;[0.0];[71]
Bar;;[];[]
Grp;1.0;;
Bar;;[1.0, 2.0];[64, 63]
Bar;0;[0.0, 1.0, 2.0];[64, 60, 69]
Bar;0;[0.0, 1.0, 2.0];[68, 62, 71]
Bar;0;[0.0, 2.0];[69, 64]
Bar;;[0.0];[64]
Grp;1.0;;
Bar;;[1.0, 2.0];[69, 68]
Bar;0;[0.0, 1.0, 2.0];[69, 64, 65]
Bar;;[0.0, 1.0, 2.0];[67, 65, 64]
Bar;0;[0.0];[69]
Bar;;[];[]
Grp;1.0;;
Bar;;[1.0, 2.0];[69, 71]
Bar;0;[0.0, 1.0, 2.0];[74, 72, 71]
Bar;;[0.0, 1.0, 2.0];[69, 67, 65]
Bar;0;[0.0, 1.0, 2.0];[65, 64, 69]
Bar;;[0.0, 1.0, 2.0];[72, 71, 69]
Grp;0.0;;
Bar;0;[0.0, 1.0, 2.0];[71, 68, 69]
Bar;;[0.0, 1.0, 2.0];[71, 69, 68]
Bar;0;[0.0];[69]
Grp;0.0;;
Bar;0;[0.0, 1.0, 2.0];[69, 68, 66]
Bar;0;[0.0, 0.5, 1.0, 1.5, 2.0];[66, 64, 64, 63, 64]
Bar;;[0.0, 1.0, 2.0];[64, 66, 68]
Bar;0;[0.0, 0.5, 1.0, 1.5, 2.0];[71, 69, 69, 68, 69]
Grp;0.0;;
Bar;0;[0.0, 1.0, 2.0];[69, 73, 69]
Bar;0;[0.0, 0.5, 1.0, 1.5, 2.0, 2.5];[69, 68, 68, 67, 68, 69]
Bar;;[0.0, 0.5, 1.0, 2.0];[71, 72, 73, 69]
Bar;0;[0.0, 1.0];[68, 66]
Grp;0.0;;
Bar;0;[0.0, 1.0, 2.0];[69, 68, 66]
Bar;0;[0.0, 1.0, 2.0];[69, 68, 69]
Bar;0;[0.0, 1.0, 2.0];[71, 70, 71]
Bar;0;[0.0, 1.0, 2.0];[74, 73, 73]
Grp;0.0;;
Bar;0;[0.0, 1.0, 2.0];[74, 73, 72]
Bar;0;[0.0, 1.0, 2.0];[73, 71, 71]
Bar;0;[0.0, 1.0, 2.0];[73, 71, 70]
Bar;0;[0.0, 1.0, 2.0];[71, 69, 68]
Grp;0.0;;
Bar;0;[0.0, 1.0, 2.0];[69, 68, 66]
Bar;0;[0.0, 0.5, 1.0, 1.5, 2.0];[66, 64, 64, 63, 64]
Bar;;[0.0, 1.0, 2.0];[64, 66, 68]
Bar;0;[0.0, 0.5, 1.0, 1.5, 2.0];[71, 69, 69, 68, 69]
Grp;0.0;;
Bar;0;[0.0, 1.0, 2.0];[69, 73, 69]
Bar;0;[0.0, 0.5, 1.0, 1.5, 2.0, 2.5];[69, 68, 68, 67, 68, 69]
Bar;;[0.0, 0.5, 1.0, 2.0];[71, 72, 73, 69]
Bar;0;[0.0, 1.0];[68, 66]
Grp;0.0;;
Bar;0;[0.0, 1.0, 2.0];[69, 68, 66]
Bar;0;[0.0, 1.0, 2.0];[69, 68, 69]
Bar;0;[0.0, 1.0, 2.0];[68, 66, 68]
Bar;0;[0.0, 1.0, 2.0];[66, 64, 64]
Grp;0.0;;
Bar;0;[0.0, 1.0, 2.0];[64, 66, 69]
Bar;0;[0.0, 1.0, 2.0];[73, 71, 70]
Bar;0;[0.0, 1.0, 2.0];[71, 69, 68]
Bar;0;[0.0];[69]
Bar;0;[0.0];[69]
