TS;2/4;;
Bar;1.5;[1.5, 1.75];[66, 66]
Grp;0.0;;
Bar;0;[0.0, 0.5, 0.75, 1.0, 1.5, 1.75];[69, 66, 66, 69, 66, 66]
Bar;;[0.0, 0.5, 1.5, 1.75];[69, 66, 66, 67]
Bar;1;[0.0, 0.25, 0.5, 0.75, 1.0, 1.25, 1.5, 1.75];[69, 69, 69, 69, 71, 69, 67, 66]
Bar;0;[0.0, 1.5, 1.75];[67, 67, 67]
Grp;0.0;;
Bar;0;[0.0, 0.5, 0.75, 1.0, 1.5, 1.75];[71, 67, 67, 71, 67, 67]
Bar;;[0.0, 0.5, 1.5, 1.75];[71, 67, 67, 69]
Bar;1;[0.0, 0.25, 0.5, 0.75, 1.0, 1.25, 1.5, 1.75];[71, 71, 71, 71, 74, 74, 73, 71]
Bar;0;[0.0, 1.5, 1.75];[69, 66, 66]
Grp;0.0;;
Bar;0;[0.0, 0.5, 0.75, 1.0, 1.5, 1.75];[69, 66, 66, 69, 66, 66]
Bar;;[0.0, 0.5, 1.5, 1.75];[69, 66, 66, 67]
Bar;0;[0.0, 0.25, 0.5, 0.75, 1.0, 1.25, 1.5, 1.75];[69, 69, 69, 69, 71, 69, 67, 66]
Bar;0;[1.5, 1.75];[67, 66]
Grp;0.0;;
Bar;0;[0.0, 0.25, 0.5, 0.75, 1.0, 1.25, 1.5, 1.75];[64, 63, 64, 66, 67, 69, 71, 73]
Bar;0;[0.0, 0.5, 1.25, 1.5, 1.75];[76, 74, 69, 68, 69]
Bar;0           1         1.5;[0.0, 0.25, 0.5, 0.75, 1.0, 1.25, 1.5, 1.75];[73, 71, 69, 67, 66, 69, 67, 64]
Bar;0         1.5;[0.0, 1.5];[62, 71]
Grp;0.0;;
Bar;0;[0.0, 0.75, 1.0, 1.25, 1.5, 1.75];[74, 72, 71, 69, 72, 71]
Bar;;[0.0, 0.5];[69, 67]
Bar;0;[0.0, 0.75, 1.0, 1.25, 1.5, 1.75];[74, 72, 71, 69, 68, 71]
Bar;0;[0.0];[69]
Bar;;[0.0, 0.75, 1.0, 1.25, 1.5, 1.75];[76, 74, 72, 71, 69, 68]
Bar;0;[1.25, 1.5, 1.75];[69, 68, 69]
Bar;0;[1.5];[71]
Grp;0.0;;
Bar;0;[0.0, 0.75, 1.0, 1.25, 1.5, 1.75];[74, 72, 71, 69, 72, 71]
Bar;;[0.0, 0.5];[69, 67]
Bar;0  1;[0.0, 0.75, 1.0, 1.25, 1.5, 1.75];[76, 74, 72, 71, 69, 68]
Bar;0;[0.0, 1.5, 1.75];[69, 72, 72]
Grp;0.0;;
Bar;0;[0.0, 0.25, 0.5, 0.75, 1.0, 1.25, 1.5, 1.75];[76, 72, 72, 72, 76, 72, 72, 72]
Bar;0;[0.0, 0.25, 0.5, 0.75, 1.0, 1.25, 1.5, 1.75];[74, 71, 71, 71, 74, 71, 71, 71]
Bar;0;[0.0, 0.25, 0.5, 0.75, 1.0, 1.25, 1.5, 1.75];[72, 69, 69, 69, 72, 69, 69, 66]
Bar;0;[0.0];[67]
