TS;3/4;;
Bar;1;[1.0, 1.5, 2.0, 2.5];[69, 71, 72, 69]
Grp;0.0;;
Bar;0;[0.0, 2.0];[72, 69]
Bar;;[0.0, 1.0, 1.5, 2.0, 2.5];[69, 69, 71, 72, 69]
Bar;;[0.0, 2.0];[72, 69]
Bar;;[0.0, 1.0, 1.5, 2.0, 2.5];[69, 69, 71, 72, 69]
Bar;;[0.0, 0.5, 1.0, 1.5, 2.0, 2.5];[72, 69, 69, 71, 72, 69]
Bar;;[0.0, 0.5, 1.0, 1.5, 2.0, 2.5];[72, 69, 69, 71, 72, 69]
Bar;0;[0.0, 2.0];[72, 65]
Bar;;[0.0, 1.0, 1.5, 2.0, 2.5];[65, 71, 72, 74, 71]
Grp;0.0;;
Bar;0;[0.0, 2.0];[74, 71]
Bar;;[0.0, 1.0, 1.5, 2.0, 2.5];[71, 71, 72, 74, 71]
Bar;0;[0.0, 2.0];[72, 69]
Bar;;[0.0, 1.0, 1.5, 2.0, 2.5];[69, 69, 71, 72, 69]
Bar;0;[0.0, 0.5, 1.0, 1.5, 2.0, 2.5];[71, 66, 65, 66, 72, 69]
Bar;;[0.0, 0.5, 1.0, 1.5, 2.0, 2.5];[71, 66, 65, 66, 72, 69]
Bar;0;[0.0];[71]
Bar;0;[0.0, 1.0, 2.5];[71, 66, 72]
Bar;0;[0.0, 1.0, 2.5];[71, 64, 72]
Bar;0;[0.0];[69]
Bar;;[1.0, 2.0];[64, 66]
Grp;0.0;;
Bar;0;[0.0];[66]
Bar;;[0.0, 1.0, 2.0];[66, 64, 73]
Bar;0;[0.0];[73]
Bar;;[0.0, 1.0, 2.0];[73, 72, 73]
Bar;0;[0.0, 1.0, 2.0];[74, 73, 72]
Bar;;[0.0, 1.0, 2.0];[74, 73, 72]
Bar;0;[0.0, 2.0];[73, 66]
Bar;;[0.0, 1.0, 2.0];[66, 65, 66]
Grp;0.0;;
Bar;0;[0.0, 1.0, 2.0];[73, 71, 70]
Bar;;[0.0, 1.0, 2.0];[73, 71, 70]
Bar;0;[0.0, 2.0];[71, 69]
Bar;;[0.0, 1.0, 2.0];[69, 68, 67]
Bar;0;[0.0, 1.0, 2.0];[69, 68, 71]
Bar;;[0.0, 1.0, 2.0];[69, 68, 63]
Bar;0;[0.0];[68]
Bar;0;[1.0, 2.0];[64, 66]
Grp;0.0;;
Bar;0;[0.0];[66]
Bar;;[0.0, 1.0, 2.0];[66, 64, 73]
Bar;0;[0.0];[73]
Bar;;[0.0, 1.0, 2.0];[73, 72, 73]
Bar;0;[0.0, 1.0, 2.0];[74, 73, 76]
Bar;;[0.0, 1.0, 2.0];[74, 73, 72]
Bar;0;[0.0, 2.0];[73, 71]
Bar;;[0.0, 1.0, 2.0];[71, 71, 73]
Grp;0.0;;
Bar;0;[0.0, 1.0, 2.0];[74, 73, 71]
Bar;;[0.0, 1.0, 2.0];[71, 69, 68]
Bar;0;[0.0, 1.0, 2.0];[71, 69, 63]
Bar;0;[0.0, 1.0, 2.0];[64, 74, 73]
Bar;0;[0.0, 1.0, 2.0];[73, 71, 66]
Bar;0;[0.0, 1.0, 2.0];[69, 68, 64]
Bar;0;[0.0];[69]
Bar;0;[0.0];[69]
