TS;4/4;;
Bar;;[3.0, 3.5];[67, 69]
Grp;0.0;;
Bar;0  2;[0.0, 0.5, 1.0, 2.0, 2.5];[71, 69, 67, 69, 69]
Bar;0;[0.0, 3.0, 3.5];[64, 67, 69]
Bar;0  2;[0.0, 0.5, 1.0, 2.0, 2.5];[71, 69, 67, 76, 71]
Bar;0;[0.0, 3.0];[74, 69]
Grp;0.0;;
Bar;0;[0.0, 0.5, 1.5, 2.0, 3.0, 3.5];[70, 69, 67, 69, 64, 67]
Bar;0;[0.0, 0.5, 1.0, 1.5, 2.0];[70, 69, 67, 64, 64]
Bar;0  3;[1.0, 1.5, 2.0, 3.0, 3.5];[76, 74, 74, 70, 67]
Bar;0;[0.0, 3.0, 3.5];[67, 67, 69]
Bar;;[0.0, 3.0, 3.5];[67, 62, 64]
Grp;0.0;;
Bar;0;[0.0, 1.5, 2.0, 3.5];[65, 64, 65, 67]
Bar;0;[0.0, 0.5, 1.0, 3.0, 3.5];[65, 64, 62, 62, 59]
Bar;0  2;[0.0, 1.0, 2.0, 3.0];[60, 64, 67, 65]
Bar;0;[0.0, 3.0, 3.5];[64, 64, 66]
Grp;0.0;;
Bar;0;[0.0, 1.5, 2.0, 3.5];[67, 66, 67, 69]
Bar;0;[0.0, 0.5, 1.0, 3.0, 3.5];[67, 66, 64, 64, 64]
Bar;0;[0.0, 1.0, 2.0, 3.0];[69, 62, 62, 62]
Bar;0  3;[0.0, 3.0, 3.5];[70, 67, 69]
Grp;0.0;;
Bar;0  2;[0.0, 0.5, 1.0, 2.0, 2.5];[71, 69, 67, 69, 69]
Bar;0;[0.0, 3.0, 3.5];[64, 67, 69]
Bar;0  2;[0.0, 0.5, 1.0, 2.0, 2.5];[71, 69, 67, 76, 71]
Bar;0;[0.0, 3.0];[74, 69]
Grp;0.0;;
Bar;0;[0.0, 0.5, 1.5, 2.0, 3.0, 3.5];[70, 69, 67, 69, 64, 67]
Bar;0;[0.0, 0.5, 1.0, 1.5, 2.0];[70, 69, 67, 64, 64]
Bar;0  3;[1.0, 1.5, 2.0, 3.0, 3.5];[76, 74, 74, 70, 67]
Bar;0;[0.0];[67]
Bar;;[0.0, 3.0, 3.5];[67, 72, 71]
Bar;0;[0.0, 3.0, 3.5];[71, 72, 71]
Bar;0;[0.0, 3.0, 3.5];[71, 72, 71]
Bar;0;[];[]
Bar;0;[0.0];[64]
