TS;2/2;;
Grp;1.5;;
Bar;0;[0.0, 1.0];[69, 69]
Bar;0;[1.0, 2.0];[70, 65]
Bar;0;[0.0, 1.0, 2.0, 3.0];[64, 69, 64, 64]
Bar;0;[0.0, 1.0, 2.0, 3.0];[62, 65, 68, 65]
Bar;0  2;[0.0, 2.0, 3.0];[64, 62, 65]
Bar;0;[];[]
Grp;0.0;;
Bar;;[];[]
Bar;0;[0.0, 2.0];[69, 69]
Bar;0;[1.0, 2.0];[70, 65]
Bar;0;[0.0, 1.0, 2.0, 3.0];[64, 69, 64, 64]
Bar;0;[0.0, 1.0, 2.0, 3.0];[62, 65, 68, 65]
Bar;0  2;[0.0, 2.0, 2.6666666666666643, 3.3333333333333357];[64, 62, 64, 65]
Bar;0;[];[]
Grp;0.0;;
Bar;;[3.0];[69]
Bar;0;[0.0, 0.6666666666666643, 1.3333333333333357, 2.0, 2.6666666666666643, 3.3333333333333357];[74, 72, 69, 74, 72, 69]
Bar;;[0.0, 1.0];[76, 74]
Bar;0;[0.5, 1.0, 1.5, 2.0, 3.0];[70, 70, 69, 70, 65]
Bar;0;[0.0];[65]
Grp;0.0;;
Bar;;[];[]
Bar;0  2  3;[0.5, 1.0, 1.5, 2.0, 3.0];[69, 69, 69, 74, 69]
Bar;0  2;[0.0, 0.5, 2.0, 2.5, 3.0];[67, 65, 65, 65, 67]
Bar;0  2;[];[]
Bar;0  2;[];[]
Bar;0  2;[0.0, 2.0, 3.0];[69, 67, 65]
Bar;0;[];[]
Grp;0.0;;
Bar;;[];[]
Bar;0;[1.0, 2.0, 3.0];[69, 72, 74]
Bar;0;[0.0];[74]
Bar;0;[0.0];[72]
Bar;0;[1.0, 1.5, 2.0, 3.0];[62, 64, 65, 62]
Bar;0;[];[]
Grp;0.0;;
Bar;;[1.0, 1.5, 2.0, 3.0];[61, 62, 64, 69]
Bar;0;[0.0, 2.0];[69, 69]
Bar;0;[1.0, 2.0];[70, 65]
Bar;0  1  2;[0.0, 1.0, 2.0, 3.0];[64, 69, 64, 64]
Bar;0;[0.0, 1.0, 2.0, 3.0];[62, 65, 68, 65]
Bar;0  2;[0.0, 2.0, 2.6666666666666714, 3.3333333333333286];[64, 62, 64, 65]
Bar;0;[];[]
Grp;0.0;;
Bar;;[3.0, 3.5];[62, 64]
Bar;0  2;[0.0, 1.0, 2.0, 3.0];[65, 62, 67, 64]
Bar;0  2;[0.0, 1.0, 2.0, 3.5];[65, 62, 67, 64]
Bar;0  2;[0.0, 2.0, 3.0];[65, 64, 62]
Bar;0  2  3;[0.0, 2.0, 3.0];[61, 62, 64]
Bar;0  2  3;[0.0];[62]
Bar;0;[0.0];[62]
