TS;4/4
Bar;
Grp;4
Bar;0
Bar;0
Bar;0  2
Bar;0
Grp;20
Bar;0
Bar;0
Bar;0  2
Bar;0
Bar;
Grp;40
Bar;0
Bar;
Bar;0
Bar;0
Grp;56
Bar;0
Bar;
Bar;0
Bar;0
Bar;
Grp;76
Bar;0
Bar;
Bar;
Bar;2
Grp;92
Bar;0
Bar;
Bar;0
Bar;0
Bar;0
Bar;0
Grp;116
Bar;0
Bar;
Bar;
Grp;128
Bar;0
Bar;
Bar;0
Bar;2
Grp;144
Bar;0
Bar;0
Bar;0
Bar;0
Grp;160
Bar;0
Bar;0
Bar;0
Bar;0
Bar;0
Grp;180
Bar;0
Bar;0  2
Bar;
Bar;
Grp;196
Bar;0
Bar;0  2
Bar;0  2
Bar;0
Bar;
Grp;216
Bar;0
Bar;
Bar;
Grp;228
Bar;0
Bar;
Bar;0
Bar;0
Grp;244
Bar;0
Bar;0
Bar;0
Bar;0
Grp;260
Bar;0
Bar;0
Bar;0
Bar;0
Bar;0
Grp;280
Bar;0
Bar;0
Bar;0
Bar;
Grp;296
Bar;0
Bar;0
Bar;0
Bar;
Grp;312
Bar;0
Bar;
Bar;0
Bar;0
Grp;328
Bar;0
Bar;
Bar;0
Bar;0  1  2
