time;surface;reduction;melodyPC;melodyMIDI
;;;;
tonality;7;[0 2 4 5 7 9 11];-------;-------
grouping;0;-------;-------;-------
0;[0 0 4 7];[0 0 4 7];0;67
1;[0 0 4 7];[0 0 4 7];4;71
2;[7 0 4 7];[7 0 4 7];7;74
3;[0 0 4 7 14];[0 0 4 7];4;71
3.5;[0 0 4 7];;;
4;[2 0 5 10];[7 0 4 7];2;69
4.5;[7 0 4 7];;;
5;[0 0 4 7];[0 0 4 7];4;71
5.5;[0 0 4 7 11];;;
6;[6 0 3 6];[6 0 3 6];6;73
7;[7 0 4 7];[7 0 4 7];7;74
grouping;8;-------;-------;-------
8;[2 0 3 7];[2 0 3 7];9;76
8.5;[2 0 3 7 10];;;
9;[7 0 4 7];[7 0 4 7];7;74
9.5;[7 0 4 7 10];[7 0 4 7 10];5;72
10;[0 0 4 7 14];[0 0 4 7];4;71
10.5;[0 0 4 7];;;
11;[2 0 4 7 10];[4 0 4 7 10];2;69
11.5;[4 0 4 7 10];;;
12;[9 0 3 7];[9 0 3 7];0;67
12.5;[7 0 4 7];[7 0 4 7];2;69
13;[0 0 4 7 14];[0 0 4 7];4;71
13.5;[0 0 4 7];;;
14;[2 0 5 10];[7 0 4 7];2;69
14.5;[7 0 4 7];;;
15;[0 0 4 7];[0 0 4 7];0;67
tonality;2;[0 2 4 5 7 9 11];-------;-------
grouping;16;-------;-------;-------
16;[0 0 4 7];[0 0 4 7];7;69
17;[5 0 4 7];[5 0 4 7];9;71
17.5;[5 0 4 7 14];;;
18;[5 0 4 7];[5 0 4 7];9;71
18.5;[5 0 4 7 18];;;
19;[7 0 5 10];[0 0 4 7];7;69
19.5;[2 0 5 10 15];;;
20;[0 0 4 7];[0 0 4 7];0;74
20.5;[9 0 3 7];[9 0 3 7];;
21;[2 0 3 7 10];[2 0 3 7 10];0;74
21.5;[2 0 3 10];;;
22;[7 0 4 7];[7 0 4 7];11;73
22.5;[7 0 4 7];;;
23;[0 0 4 7];[0 0 4 7];0;74
tonality;7;[0 2 4 5 7 9 11];-------;-------
grouping;24;-------;-------;-------
24;[0 0 4 7];[0 0 4 7];4;71
24.5;[0 0 4 7 10];;;
25;[5 0 4 7];[5 0 4 7];5;72
25.5;[2 0 3 7 9];;;
26;[0 0 4 7];[0 0 4 7];4;71
26.5;[0 0 4];;;
27;[2 0 4 7 10];[4 0 4 7 10];2;69
27.5;[4 0 4 7 10];;;
28;[9 0 3 7 14];[9 0 3 7];0;67
28.5;[9 0 3 7];;;
29;[0 0 4 7];[0 0 4 7];0;67
29.5;[0 0 4 7 17];;;
30;[7 0 4 7];[7 0 4 7];11;66
31;[0 0 4 7];[0 0 4 7];0;67
