time;surface;reduction;melodyPC;melodyMIDI
;;;;
tonality;4;[0 2 3 5 7 8 10];-------;-------
grouping;0;-------;-------;-------
0;[0 0 3 7];[0 0 3 7];7;71
0.5;[0 0 3 7 14];;;
1;[3 0 4 7];[3 0 4 7];7;71
1.5;[3 0 4 7 11];;;
2;[5 0 3 7];[5 0 3 7];5;69
2.5;[5 0 3 7 17];;;
3;[0 0 3 7];[0 0 3 7];3;67
4;[5 0 3 7 9];[5 0 3 7 9];2;66
5;[7 0 4 7];[7 0 4 7];;
5.5;[7 0 4 7 10];[7 0 4 7 10];;
6;[0 0 3 7];[0 0 3 7];0;64
grouping;8;-------;-------;-------
8;[0 0 3 7];[0 0 3 7];7;71
8.5;[0 0 3 7 14];;;
9;[3 0 4 7];[3 0 4 7];7;71
10;[2 0 3 7];[2 0 3 7];9;73
10.5;[3 0 4 6];;;
11;[2 0 3 6 9];[2 0 3 6 9];11;75
12;[0 0 4 7];[0 0 4 7];0;76
13;[2 0 4 7 10];[2 0 4 7 10];;
14;[7 0 4 7];[7 0 4 7];11;75
grouping;16;-------;-------;-------
16;[0 0 3 7];[0 0 3 7];0;76
16.5;[2 0 5 10 15];;;
17;[0 0 3 7];[0 0 3 7];3;79
18;[2 0 5 10];[7 0 4 7];2;78
19;[7 0 4 7 10];[7 0 4 7 10];;
19.5;[7 0 5 10 16];;0;76
20;[0 0 3 7];[0 0 3 7];0;76
grouping;24;-------;-------;-------
24;[0 0 3 7];[0 0 3 7];7;71
24.5;[2 0 5 10];;;
25;[0 0 3 7];[0 0 3 7];7;71
25.5;[11 0 4 8];;;
26;[5 0 3 7];[5 0 3 7];8;72
26.5;[10 0 4 7 10];;;
tonality;7;[0 2 4 5 7 9 11];-------;-------
27;[9 0 3 7];[9 0 3 7];4;71
28;[2 0 4 7 10];[2 0 4 7 10];2;69
29;[7 0 4 7];[7 0 4 7];;
29.5;[7 0 4 5];;0;67
30;[0 0 4 7];[0 0 4 7];0;67
tonality;11;[0 2 3 5 7 8 10];-------;-------
grouping;32;-------;-------;-------
32;[8 0 4 7];[8 0 4 7];0;71
32.5;[8 0 4 7 11];;;
33;[2 0 3 6];[2 0 3 6];2;73
34;[3 0 4 8];[3 0 4 8];3;74
34.5;[3 0 4 8 14];;;
35;[0 0 3 7];[0 0 3 7];0;71
36;[2 0 3 6 9];[2 0 3 6 9];5;76
37;[0 0 3 7];[0 0 3 7];3;74
37.5;[0 0 3 7 17];;;
38;[2 0 5 10];[7 0 4 7];2;73
39;[7 0 4 7];[7 0 4 7 10];;
39.5;[7 0 4 7 10];;;
40;[0 0 4 7];[0 0 4 7];0;71
tonality;4;[0 2 3 5 7 8 10];-------;-------
grouping;42;-------;-------;-------
42;[4 0 3 6];[4 0 3 6];7;71
42.5;[8 0 4 8 11];;;
43;[7 0 3 6 9];[7 0 3 6 9];7;71
44;[5 0 4 7];[5 0 4 7];5;69
44.5;[2 0 3 6 9];[2 0 3 6 9];;
45;[0 0 3 7];[0 0 3 7];3;67
45.5;[0 0 3 7];;;
46;[2 0 4 7 10];[2 0 4 7 10];2;66
47;[7 0 4 7];[7 0 4 7];;
47.5;[7 0 4 7 10];[7 0 4 7 10];;
48;[0 0 4 7];[0 0 4 7];0;64
