time;surface;reduction;melodyPC;melodyMIDI
;;;;
tonality;10;[0 2 4 5 7 9 11];-------;-------
grouping;2;-------;-------;-------
2;[4 0 3 7 10];[4 0 3 7 10];;
1.5;[4 0 3 7 10];;;
2;[4 0 3 7 10];;;
3;[4 0 3 7 10];;;
3.5;[4 0 3 7 10];;;
4.5;[4 0 3 7 10];;;
5.5;[4 0 3 7 10];;;
6;[3 0 4 7 10];[3 0 4 7 10];;
6.5;[3 0 4 7 10];;;
8.5;[3 0 4 7 10];;;
9.5;[3 0 4 7 10];;;
10;[2 0 3 7 10 17];[2 0 3 7 10 17];;
11;[2 0 3 7 10 17];;;
11.5;[2 0 3 7 10 17];;;
12.5;[2 0 3 7 10 17];;;
13.5;[2 0 3 7 10 17];;;
14;[4 0 3 7 9];[4 0 3 7 9];;
16.5;[4 0 3 7 9];;;
17.5;[4 0 3 7 9];;;
grouping;18;-------;-------;-------
18;[4 0 3 7 10];[4 0 3 7 10];;
19;[4 0 3 7 10];;;
19.5;[4 0 3 7 10];;;
20.5;[4 0 3 7 10];;;
21.5;[4 0 3 7 10];;;
22;[3 0 4 7 10];[3 0 4 7 10];;
22.5;[3 0 4 7 10];;;
24.5;[3 0 4 7 10];;;
25.5;[3 0 4 7 10];;;
26;[2 0 3 7 10 17];[2 0 3 7 10 17];;
27;[2 0 3 7 10 17];;;
27.5;[2 0 3 7 10 17];;;
28.5;[2 0 3 7 10 17];;;
29.5;[2 0 3 7 10 17];;;
30;[4 0 3 7 9];[4 0 3 7 9];;
32.5;[0 0 4 7 11 13];;;
33.5;[0 0 4 7 11 13];;;
tonality;3;[0 2 4 5 7 9 11];-------;-------
grouping;34;-------;-------;-------
34;[2 0 3 7 10 17];[2 0 3 7 10 17];;
35;[2 0 3 7 10 17];;;
35.5;[2 0 3 7 10 17];;;
36.5;[2 0 3 7 10 17];;;
37.5;[2 0 3 7 10 17];;;
38;[7 0 4 7 10];[7 0 4 7 10];;
38.5;[7 0 4 7 10];;;
40.5;[7 0 4 7 10];;;
41.5;[7 0 4 7 10];;;
42;[0 0 4 7 11];[0 0 4 7 11];;
43;[0 0 4 7 11];;;
43.5;[0 0 4 7 11];;;
44.5;[0 0 4 7 11];;;
45.5;[0 0 4 7 11];;;
46;[5 0 4 7 10 14];[5 0 4 7 10 14];;
48;;[2 0 3 7 10 13];;
48.5;[2 0 3 7 10 13];;;
49.5;[2 0 3 7 10 13];;;
grouping;50;-------;-------;-------
50;[11 0 3 7 10];[11 0 3 7 10];;
51;[11 0 3 7 10];;;
51.5;[11 0 3 7 10];;;
52.5;[11 0 3 7 10];;;
53.5;[11 0 3 7 10];;;
54;[10 0 4 7 10];[10 0 4 7 10];;
54.5;[10 0 4 7 10];;;
55.5;[10 0 4 7 10];;;
56.5;[10 0 4 7 10];;;
57;[10 0 4 7 10];;;
58;[9 0 3 7 10 17];[9 0 3 7 10 17];;
59;[9 0 3 7 10 17];;;
59.5;[9 0 3 7 10 17];;;
60;[11 0 3 7 9];[11 0 3 7 9];;
60.5;[11 0 3 7 9];;;
61.5;[7 0 4 7 11 13];;;
62;[4 0 3 7 10];[4 0 3 7 10];;
tonality;1;[0 2 4 5 7 9 11];-------;-------
grouping;66;-------;-------;-------
66;[2 0 3 7 10];[2 0 3 7 10];;
66.5;[2 0 3 7 10 21];;;
67;[2 0 3 7 10];[2 0 3 7 10];;
67.5;[2 0 3 7 10];;;
68;[2 0 3 7 10];;;
68.5;[2 0 3 7 10 21];;;
69;[2 0 3 7 10];[2 0 3 7 10];;
69.5;[2 0 3 7 10 17];;;
70;[7 0 4 7 10];[7 0 4 7 10];;
70.5;[4 0 3 7 10 13];;;
71;[7 0 4 7 10];[7 0 4 7 10];;
71.5;[7 0 4 7 10 17];;;
72;[7 0 4 7 10];[7 0 4 7 10];;
72.5;[7 0 4 7 10 17];;;
73;[7 0 4 7 10];[7 0 4 7 10];;
73.5;[4 0 3 7 10 13];;;
74;[0 0 4 7 11];[0 0 4 7 11];;
75.5;[9 0 3 7 10 14];;;
76.5;[0 0 4 7 11];;;
77;[0 0 4 7 11];;;
77.5;[0 0 4 7 11];;;
78;[0 0 4 7 11];[0 0 4 7 11];;
79.5;[9 0 3 7 10 14];;;
tonality;11;[0 2 4 5 7 9 11];-------;-------
grouping;82;-------;-------;-------
82;[2 0 3 7 10];[2 0 3 7 10];;
82.5;[2 0 3 7 10 21];;;
83;[2 0 3 7 10];[2 0 3 7 10];;
83.5;[2 0 3 7 10];;;
84;[2 0 3 7 10];;;
84.5;[2 0 3 7 10 21];;;
85;[2 0 3 7 10];[2 0 3 7 10];;
85.5;[2 0 3 7 10 17];;;
86;[7 0 4 7 10];[7 0 4 7 10];;
86.5;[4 0 3 7 10 13];;;
87;[7 0 4 7 10];[7 0 4 7 10];;
87.5;[7 0 4 7 10 17];;;
88;[7 0 4 7 10];[7 0 4 7 10];;
88.5;[7 0 4 7 10 17];;;
89;[7 0 4 7 10];[7 0 4 7 10];;
89.5;[4 0 3 7 10 13];;;
90;[0 0 4 7 11];[0 0 4 7 11];;
91.5;[9 0 3 7 10 14];;;
92.5;[0 0 4 7 11];;;
93;[0 0 4 7 11];;;
93.5;[0 0 4 7 11];;;
94;[4 0 3 7 9];[4 0 3 7 9];;
95.5;[4 0 3 7 9 14];;;
96;[3 0 3 7 9];[3 0 3 7 9];;
96.5;[3 0 3 7 9];;;
97.5;[3 0 3 7 9];;;
tonality;10;[0 2 4 5 7 9 11];-------;-------
grouping;98;-------;-------;-------
98;[7 0 3 7 10 17];[7 0 3 7 10 17];;
99;[7 0 3 7 10 17];;;
99.5;[7 0 3 7 10 17];;;
100.5;[7 0 3 7 10 17];;;
101.5;[7 0 3 7 10 17];;;
102;[0 0 4 7 10];[0 0 4 7 10];;
102.5;[0 0 4 7 10];;;
104.5;[0 0 4 7 10];;;
105.5;[0 0 4 7 10];;;
106;[5 0 4 7 11];[5 0 4 7 11];;
107;[5 0 4 7 11];;;
107.5;[5 0 4 7 11];;;
108.5;[5 0 4 7 11];;;
109.5;[5 0 4 7 11];;;
110;[10 0 4 7 10 14];[10 0 4 7 10 14];;
112.5;[10 0 4 7 10 14];;;
113.5;[10 0 4 7 10 14];;;
grouping;114;-------;-------;-------
114;[0 0 3 7 10];[0 0 3 7 10];;
115;[0 0 3 7 10];;;
115.5;[0 0 3 7 10];;;
116.5;[0 0 3 7 10];;;
117.5;[0 0 3 7 10];;;
118;[2 0 4 7 10];[2 0 4 7 10];;
118.5;[2 0 4 7 10];;;
119.5;[2 0 4 7 10];;;
120;[2 0 4 7 10];;;
121;[2 0 4 7 10];;;
122;[1 0 4 7 11];[1 0 4 7 11];;
123;[1 0 4 7 11];;;
123.5;[1 0 4 7 11];;;
124.5;[1 0 4 7 11];;;
125.5;[1 0 4 7 11];;;
126;[9 0 3 7 10];[9 0 3 7 10];;
