time;surface;reduction;melodyPC;melodyMIDI
;;;;
tonality;5;[0 2 4 5 7 9 11];-------;-------
grouping;0;-------;-------;-------
0;[0 0 4 7 11 14];[0 0 4 7 11 14];;
1.5;[0 0 4 7 11];;;
2;[0 0 4 7 11];;;
2.5;[9 0 3 7 10 14];;;
3.5;[0 0 4 7 11 14];;;
4;[0 0 4 7 11 14];[0 0 4 7 11];;
5;[0 0 4 7 11];;;
5.5;[0 0 4 7 11];;;
6;[0 0 4 7 11];;;
6.5;[0 0 4 7 11];;;
7;[9 0 3 7 10 14];;;
7.5;[0 0 4 7 11 14];;;
8;[2 0 4 7 10];[2 0 4 7 10];;
9;[11 0 3 7 10 13];;;
10;[11 0 3 7 10 13];;;
11;[2 0 4 7 10];;;
11.5;[2 0 4 7 10];;;
12;[2 0 4 7 10];[2 0 4 7 10];;
12.5;[2 0 4 7 10];;;
13;[11 0 3 7 10 13];;;
13.5;[11 0 3 7 10 13];;;
14;[11 0 3 7 10 13];;;
14.5;[11 0 3 7 10 13];;;
15;[2 0 4 7 10];;;
15.5;[2 0 4 7 10];;;
grouping;16;-------;-------;-------
16;[2 0 3 7 10];[2 0 3 7 10];;
16.5;[2 0 3 7 10];;;
17.5;[2 0 3 7 10];;;
18;[2 0 3 7 10];[2 0 3 7 10];;
18.5;[2 0 3 7 10];;;
19;[2 0 3 7 10 17];;;
19.5;[2 0 3 7 10 21];;;
20;[1 0 4 7 10];[1 0 4 7 10];;
20.5;[1 0 4 7 10 18];;;
21.5;[1 0 4 7 10 18];;;
22.5;[1 0 4 7 10 18];;;
23;[1 0 4 7 10];;;
24;[0 0 4 7 11];[0 0 4 7 11];;
25;[0 0 4 7 11];;;
28;[1 0 4 7 10 18];[1 0 4 7 10 18];;
32;[0 0 4 7 11];[0 0 4 7 11];;
33;[0 0 4 7 11];;;
36;[0 0 4 7 11];[0 0 4 7 11];;
grouping;40;-------;-------;-------
40;[1 0 4 7 11];[1 0 4 7 11];;
44;[1 0 4 7 11];[1 0 4 7 11];;
44.6667;[1 0 4 7 11];;;
45.3333;[1 0 4 7 11];;;
46;[10 0 3 7 10 14];;;
46.6667;[1 0 4 7 11];;;
47.3333;[10 0 3 7 10 14];;;
48;[6 0 4 7 10 14];[6 0 4 7 10];;
49.5;[6 0 4 7 10];;;
50;[6 0 4 7 10];;;
52;[6 0 4 7 10];[6 0 4 7 10];;
55.5;[3 0 3 7 10 13];;;
grouping;56;-------;-------;-------
56;[1 0 3 7 10 14];[1 0 3 7 10 14];;
60;[1 0 3 7 10 14];[1 0 3 7 10 14];;
60.6667;[1 0 3 7 10];;;
61.3333;[1 0 3 7 10 14];;;
62;[1 0 3 7 10];;;
62.6667;[1 0 3 7 10 14];;;
63.3333;[1 0 3 7 10];;;
64;[9 0 4 7 10 14];[9 0 4 7 10];;
65.5;[9 0 4 7 10];;;
66;[9 0 4 7 10];;;
68;[9 0 4 7 10];[9 0 4 7 10];;
71.5;[9 0 4 7 10];;;
grouping;72;-------;-------;-------
72;[2 0 3 7 10 14];[2 0 3 7 10 14];;
76;[2 0 3 7 10 14];[2 0 3 7 10 14];;
76.6667;[2 0 3 7 10];;;
77.3333;[2 0 3 7 10 14];;;
78;[2 0 3 7 10];;;
78.6667;[2 0 3 7 10 14];;;
79.3333;[2 0 3 7 10];;;
80;[10 0 4 7 10 14];[10 0 4 7 10];;
81.5;[10 0 4 7 10];;;
82;[10 0 4 7 10];;;
84;[10 0 4 7 10];[10 0 4 7 10];;
grouping;86;-------;-------;-------
86.6667;[10 0 4 7 10 18];;;
87.3333;[10 0 4 7 10];;;
88;[4 0 3 7 10];[4 0 3 7 10];;
88.6667;[4 0 3 7 10];;;
89.3333;[4 0 3 7 10 17];;;
90;[4 0 3 7 10];[4 0 3 7 10];;
90.6667;[0 0 4 7 11 14];;;
91.3333;[4 0 3 7 10];;;
92;[9 0 4 7 6 10 13];[9 0 4 7 6 10 13];;
94;;[9 0 4 7 10 13];;
95;[9 0 4 7 10 13];;;
96;[2 0 3 7 10];[2 0 3 7 10];;
96.6667;[2 0 3 7 10];;;
97.3333;[2 0 3 7 10 17];;;
98;[2 0 3 7 10];[2 0 3 7 10];;
98.6667;[2 0 3 7 10 21];;;
99.3333;[2 0 3 7 10];;;
100;[7 0 4 7 6 10 13];[7 0 4 7 6 10 13];;
102;;[7 0 4 7 10 13];;
grouping;104;-------;-------;-------
104;[0 0 4 7 11 14];[0 0 4 7 11 14];;
105.5;[0 0 4 7 11];;;
106;[0 0 4 7 11];;;
106.5;[9 0 3 7 10 14];;;
107.5;[0 0 4 7 11 14];;;
108;[0 0 4 7 11 14];[0 0 4 7 11];;
109;[0 0 4 7 11];;;
109.5;[0 0 4 7 11];;;
110;[0 0 4 7 11];;;
110.5;[0 0 4 7 11];;;
111;[9 0 3 7 10 14];;;
