time;surface;reduction;melodyPC;melodyMIDI
;;;;
tonality;6;[0 2 4 5 7 9 10];-------;-------
grouping;0;-------;-------;-------
1;[0 0 7];[0 0 4 7];;
3;[10 0 4];[7 0 3 7];;
3.5;[2 0 7];;;
3.6667;[10 0 4];;;
3.8333;[2 0 7];;;
4;[0 0 7];[0 0 4 7];;
4.5;[0 0];;;
5;[10 0 4];[7 0 3 7];;
5.5;[2 0 7];;;
5.6667;[10 0 4];;;
5.8333;[2 0 7];;;
6;[0 0 7];[0 0 4 7];;
8;[0 0 7];;;
grouping;9;-------;-------;-------
9;[10 0 4];[10 0 4 7];;
9.5;[10 0 4];;;
9.75;[2 0 10];;;
10;[7 0 7];[7 0 3 7];;
10.5;[0 0 7];;;
10.6667;[7 0 7];;;
10.8333;[0 0 7];;;
11;[10 0 6];[4 0 3 6 13];;
11.5;[9 0 3];;;
12;[0 0 7];[0 0 4 7];;
13;[0 0 7];;;
grouping;15;-------;-------;-------
15;[8 0 4];[8 0 4 7];;
15.5;[6 0 4];;;
15.6667;[8 0 4];;;
15.8333;[6 0 4];;;
16;[8 0 4];;;
17;[6 0 4];[3 0 3 7];;
17.5;[8 0 4];;;
17.75;[6 0 4];;;
18;[5 0 4];[9 0 3 6];;
18.25;[7 0 3];;;
18.5;[9 0 3];;;
19;[9 0 3];[0 0 3 7 9];;
grouping;21;-------;-------;-------
21;[8 0 4];[8 0 4 7];;
21.3333;[8 0 4];;;
21.6667;[10 0 4];;;
22;[8 0 4];;;
22.5;[8 0 4];;;
23;[6 0 4];[3 0 3 7];;
23.3333;[8 0 4];;;
23.6667;[6 0 4];;;
24;[5 0 4];[9 0 3 6];;
24.25;[7 0 3];;;
24.5;[9 0 3];[9 0 3 10];;
25;[9 0 3];[5 0 4 7];;
grouping;26;-------;-------;-------
26;[9 0 3];[0 0 4 7];;
26.5;[0 0 7];;;
27;[5 0 4];[2 0 3 7];;
27.5;[0 0 7];[0 0 4 7];;
28;[10 0 4];[7 0 3 7 10];;
28.5;[10 0 4];;;
28.75;;[7 0 3 7 14];;
29;[0 0 4];[9 0 3 7 10];;
29.5;[0 0 4];;;
29.75;;[9 0 3 7 13];;
30;[2 0 3];[2 0 3 7];;
31.5;[5 0 7];;;
32;[2 0 3];;;
32.3333;[7 0 7];;;
32.6667;[5 0];;;
33;[7 0 7];[7 0 3 7];;
33.25;[4 0 3];;;
33.5;[2 0 3];;;
33.6667;[7 0 7];;;
33.8333;[2 0 3];;;
34;[7 0 7];;;
34.25;[4 0 3];;;
34.5;[2 0 3];;;
34.6667;[7 0 7];;;
34.8333;[2 0 3];;;
35;[7 0 7];;;
35.25;[7 0 10];;;
35.5;[2 0 3];;;
35.6667;[7 0 7];;;
35.8333;[2 0 3];;;
36;[7 0 7];[7 0 3 7];;
37;[10 0 4];[7 0 3 7];;
37.5;;[7 0];;
grouping;38;-------;-------;-------
38;[7 0];[7 0];;
39;[10 0];[10 0];;
39.5;[9 0];[9 0];;
40;[7 0];[7 0];;
40.25;[7 0];;;
40.5;[5 0 7];[5 0 7];;
40.75;[0 0 4];;;
41;[10 0 4];[7 0 3 7];;
41.25;[10 0 4];;;
41.5;[9 0 7];[5 0 4 14];;
41.6667;[10 0 6];;;
41.75;[10 0 7];;;
41.8333;[5 0 4];;;
42;[7 0 10];[0 0 4 7];;
42.25;[4 0 3];;;
42.5;[7 0 7];;;
42.75;[0 0 7];;;
43;[7 0 7];[7 0 3 7];;
43.5;;[9 0 3 7 10];;
43.75;[0 0 7];;;
grouping;44;-------;-------;-------
44;[10 0 6];[7 0 3 7 9];;
44.5;[5 0 4];[5 0 4 7];;
45;[2 0 6];[4 0 4 7 10];;
45.5;[8 0 7];[10 0 5 10 18];;
46;[0 0 7];[0 0 3 7 9];;
47;[2 0 7];[2 0 3 7 10];;
47.5;[2 0 7];;;
47.6667;[10 0 4];;;
47.8333;[2 0 7];;;
48;[2 0 7];[2 0 3 7 10];;
49;[0 0 7];[0 0 3 7 9];;
grouping;51;-------;-------;-------
51;[0 0 6];[2 0 4 7 10];;
51.75;[9 0 7];;;
52;[0 0 6];[9 0 3 7 17];;
52.5;[9 0 7];;;
52.75;[9 0 7];;;
53;[0 0 6];[2 0 4 7 10];;
53.75;[0 0 6];;;
54;[9 0 7];[9 0 3 7 9];;
56;[6 0 10];;;
grouping;57;-------;-------;-------
57;[11 0 3];[11 0 3 7];;
58;[9 0 3];;;
58.5;[11 0 3];;;
59;[0 0 4];[0 0 4];;
59.3333;[9 0 3];;;
59.6667;[0 0 4];;;
60;[0 0 7];[9 0 3 7 10];;
61;[0 0 4];;;
61.5;[0 0 7];;;
61.75;[7 0 3];;;
62;[9 0 3];[0 0 3 7];;
62.25;[0 0 10];;;
62.5;[0 0 7];;;
62.75;[7 0 7];;;
63;[5 0 10];[0 0 3 7 17];;
63.25;[2 0 3];;;
63.5;[0 0 7];;;
63.75;[7 0 3];;;
64;[9 0 3];;;
64.25;[0 0 10];;;
64.5;[0 0 7];;;
64.6667;[9 0 3];;;
64.75;[2 0 7];;;
64.8333;[7 0 7];;;
65;[5 0 10];;;
65.25;[2 0 3];;;
65.5;[0 0 7];;;
65.75;[7 0 3];;;
grouping;66;-------;-------;-------
66;[7 0 3];[0 0 3 7 10];;
67;[5 0 4];[5 0 4 7 10];;
68;[9 0 3];[5 0 4 7 10];;
68.5;[0 0 10];;;
69;[0 0 7];[0 0 3 7 10];;
70;[5 0 7];;;
70.5;[0 0 7];;;
71;[0 0 10];[9 0 3 6];;
71.5;[9 0 3];;;
71.75;[2 0 7];;;
72;[0 0 7];[0 0 3 7 10];;
73;[0 0 6];[9 0 3 6 9];;
grouping;74;-------;-------;-------
74;[0 0 7];[0 0 4 7];;
75;[10 0 4];[7 0 3 7];;
75.5;[2 0 7];;;
75.6667;[10 0 4];;;
75.8333;[2 0 7];;;
76;[0 0 7];[0 0 4 7];;
76.5;[0 0];;;
77;[10 0 4];[7 0 3 7];;
77.5;[2 0 7];;;
77.6667;[10 0 4];;;
77.8333;[2 0 7];;;
78;[0 0 7];[0 0 4 7];;
79;[7 0];[0 0 4 7];;
80;[4 0 3];;;
grouping;81;-------;-------;-------
81;[10 0 4];[7 0 3 7];;
81.5;[9 0 3];;;
81.6667;[0 0 10];;;
81.75;[10 0 4];;;
81.8333;[2 0 7];;;
82;[4 0 3];[0 0 4 7];;
82.5;[0 0 4];[9 0 3 7];;
83;[10 0 4];[10 0 4 7];;
83.5;[9 0 3];[7 0 3 7 14];;
83.75;[10 0 11];;;
84;[0 0 7];[0 0 4 7];;
