time;surface;reduction;melodyPC;melodyMIDI
;;;;
tonality;0;[0 2 4 5 7 9 11];-------;-------
grouping;0;-------;-------;-------
0;[0 0 4];[0 0 4];;
0.5;[4 0 3 7];[4 0 3 7];;
1;[0 0 4];[0 0 4];;
2;[4 0 3 7];[4 0 3 7];;
3;[0 0 4];[0 0 4];;
4;[9 0 3 7 14];[9 0 3 7 14];;
5;[2 0 3 7 9];[2 0 3 7 9];;
6;[4 0 3 7];[4 0 3 7];;
7;[9 0 3 5 14];[7 0 4 7];;
7.5;[7 0 4 7];;;
8;[9 0 3 7 10];[7 0 4 7];;
8.5;[7 0 4 7];;;
9;[0 0 4 7 11];[0 0 4 7 11];;
10;[9 0 3 5 14];[7 0 4 7];;
10.5;[7 0 4 7];;;
11;[9 0 3 7 10];[7 0 4 7];;
11.5;[11 0 3];;;
12;[9 0 3 10];[6 0 3 6];;
12.5;[11 0 7 18];;;
13;[0 0 4 7 11];[0 0 4 7 11];;
13.5;[4 0 3 7 10];;;
14;[4 0 3 7];[4 0 3 7];;
15;[9 0 3];[9 0 3];;
15.5;[9 0 3 5 14];;;
16;[9 0 3 7 14];[2 0 3 7 9];;
16.5;[2 0 3 7 9];;;
17;[4 0 3 7];[4 0 3 7];;
grouping;18;-------;-------;-------
18;[0 0 4];[0 0 4];;
18.5;[4 0 3 7];[4 0 3 7];;
19;[0 0 4];[0 0 4];;
20;[4 0 3 7];[4 0 3 7];;
21;[0 0 4];[0 0 4];;
22;[9 0 3 7 14];[9 0 3 7 14];;
22.5;[2 0 3 7 9];;;
23;[4 0 3 7];[4 0 3 7];;
24;[9 0 3 5 14];[7 0 4 7];;
24.5;[7 0 4 7];;;
25;[9 0 3 7 10];[7 0 4 7];;
25.5;[11 0 3 7];;;
26;[9 0 3 10];[9 0 3 10];;
26.5;[11 0 7 18];;;
27;[0 0 4 7 11];[0 0 4 7 11];;
27.5;[4 0 3 7 10];;;
28;[4 0 3 7 10];[0 0 4 7 11];;
28.5;[9 0 3 7 10];;;
29;[7 0 4 5];[7 0 4 7 17];;
29.25;[7 0 4 5];;;
29.5;[7 0 4 7 17];;;
30;[9 0 3 7];[9 0 3 7];;
30.5;[9 0 3 7 14];;;
31;[9 0 3 7 14];[2 0 3 7 9];;
31.5;[2 0 3 7 9];;;
32;[4 0 3 7];[4 0 3 7];;
33;[9 0 3 5 14];[7 0 4 7];;
