time;surface;reduction;melodyPC;melodyMIDI
;;;;
tonality;0;[0 2 3 5 7 8 10];-------;-------
grouping;0;-------;-------;-------
0;[0 0 3];[0 0 3];;
0.5;[0 0 3];;;
1;[0 0 3];;;
1.5;[0 0 3];;;
2;[0 0 3];[0 0 3];;
3;[0 0 3];;;
4;[2 0 3 10];[2 0 3 10];;
5;[0 0 3 7];[0 0 3 7];;
6;[5 0 3 7 9];[5 0 3 7 9];;
6.5;[5 0 3 7 9];;;
8;[0 0 3 7];[0 0 3 7];;
9;[10 0 4 7];[10 0 4 7];;
10;[0 0 3 7 9];[0 0 3 7 9];;
10.5;[0 0 3 7 9];;;
11.5;[0 0 3 7 9];;;
12;[2 0 3 7];[2 0 3 7];;
13;[7 0 4 7 10];[7 0 4 7 10];;
13.5;[11 0 3 6];;;
14;[7 0 4 7];[7 0 4 7];;
14.5;[7 0 4 7];;;
grouping;15;-------;-------;-------
16;[0 0 3 7];[0 0 3 7];;
17;[10 0 4 7];[10 0 4 7];;
18;[0 0 3 7 9];[0 0 3 7 9];;
18.5;[0 0 3 7 9];;;
19.5;[0 0 3 7 9];;;
20;[2 0 3 7];[2 0 3 7];;
20.5;[2 0 3 7];;;
21;[7 0 4 7];[7 0 4 7];;
21.5;[2 0 3 7];;;
22;[7 0 3 7];[7 0 3 7];;
grouping;23;-------;-------;-------
24;[0 0 3 7];[0 0 3 7];;
25;[10 0 4 7];[10 0 4 7];;
26;[0 0 3 7 9];[0 0 3 7 9];;
27;[2 0 3 7];[2 0 3 7];;
27.5;[7 0 4 7];;;
28;;[7 0 4 7];;
28.5;[2 0 3 7];;;
29;[7 0 4 7];[7 0 4 7];;
29.5;[7 0 4 7];;;
grouping;30;-------;-------;-------
31;[0 0 3];[0 0 3];;
31.5;[0 0 3];;;
32;[0 0 3];;;
32.5;[2 0 3 10];[2 0 3 10];;
33;[0 0 3 7];;;
33.5;[5 0 3 7 9];[5 0 3 7 9];;
34.5;[0 0 3 7 14];[0 0 3 7 14];;
35.5;[7 0 3 7];[7 0 3 7];;
36.5;[7 0 3 7];[7 0 3 7];;
37;[7 0 3 7 10];[7 0 3 7 10];;
37.5;[0 0 3];[0 0 3];;
grouping;38.5;-------;-------;-------
39.5;[0 0 3];[0 0 3];;
40;[0 0 3];;;
40.5;[0 0 3];;;
41;[0 0 3];;;
41.5;[0 0 3];[0 0 3];;
42;[0 0 3];;;
42.5;[0 0 3];;;
43;[0 0 3];[2 0 3 10];;
43.5;[2 0 3 10];;;
44;[3 0 4 7 11];[3 0 4 7 11];;
45;[7 0 3 7];[7 0 3 7];;
46;[7 0 3 7];[7 0 3 7];;
46.5;[7 0 3 7 10];;;
47;[0 0 3];[0 0 3];;
47.5;[0 0 3];;;
48;[0 0 3];;;
grouping;49;-------;-------;-------
50;[0 0 3];[0 0 3];;
50.5;[0 0 3];;;
51;[0 0 3];;;
51.5;[0 0 3];;;
52;[0 0 3];;;
52.5;[0 0 3];;;
53;[0 0 3];[0 0 3];;
53.5;[0 0 3];;;
54;[2 0 3 10];[2 0 3 10];;
54.5;[3 0 4 7 11];[3 0 4 7 11];;
55.5;[10 0 4 7];[10 0 4 7];;
56.5;[0 0 3];[0 0 3];;
grouping;57.5;-------;-------;-------
58.5;[0 0 3];[0 0 3];;
59;[0 0 3];;;
59.5;[0 0 3];;;
60;[0 0 3];[0 0 3];;
60.5;[0 0 3];;;
61;[0 0 3];[0 0 3];;
61.5;[0 0 3];;;
62;[2 0 3 10];[2 0 3 10];;
62.5;[3 0 4 7 11];[3 0 4 7 11];;
63.5;[10 0 4 7];[10 0 4 7];;
64.5;[0 0 3];[0 0 3];;
65.5;[10 0 4 7];[10 0 4 7];;
66.5;[0 0 3 7 9];[0 0 3 7 9];;
67.5;[11 0 3 6];[11 0 3 6];;
grouping;68;-------;-------;-------
68;[7 0 4 7];[7 0 4 7];;
69.5;[0 0 3];[0 0 3];;
70;[0 0 3];;;
70.5;[0 0 3];;;
71;[0 0 3];;;
71.5;[5 0 7];[0 0 3];;
72;[0 0 3];;;
72.5;[2 0 3 10];[2 0 3 10];;
73;[0 0 3 7];[0 0 3 7];;
74;[5 0 3 7 9];[5 0 3 7 9];;
75;[0 0 3 7 14];[0 0 3 7 14];;
76;[7 0 3 7];[7 0 3 7];;
77;[7 0 3 7];[7 0 3 7];;
77.5;[7 0 3 7 10];;;
grouping;78;-------;-------;-------
78;[0 0 3];[0 0 3];;
79.5;[0 0 3];[0 0 3];;
80;[0 0 3];[0 0 3];;
80.5;[2 0 3 10];[2 0 3 10];;
81;[0 0 3 7];[0 0 3 7];;
81.5;[5 0 3 7 9];[5 0 3 7 9];;
82.5;[0 0 3 7 14];[0 0 3 7 14];;
83.5;[7 0 3 7];[7 0 3 7];;
grouping;84;-------;-------;-------
84.5;[7 0 3 7 10];[7 0 3 7 10];;
85.5;[0 0 3];[0 0 3];;
87.5;;[0 0];;
88.5;[0 0];;;
89.5;[0 0];;;
90.5;[0 0];[0 0];;
