time;surface;reduction;melodyPC;melodyMIDI
;;;;
0;[7 0];[7 0];;
0.75;[0 0];[0 0];;
tonality;10;[0 2 3 5 7 8 10];-------;-------
grouping;1;-------;-------;-------
1;[0 0];[0 0];;
2.5;[2 0 7];[2 0 7];;
3;[5 0 4 7 14];[5 0 4 7 14];;
4;[7 0 3 7 10];[7 0 3 7 10];;
4.75;[7 0 3 7 10];;;
5;[8 0 4 7];[8 0 4 7];;
7;[8 0 4 7 11];[8 0 4 7 11];;
8.5;[8 0 4 7 11];;;
9;[2 0 3 7];[2 0 3 7];;
10;[3 0 4 7];[3 0 4 7];;
10.5;[2 0 3 5];[2 0 3 5];;
11;[0 0 4];[0 0 4];;
tonality;3;[0 2 3 5 7 8 10];-------;-------
grouping;13;-------;-------;-------
13;;[7 0];;
13.5;[7 0];;;
13.75;[7 0];;;
14;[0 0 7];[8 0 4 7 11];;
14.5;[8 0 4 7 11];;;
14.75;[8 0 4 7 11];;;
15;[8 0 4 5 11];[8 0 4 5 11];;
15.5;[1 0 4 7];;;
16;[10 0 3 7 10];[7 0 3 7 10];;
16.5;[7 0 3 7 10];;;
17;[7 0 5 10 15];[0 0 3 7];;
17.5;[0 0 3 7];;;
18;[8 0 4 7 11];[5 0 3 7 10];;
18.5;[5 0 3 7 10];;;
19;[8 0 3 7 9];[8 0 3 7 9];;
20;[7 0 4 7 10];[11 0 4 8 15 18];;
20.5;[11 0 3 6 16];;;
21;[0 0 3 10];[0 0 3 10];;
22;[0 0 5 10];[0 0 5 10];;
22.5;[3 0 4];[3 0 4];;
23;[8 0 4 11];[8 0 4 11];;
24;[7 0 3 7 10];[7 0 3 7 10];;
25;[0 0 4 7];[0 0 4 7];;
28;[4 0];[4 0];;
28.75;[9 0];[9 0];;
tonality;10;[0 2 3 5 7 8 10];-------;-------
grouping;29;-------;-------;-------
29;[0 0];[0 0];;
30.5;[2 0 7];[2 0 7];;
31;[2 0 3 7 17];[2 0 3 7 17];;
32;[0 0 3 7 17];[0 0 3 7 17];;
32.75;[0 0 3 7 17];;;
33;[4 0 4 7];[4 0 4 7];;
34;[4 0 4 7];;;
35;[7 0];[7 0];;
36;;[5 0 4 14];;
36.5;[5 0 4 14];;;
37;[7 0 3 7 14];[7 0 3 7 14];;
37.5;[7 0 3 7 14];;;
38;[3 0 4 7];[3 0 4 7];;
38.5;[2 0 3 5];[2 0 3 5];;
39;[0 0 4 7];[0 0 4 7];;
tonality;3;[0 2 3 5 7 8 10];-------;-------
grouping;41;-------;-------;-------
41;;[7 0];;
41.5;[7 0];;;
42;[1 0];[0 0 3 7 13];;
42.5;[0 0 3 7 13];;;
43;[1 0 4 7];[1 0 4 7];;
43.5;[1 0 4 7];;;
44;[10 0 3 7 10];[0 0 3 7 10];;
44.5;[0 0 3 7 10];;;
45;[3 0 4 7];[3 0 4 7];;
45.5;[3 0 4];;;
46;[3 0 4 5];[1 0 4 7];;
46.5;[1 0 4 7];;;
47;[5 0 3 7];[5 0 3 7];;
47.5;[5 0 3 7];;;
48;[5 0 3 7 14];[5 0 3 7 14];;
48.5;[3 0 4 7];[3 0 4 7];;
49;[10 0 3 7 10];[10 0 3 7 10];;
50;[10 0 3 7 10];;;
51.5;[8 0 4 7 11];[8 0 4 7 11];;
52.5;[7 0 3 7 10];[7 0 3 7 10];;
53;[0 0 4 7];[0 0 4 7];;
