time;surface;reduction;melodyPC;melodyMIDI
;;;;
tonality;0;[0 2 4 5 7 9 11];-------;-------
grouping;0;-------;-------;-------
0;[0 0 4 7 11];[0 0 4 7 11];;
1;[0 0 4 7 11];;;
1.5;[0 0 4 7 11];;;
2;[0 0 4 7 11];[0 0 4 7 11];;
4;[0 0 4 7 11];[0 0 4 7 11];;
6;[0 0 4 7 11];[0 0 4 7 11];;
6.6667;[0 0 4 7 11 14];;;
7.3333;[0 0 4 7 11];;;
8;[4 0 4 7 10];[4 0 4 7 10];;
9;[4 0 4 7 10];;;
9.5;[4 0 4 7 10];;;
10;[4 0 4 7 10];[4 0 4 7 10];;
12;[4 0 4 7 10];[4 0 4 7 10];;
grouping;16;-------;-------;-------
16;[9 0 4 7 10];[9 0 4 7 10];;
17.5;[9 0 4 7 10];;;
18;[9 0 4 7 10];[9 0 4 7 10];;
20;[9 0 4 7 10];[9 0 4 7 10];;
21;[9 0 4 7 10 18];;;
22;[9 0 4 7 10];;;
22.6667;[9 0 4 7 10 13];;;
23.3333;[9 0 4 7 10];;;
24;[2 0 3 7 17];[2 0 3 7];;
26;[2 0 3 7];;;
28;[2 0 3 7];[2 0 3 7];;
grouping;32;-------;-------;-------
32;[4 0 4 7 10];[4 0 4 7 10];;
33.5;[4 0 4 7 11 22];;;
34;[4 0 4 7 10];[4 0 4 7 10];;
36;[4 0 4 7 10];[4 0 4 7 10];;
38;[4 0 4 7 10];[4 0 4 7 10];;
38.6667;[4 0 4 7 10];;;
39.3333;[4 0 4 7 10];;;
40;[9 0 3 7 17];[9 0 3 7];;
42;[9 0 3 7];;;
44;[9 0 3 7];[9 0 3 7];;
grouping;48;-------;-------;-------
48;[11 0 3 7 10 13];[2 0 4 7 10];;
49.5;[2 0 4 7 8 10];;;
50;[2 0 4 7 10];;;
52;[2 0 4 7 10];[2 0 4 7 10];;
54;[2 0 4 7 10];;;
54.6667;[2 0 4 7 10];;;
55.3333;[11 0 3 7 10 13];;;
56;[2 0 3 7 10];[2 0 3 7 10];;
60;[7 0 4 7 10];[7 0 4 7 10];;
grouping;64;-------;-------;-------
64;[0 0 4 7 11];[0 0 4 7 11];;
65;[0 0 4 7 11];;;
65.5;[0 0 4 7 11];;;
66;[0 0 4 7 11];[0 0 4 7 11];;
68;[0 0 4 7 11];[0 0 4 7 11];;
70;[0 0 4 7 11];[0 0 4 7 11];;
70.6667;[0 0 4 7 11 14];;;
71.3333;[0 0 4 7 11];;;
72;[4 0 4 7 10];[4 0 4 7 10];;
73;[4 0 4 7 10];;;
73.5;[4 0 4 7 10];;;
74;[4 0 4 7 10];[4 0 4 7 10];;
76;[4 0 4 7 10];[4 0 4 7 10];;
grouping;80;-------;-------;-------
80;[9 0 4 7 10];[9 0 4 7 10];;
81.5;[9 0 4 7 10];;;
82;[9 0 4 7 10];[9 0 4 7 10];;
84;[9 0 4 7 10];[9 0 4 7 10];;
85;[9 0 4 7 10 18];;;
86;[9 0 4 7 10];;;
86.6667;[9 0 4 7 10 13];;;
87.3333;[9 0 4 7 10];;;
88;[2 0 3 7 17];[2 0 3 7];;
90;[2 0 3 7];;;
92;[2 0 3 7];[2 0 3 7];;
grouping;96;-------;-------;-------
96;[2 0 3 7 10];[2 0 3 7 10];;
98;[5 0 4 7];[5 0 4 7];;
99;[5 0 4 7 18];;;
100;[5 0 3 7 9];[5 0 3 7 9];;
103;[5 0 3 7];;;
104;[0 0 4 7 11];[0 0 4 7 11];;
106;[4 0 3 7 10];[4 0 3 7 10];;
107;[4 0 3 7 10];;;
108;[9 0 4 7 10 14];[9 0 4 7 10 14];;
111;[9 0 4 7 10];;;
grouping;112;-------;-------;-------
112;[2 0 3 7 10];[2 0 3 7 10];;
114;[2 0 3 7 10];;;
115;[2 0 3 7 10];;;
116;[4 0 3 7 10 13];[4 0 3 7 10 13];;
118;[4 0 3 7 10 13];;;
120;[9 0 3 7 10];[9 0 3 7 10];;
122;[9 0 3 6 9];[9 0 3 6 9];;
124;[2 0 3 7 10];[2 0 3 7 10];;
126;[7 0 4 7 10 17];[7 0 4 7 10 17];;
128;[0 0 4 7 11];[0 0 4 7 11];;
