time;surface;reduction;melodyPC;melodyMIDI
;;;;
tonality;8;[0 2 4 5 7 9 11];-------;-------
grouping;0;-------;-------;-------
0;[9 0 3 7 10];[9 0 3 7 10];;
4;[2 0 3 7 10];[2 0 3 7 10];;
7;[2 0 3 7 10];;;
8;[7 0 4 7 10];[7 0 4 7 10];;
9;[7 0 4 7 10];;;
10;[7 0 4 7 10];;;
11;[7 0 4 7 10];;;
12;[0 0 4 7 11];[0 0 4 7 11];;
13;[0 0 4 7 11];;;
15;[0 0 4 7 11];;;
tonality;0;[0 2 4 5 7 9 11];-------;-------
16;[1 0 4 7 11];[1 0 4 7 11];;
17;[1 0 4 7 11];;;
18;[1 0 4 7 11];;;
19;[1 0 4 7 11];;;
20;[7 0 4 7 10];[7 0 4 7 10];;
21;[7 0 4 7 10];;;
23;[7 0 4 7 10];;;
24;[0 0 4 7 11];[0 0 4 7 11];;
28;[0 0 4 7 11];[0 0 4 7 11];;
tonality;3;[0 2 4 5 7 9 11];-------;-------
grouping;32;-------;-------;-------
32;[9 0 3 7 10];[9 0 3 7 10];;
36;[2 0 3 7 10];[2 0 3 7 10];;
39;[2 0 3 7 10];;;
40;[7 0 4 7 10];[7 0 4 7 10];;
41;[7 0 4 7 10];;;
42;[7 0 4 7 10];;;
43;[7 0 4 7 10];;;
44;[0 0 4 7 11];[0 0 4 7 11];;
45;[0 0 4 7 11];;;
47;[0 0 4 7 11];;;
tonality;7;[0 2 4 5 7 9 11];-------;-------
48;[1 0 4 7 11];[1 0 4 7 11];;
49;[1 0 4 7 11];;;
50;[1 0 4 7 11];;;
51;[1 0 4 7 11];;;
52;[7 0 4 7 10];[7 0 4 7 10];;
52.6667;[7 0 4 7 10];;;
53.3333;[7 0 4 7 10 13];;;
54;[7 0 4 7 10];;;
55;[7 0 4 7 10];;;
56;[0 0 4 7 11];[0 0 4 7 11];;
60;[0 0 4 7 11];[0 0 4 7 11];;
61;[0 0 4 7 11];;;
62;[0 0 4 7 11];;;
63;[0 0 4 7 11];;;
grouping;64;-------;-------;-------
64;[2 0 3 7 10 17];[2 0 3 7 10];;
66;[2 0 3 7 10];;;
68;[7 0 4 7 10];[7 0 4 7 10];;
69;[7 0 4 7 10 13];;;
70;[7 0 4 7 10 14];;;
71;[7 0 4 7 10];;;
72;[0 0 4 7 11];[0 0 4 7 11];;
76;[0 0 4 7 11];[0 0 4 7 11];;
77;[0 0 4 7 11];;;
78;[0 0 4 7 11];;;
79;[0 0 4 7 11];;;
tonality;4;[0 2 4 5 7 9 10];-------;-------
grouping;80;-------;-------;-------
80;[2 0 3 7 10 17];[2 0 3 7 10];;
82;[2 0 3 7 10];;;
84;[7 0 4 7 10];[7 0 4 7 10];;
85;[7 0 4 7 11 22];;;
86;[7 0 4 7 10];;;
87;[7 0 4 7 10];;;
88;[0 0 4 7 11];[0 0 4 7 11];;
tonality;8;[0 2 4 5 7 9 11];-------;-------
92;[4 0 4 8 10];[4 0 4 8 10];;
grouping;96;-------;-------;-------
96;[9 0 3 7 10];[9 0 3 7 10];;
100;[2 0 3 7 10];[2 0 3 7 10];;
103;[2 0 3 7 10];;;
104;[7 0 4 7 10];[7 0 4 7 10];;
105;[7 0 4 7 10];;;
106;[7 0 4 7 10];;;
107;[7 0 4 7 10];;;
108;[0 0 4 7 11];[0 0 4 7 11];;
109;[0 0 4 7 11];;;
111;[0 0 4 7 11];;;
112;[5 0 4 7 11];[5 0 4 7 11];;
116;[5 0 3 7 10 14];[5 0 3 7 10];;
118;[5 0 3 7 10];;;
120;[4 0 3 7 10];[4 0 3 7 10];;
121;[4 0 3 7 10];;;
122;[4 0 3 7 10];;;
122.6667;[4 0 3 7 10];;;
123.3333;[4 0 3 7 10];;;
124;[11 0 4 7 10 13];[9 0 3 6 9];;
127;[9 0 3 6 9];;;
grouping;128;-------;-------;-------
128;[2 0 3 7 10];[2 0 3 7 10];;
129;[2 0 3 7 10];;;
130;[2 0 3 7 10];;;
131;[2 0 3 7 10];;;
132;[7 0 4 7 10 14];[7 0 4 7 10];;
134;[7 0 4 7 10];;;
136;[0 0 4 7 11];[0 0 4 7 11];;
140;[0 0 4 7 11];[0 0 4 7 11];;
