time;surface;reduction;melodyPC;melodyMIDI
;;;;
tonality;0;[0 2 4 5 7 9 11];-------;-------
grouping;0;-------;-------;-------
0;[5 0 3 7 9 14];[5 0 3 7 9 14];;
0.66667;[5 0 3 7 9 14];;;
1.3333;[5 0 3 7 9 14];;;
2;[5 0 3 7 10 14 21];;;
3;[5 0 3 7 11 14 21];;;
4;[0 0 4 7 11];[0 0 4 7 11];;
8;[5 0 3 7 9];[5 0 3 7 9];;
8.6667;[5 0 3 7 9];;;
9.3333;[5 0 3 7 9];;;
10;[5 0 3 7 10 21];;;
11;[0 0 4 8 5 14];;;
12;[4 0 3 7 10 13];[4 0 3 7 10 13];;
grouping;16;-------;-------;-------
16;[0 0 4 7 11 14];[0 0 4 7 11 14];;
16.6667;[0 0 4 7 11 14];;;
17.3333;[0 0 4 7 11 14];;;
18;[0 0 4 7 11];;;
19;[0 0 4 7 11];;;
20;[0 0 4 7 11];[0 0 4 7 11];;
21;[0 0 4 7 11];;;
22;[0 0 4 7 11];;;
23;[0 0 4 7 11];;;
23.5;[0 0 4 7 11 14];;;
24;[7 0 3 7 10];[7 0 3 7 10];;
28;[0 0 4 7 10 14];[0 0 4 7 10 14];;
grouping;32;-------;-------;-------
32;[2 0 3 7 10 14];[2 0 3 7 10 14];;
32.6667;[2 0 3 7 10 14];;;
33.3333;[2 0 3 7 10 14];;;
34;[5 0 4 7 11 18];;;
35;[5 0 4 7 11];;;
36;[5 0 4 7 11];[5 0 4 7 11];;
40;[11 0 3 6 9];[11 0 3 6 9];;
40.6667;[11 0 3 6 9];;;
41.3333;[11 0 3 6 9];;;
42;[4 0 4 7 10];[4 0 4 7 10];;
43;[0 0 4 8 11 14];;;
44;[9 0 3 7 10];[9 0 3 7 10];;
grouping;48;-------;-------;-------
48;[9 0 3 7 9];[9 0 3 7 9];;
48.6667;[9 0 3 7 9];;;
49.3333;[9 0 3 7 9];;;
50;[9 0 3 7 9];;;
51;[9 0 3 7 9 14];;;
52;[11 0 4 7 10 13];[11 0 4 7 10 13];;
54;[11 0 4 7 10 13];;;
56;[11 0 3 7 10 17];[11 0 3 7 10 17];;
58;[4 0 4 7 10];[4 0 4 7 10];;
60;[7 0 3 7 9];[7 0 3 7 9];;
62;[9 0 4 7 10 13];[9 0 4 7 10 13];;
64;[9 0 3 7 9];[9 0 3 7 9];;
66;[11 0 3 6 9];[11 0 3 6 9];;
66.5;[10 0 4 7 10 13];;;
67;[11 0 3 6 9];;;
67.5;[11 0 3 6 9];;;
68;[0 0 4 7];[0 0 4 7];;
69;[0 0 4 7];;;
70;[9 0 3 6 9];[9 0 3 6 9];;
72;[5 0 3 7 9];[5 0 3 7 9];;
72.5;[10 0 4 7 10 14];;;
73;[5 0 3 7 9 18];;;
73.5;[5 0 3 7 9];;;
74;[5 0 3 7 9];[5 0 3 7 9];;
75;[5 0 3 7 9];;;
76;[0 0 4 7];[0 0 4 7];;
80;[4 0 4 7 10 13];[4 0 4 7 10 13];;
82;[4 0 4 7 10];[4 0 4 7 10];;
82.5;[4 0 4 7 10 18];;;
83;[4 0 4 7 10];;;
83.5;[4 0 4 7 10];;;
84;[9 0 3 7 10];[9 0 3 7 10];;
85;[9 0 3 7 10];;;
86;[9 0 3 7 10];;;
88;[9 0 3 7 9];[9 0 3 7 9];;
88.5;[9 0 3 7 11 21];;;
89;[9 0 3 7 9];;;
89.5;[9 0 3 7 9];;;
90;[11 0 4 7 10 13];[11 0 4 7 10 13];;
91;[11 0 4 7 10 13];;;
92;[4 0 4 7 11];[4 0 4 7 11];;
94;[2 0 3 7 10 17];[2 0 3 7 10 17];;
95;[7 0 4 7 10];[7 0 4 7 10];;
grouping;96;-------;-------;-------
96;[5 0 3 7 9 14];[5 0 3 7 9 14];;
96.6667;[5 0 3 7 9 14];;;
97.3333;[5 0 3 7 9 14];;;
98;[5 0 3 7 10 14 21];;;
99;[5 0 3 7 11 14 21];;;
100;[0 0 4 7 11];[0 0 4 7 11];;
grouping;104;-------;-------;-------
104;[7 0 3 7 9];[7 0 3 7 9];;
104.6667;[7 0 3 7 9];;;
105.3333;[7 0 3 7 9];;;
106;[7 0 3 7 9 13];;;
107;[7 0 3 7 9 14];;;
108;[9 0 4 7 10];[9 0 4 7 10];;
grouping;112;-------;-------;-------
112;[2 0 4 7 14];[2 0 4 7 14];;
112.6667;[2 0 4 7 14];;;
113.3333;[2 0 4 7 14];;;
114;[11 0 3 7 10 17];;;
115;[2 0 4 7 10 14];;;
116;[5 0 3 7 9];[5 0 3 7 9];;
118;[7 0 4 7 10];[7 0 4 7 10];;
120;[0 0 4 7];[0 0 4 7];;
124;[0 0 4 7];[0 0 4 7];;
