time;surface;reduction;melodyPC;melodyMIDI
;;;;
tonality;4;[0 2 3 5 7 8 10];-------;-------
grouping;4;-------;-------;-------
4;[5 0 3 7 10];[5 0 3 7 10];;
2;[5 0 3 7 10 21];;;
3;[5 0 3 7 10];;;
4;[5 0 3 7 10];;;
8;[10 0 4 7 10];[10 0 4 7 10];;
9;[10 0 4 7 10];;;
10;[10 0 4 7 10 14];;;
11;[10 0 4 7 10];;;
12;[3 0 4 7 11];[3 0 4 7 11];;
14;[3 0 4 7 11];;;
16;[8 0 4 7 11];[8 0 4 7 11];;
17;[8 0 4 7 11];;;
18;[8 0 4 7 11 14];;;
19;[8 0 4 7 11];;;
20;[5 0 3 7 9];[5 0 3 7 9];;
24;[7 0 4 7 10];[7 0 4 7 10];;
25;[7 0 4 7 10];;;
26;[7 0 4 7 10 14];;;
27;[7 0 4 7 10];;;
28;[0 0 3 7];[0 0 3 7];;
32;[0 0 3 7];[0 0 3 7];;
33;[0 0 3 7];;;
34;[0 0 3 7 14];;;
35;[0 0 3 7];;;
36;[7 0 4 7 10];[7 0 4 7 10];;
37;[7 0 4 7 10];;;
38;[7 0 4 7 10];;;
39;[11 0 4 8 15 18];;;
40;[0 0 3 7];[0 0 3 7];;
44;[0 0 3 7];[0 0 3 7];;
46;[0 0 3 7 11];;;
47;[0 0 3 7];;;
grouping;48;-------;-------;-------
48;[5 0 3 7 9];[5 0 3 7 9];;
49;[5 0 3 7 9 14];;;
50;[5 0 3 7 9];;;
52;[7 0 4 7 10 13];[7 0 4 7 10 13];;
53;[7 0 4 7 10 13];;;
54;[5 0 3 7 6 9 14];;;
55;[7 0 4 7 10 13];;;
56;[0 0 3 7];[0 0 3 7];;
60;[0 0 3 7];[0 0 3 7];;
61;[0 0 3 7];;;
62;[0 0 3 7 14];;;
63;[0 0 3 7];;;
grouping;64;-------;-------;-------
64;[5 0 3 7 10];[5 0 3 7 10];;
68;[10 0 4 7 10];[10 0 4 7 10];;
69;[10 0 4 7 10];;;
70;[10 0 4 7 10];;;
71;[10 0 4 7 10];;;
72;[3 0 4 7 11];[3 0 4 7 11];;
76;[3 0 4 7 11];[3 0 4 7 11];;
78;[3 0 4 7 11 15];;;
79;[3 0 4 7 11];;;
grouping;80;-------;-------;-------
80;[5 0 3 7 9];[5 0 3 7 9];;
81;[5 0 3 7 9];;;
82;[5 0 3 7 9];[5 0 3 7 9];;
83;[5 0 3 7 9];;;
84;[7 0 4 7 10 13];[7 0 4 7 10 13];;
87;[7 0 4 7 10 13];;;
88;[0 0 3 7 10];[0 0 3 7 10];;
90;[11 0 4 8 10 19];[11 0 4 8 10 19];;
92;[7 0 3 7 10 13];[7 0 3 7 10 13];;
94;[4 0 5 10 15];[4 0 5 10 15];;
95;[9 0 3 7 10 17];;;
grouping;96;-------;-------;-------
96;[5 0 3 7 10 14];[5 0 3 7 10 14];;
99;[8 0 4 7 11];;;
100;[7 0 4 7 10 13];[7 0 4 7 10 13];;
102;[8 0 3 7 11 18 21];;;
103;[7 0 4 7 10 13];;;
104;[0 0 3 7];[0 0 3 7];;
108;[0 0 3 7];[0 0 3 7];;
109;[0 0 3 7];;;
110;[0 0 3 7 14];;;
111;[0 0 3 7];;;
