time;surface;reduction;melodyPC;melodyMIDI
;;;;
tonality;2;[0 2 3 5 7 8 10];-------;-------
grouping;4;-------;-------;-------
4;[5 0 3 7 9];[5 0 3 7 9 14];;
2;[5 0 3 7 9];;;
3;[5 0 3 7 10 21];;;
4;[5 0 3 7 9 14];;;
7;[5 0 3 7 9];;;
8;[8 0 3 7 11 18 21];[8 0 3 7 11 18 21];;
9.5;[7 0 4 7 10 13];;;
10;[5 0 3 7 6 9 14];;;
11;[7 0 4 7 10 13];;;
11.5;[8 0 3 7 11 18 21];;;
12;[0 0 3 7];[0 0 3 7];;
16;[0 0 3 7];[0 0 3 7];;
16.5;[0 0 3 7];;;
18;[0 0 3 7 17];;;
19;[0 0 3 7];;;
grouping;20;-------;-------;-------
20;[5 0 3 7 10 17];[5 0 3 7 10 17];;
23;[5 0 3 7 10];;;
24;[7 0 3 7 10 13];[7 0 3 7 10 13];;
25.5;[10 0 4 7 10];;;
26;[10 0 4 7 10 17];;;
27;[10 0 4 7 10];;;
27.5;[7 0 3 7 10 13];;;
28;[3 0 4 7 11];[3 0 4 7 11];;
32;[5 0 3 7 9 14];[5 0 3 7 9 14];;
32.5;[5 0 3 7 9 14];;;
34;[7 0 4 7 10 14];[7 0 4 7 10];;
35;[7 0 4 7 10];;;
grouping;36;-------;-------;-------
36;[0 0 3 7 14];[0 0 3 7];;
37;[0 0 3 7];;;
39;[0 0 3 7];;;
40;[5 0 3 7 10 17];[5 0 3 7 10];;
41;[5 0 3 7 10];;;
43;[5 0 3 7 10];;;
44;[8 0 4 7 10 18];[8 0 4 7 10 18];;
48;[5 0 3 7 9];[5 0 3 7 9];;
48.5;[5 0 3 7 9];;;
50;[11 0 4 8 15 18];[7 0 4 7 10];;
51;[7 0 4 7 10];;;
grouping;52;-------;-------;-------
52;[0 0 3 7];[0 0 3 7];;
55;[0 0 3 7];;;
56;[5 0 4 7 10 18];[5 0 4 7 10 18];;
59;[5 0 4 7 10 18];;;
60;[5 0 3 7 9];[5 0 3 7 9];;
64;[7 0 4 7 10 13];[7 0 4 7 10 13];;
64.5;[7 0 4 7 10 13];;;
66;[8 0 3 7 11 18 21];;;
67;[7 0 4 7 10 13];;;
68;[0 0 3 7];[0 0 3 7];;
71;[0 0 3 7 14];;;
72;[8 0 4 7 10];[8 0 4 7 10];;
74;[7 0 4 7 10];[7 0 4 7 10];;
76;[0 0 3 7];[0 0 3 7];;
grouping;79;-------;-------;-------
80;[0 0 3 7];[0 0 3 7];;
80.5;[0 0 3 7];;;
82;[0 0 3 7 14];;;
83;[0 0 3 7];;;
