time;surface;reduction;melodyPC;melodyMIDI
;;;;
tonality;9;[0 2 3 5 7 8 10];-------;-------
grouping;2;-------;-------;-------
2;[0 0 3 7];[0 0 3 7];;
5;[0 0 3 7 14];;;
5.5;[0 0 3 7];;;
6;[5 0 3 7 9 18];[5 0 3 7 9 18];;
8;[5 0 3 7 6 9 14];[7 0 4 7 10 13];;
9;[7 0 4 7 10 13];;;
9.5;[7 0 4 7 10 13];;;
10;[0 0 3 7];[0 0 3 7];;
14;[7 0 4 7 10 13];[7 0 4 7 10 13];;
16;[7 0 4 7 10 13];[7 0 4 7 10 13];;
17;[7 0 4 7 10 13];;;
grouping;18;-------;-------;-------
18;[0 0 3 7];[0 0 3 7];;
21;[0 0 3 7 14];;;
21.5;[0 0 3 7];;;
22;[5 0 3 7 10];[5 0 3 7 10];;
24;[10 0 4 7 10 14];[10 0 4 7 10];;
25;[10 0 4 7 10];;;
25.5;[10 0 4 7 10];;;
26;[3 0 4 7 11];[3 0 4 7 11];;
30;[7 0 3 6 9];[7 0 3 6 9];;
32;[0 0 4 7 10 13];[0 0 4 7 10 13];;
32.5;[0 0 4 7 10 13];;;
33;[1 0 3 7 11 18 21];;;
33.5;[0 0 4 7 10 13];;;
grouping;34;-------;-------;-------
34;[5 0 3 7 10];[5 0 3 7 10];;
35.5;[5 0 3 7 10];;;
36;[5 0 3 7 10];[5 0 3 7 10];;
38;[10 0 4 7 10];[10 0 4 7 10];;
40.5;[10 0 4 7 10];;;
41;[7 0 3 7 10 13];;;
41.5;[10 0 4 7 10];;;
42;[0 0 3 7 10];[0 0 3 7 10];;
43.5;[0 0 3 7 10];;;
44;[0 0 3 7 10];[0 0 3 7 10];;
46;[8 0 4 7 11];[8 0 4 7 11];;
48.5;[8 0 4 7 11];;;
49;[5 0 3 7 10 14];;;
49.5;[8 0 4 7 11];;;
grouping;50;-------;-------;-------
50;[2 0 3 6 9];[2 0 3 6 9];;
51.5;[2 0 3 6 9];;;
52;[2 0 3 6 9];[2 0 3 6 9];;
54;[7 0 4 7 10 13];[7 0 4 7 10 13];;
56.5;[7 0 4 7 10 13];;;
57;[8 0 3 7 11 18 21];;;
57.5;[7 0 4 7 10 13];;;
58;[0 0 3 7];[0 0 3 7];;
62;[7 0 4 7 10 13];[7 0 4 7 10 13];;
64;[7 0 4 7 10 13];[7 0 4 7 10 13];;
65;[7 0 4 7 10 13];;;
grouping;66;-------;-------;-------
66;[0 0 3 7];[0 0 3 7];;
69;[0 0 3 7 14];;;
69.5;[0 0 3 7];;;
70;[5 0 3 7 9 18];[5 0 3 7 9 18];;
72;[5 0 3 7 6 9 14];[7 0 4 7 10 13];;
73;[7 0 4 7 10 13];;;
73.5;[7 0 4 7 10 13];;;
74;[0 0 3 7];[0 0 3 7];;
78;[7 0 4 7 10 13];[7 0 4 7 10 13];;
80;[7 0 4 7 10 13];[7 0 4 7 10 13];;
81;[7 0 4 7 10 13];;;
tonality;2;[0 2 3 5 7 8 10];-------;-------
grouping;82;-------;-------;-------
82;[5 0 3 7 9];[5 0 3 7 9];;
85;[5 0 3 7 9 14];;;
85.5;[5 0 3 7 9];;;
86;[7 0 4 7 10 13];[7 0 4 7 10 13];;
89;[8 0 3 7 11 18 21];;;
89.5;[7 0 4 7 10 13];;;
90;[0 0 3 7];[0 0 3 7];;
94;[0 0 3 7];[0 0 3 7];;
97;[0 0 3 7];;;
tonality;9;[0 2 3 5 7 8 10];-------;-------
grouping;98;-------;-------;-------
98;[5 0 3 7];[5 0 3 7];;
101;[5 0 3 7 14];;;
101.5;[5 0 3 7];;;
102;[2 0 3 6 9];[2 0 3 6 9];;
104;[7 0 4 7 10 13];[7 0 4 7 10 13];;
106;[0 0 3 7];[0 0 3 7];;
107;[0 0 3 7];;;
108;[0 0 3 7];;;
109;[0 0 3 7 17];;;
109.5;[0 0 3 7];;;
110;[8 0 4 7 11];[8 0 4 7 11];;
113;[8 0 4 7 11 15];;;
grouping;114;-------;-------;-------
114;[7 0 4 7 10 13];[7 0 4 7 10 13];;
118;[7 0 4 7 10 13];[7 0 4 7 10 13];;
120;[7 0 4 7 10 13];;;
121;[7 0 4 7 10 13];;;
121.5;[7 0 4 7 10 13];;;
122;[0 0 3 7];[0 0 3 7];;
126;[5 0 3 7 9 18];[5 0 3 7 9 18];;
128;[5 0 3 7 6 9 14];[5 0 3 7 6 9 14];;
129;[7 0 4 7 10 13];;;
130;[0 0 3 7];[0 0 3 7];;
133;[0 0 3 7];;;
133.5;[0 0 3 7 14];;;
grouping;134;-------;-------;-------
134;[5 0 3 7 10];[5 0 3 7 10];;
135;[5 0 3 7 10];;;
135.5;[5 0 3 7 10];;;
136;[0 0 3 7 10 14];[0 0 3 7 10 14];;
137;[0 0 3 7 10];;;
137.5;[0 0 3 7 10 14];;;
138;[5 0 3 7 10];[5 0 3 7 10];;
139;[5 0 3 7 10];;;
139.5;[5 0 3 7 10];;;
140;[0 0 3 7 10 14];[0 0 3 7 10 14];;
141;[0 0 3 7 10];;;
141.5;[0 0 3 7 10 14];;;
142;[5 0 3 7 10];[5 0 3 7 10];;
143;[5 0 3 7 10];;;
143.5;[5 0 3 7 10];;;
144;[7 0 3 7 10];[7 0 3 7 10];;
145;[7 0 3 7 10 17];;;
145.5;[7 0 3 7 10];;;
146;[0 0 3 7];[0 0 3 7];;
150;[0 0 3 7];[0 0 3 7];;
