time;surface;reduction;melodyPC;melodyMIDI
;;;;
tonality;0;[0 2 3 5 7 8 10];-------;-------
grouping;2;-------;-------;-------
2;[0 0 3 7 10];[0 0 3 7 10];;
3.5;[0 0 3 7 10 17];;;
4;[0 0 3 7 10];[0 0 3 7 10];;
4.5;[0 0 3 7 10 14];;;
5.5;[0 0 3 7 10];;;
6;[0 0 3 7 10];[0 0 3 7 10];;
9;[0 0 3 7 10];;;
10;[5 0 3 7 10];[5 0 3 7 10];;
12;[5 0 3 7 10 14];[5 0 3 7 10];;
13.5;[5 0 3 7 10];;;
14;[5 0 3 7 10];[5 0 3 7 10];;
grouping;18;-------;-------;-------
18;[5 0 3 7 9];[5 0 3 7 9];;
19.5;[5 0 3 7 10 21];;;
20;[5 0 3 7 9];[5 0 3 7 9];;
20.5;[5 0 3 7 9];;;
21.5;[10 0 4 7 10 14];;;
22;[7 0 3 7 10 16];[7 0 3 7 10 16];;
25;[7 0 4 7 10 13];;;
26;[0 0 3 7 10];[0 0 3 7 10];;
28;[0 0 3 7 10 17];[0 0 3 7 10];;
29.5;[0 0 3 7 10];;;
30;[0 0 3 7 10];[0 0 3 7 10];;
grouping;34;-------;-------;-------
34;[3 0 3 7 10];[3 0 3 7 10];;
35.5;[3 0 3 7 10];;;
36;[3 0 3 7 10 21];[3 0 3 7 10 21];;
36.5;[3 0 3 7 10];;;
37.5;[3 0 3 7 10 17];;;
38;[8 0 4 7 10];[8 0 4 7 10];;
41;[8 0 4 7 10];;;
42;[1 0 4 7 11 17];[1 0 4 7 11];;
43;[1 0 4 7 11];;;
43.5;[10 0 3 7 10 14];;;
44;;[1 0 4 7 11];;
44.5;[1 0 4 7 11];;;
45;[1 0 4 7 11];;;
46;[1 0 4 7 11];[1 0 4 7 11];;
grouping;50;-------;-------;-------
50;[5 0 3 7 9];[5 0 3 7 9];;
51;[5 0 3 7 9 14];;;
51.5;[10 0 4 7 10 14];;;
52;[10 0 4 7 10 14];[10 0 4 7 10 14];;
54;[7 0 4 7 10 13];[7 0 4 7 10 13];;
55;[7 0 4 7 10];;;
55.5;[7 0 3 7 10 16];;;
56;[7 0 3 7 10 16];[7 0 3 7 10 16];;
57.5;[7 0 4 7 10 13];;;
58;[0 0 3 7 10];[0 0 3 7 10];;
62;[5 0 3 7 9 14];[5 0 3 7 9 14];;
64;[7 0 4 7 10];[7 0 4 7 10];;
65;[7 0 4 7 10];;;
66;[7 0];[0 0 3 7 10];;
