time;surface;reduction;melodyPC;melodyMIDI
;;;;
tonality;0;[0 2 3 5 7 8 10];-------;-------
grouping;0;-------;-------;-------
0;[5 0 3 7 10 14];[5 0 3 7 10];;
2;[10 0 4 7 10];[10 0 4 7 10];;
2.5;[10 0 4 7 10];;;
3;[10 0 4 7 10];;;
3.5;[10 0 4 7 10 14];;;
4;[0 0 3 7];[0 0 3 7];;
8;[5 0 3 7 10];[5 0 3 7 10];;
9.5;[5 0 3 7 10 14];;;
10;[10 0 4 7 10];[10 0 4 7 10];;
10.5;[10 0 4 7 10];;;
11;[10 0 4 7 10];;;
11.5;[10 0 4 7 10 14];;;
12;[0 0 3 7];[0 0 3 7];;
grouping;16;-------;-------;-------
16;[10 0 3 7 10 14];[10 0 3 7 10 14];;
17.5;[10 0 3 7 10 14];;;
18;[3 0 4 7 10];[3 0 4 7 10];;
18.5;[3 0 4 7 10];;;
19;[3 0 4 7 10];;;
19.5;[3 0 4 7 10 14];;;
20;[5 0 3 7];[5 0 3 7];;
24;[5 0 3 7 10];[5 0 3 7 10];;
25.5;[5 0 3 7 10 14];;;
26;[10 0 4 7 10];[10 0 4 7 10];;
26.5;[10 0 4 7 10];;;
27;[10 0 4 7 10];;;
27.5;[10 0 4 7 10 14];;;
28;[0 0 3 7];[0 0 3 7];;
tonality;7;[0 1 3 5 7 9 10];-------;-------
grouping;32;-------;-------;-------
32;[2 0 3 7 10];[2 0 3 7 10];;
33.5;[2 0 3 7 10];;;
34;[1 0 4 6 10];[1 0 4 6 10];;
34.5;[1 0 4 6 10];;;
35;[1 0 4 6 10];;;
35.5;[7 0 4 8 10 18];;;
36;[0 0 3 7];[0 0 3 7];;
tonality;0;[0 2 3 5 7 8 10];-------;-------
40;[5 0 3 7 10 17];[5 0 3 7 10 17];;
41.5;[5 0 3 7 10 14];;;
42;[10 0 4 7 10];[10 0 4 7 10];;
42.5;[10 0 4 7 10];;;
43;[10 0 4 7 10];;;
43.5;[10 0 4 7 10 14];;;
44;[0 0 3 7];[0 0 3 7];;
48;[5 0 3 7 10];[5 0 3 7 10];;
49.5;[5 0 3 7 10 14];;;
50;[10 0 4 7 10];[10 0 4 7 10];;
50.5;[10 0 4 7 10];;;
51;[10 0 4 7 10];;;
51.5;[10 0 4 7 10 14];;;
52;[3 0 3 7 9];[3 0 3 7 9];;
56;[0 0 3 7];[0 0 3 7];;
