time;surface;reduction;melodyPC;melodyMIDI
;;;;
tonality;2;[0 2 3 5 7 8 10];-------;-------
grouping;0;-------;-------;-------
0;[8 0 4 7 11 18];[8 0 4 7 11 18];;
3;[8 0 4 7 11 18];;;
4;[7 0 3 7 10 16];[7 0 3 7 10 16];;
7;[7 0 3 7 10 4 13];;;
8;[0 0 3 7 10 14];[0 0 3 7 10 14];;
10;[11 0 4 8 10 19];[11 0 4 8 10 19];;
11;[11 0 4 7 10 18];;;
12;[10 0 3 7 10 17];[10 0 3 7 10 14];;
13;[10 0 3 7 10 14];;;
14;[0 0 3 7 10 4 13];[0 0 3 7 10 4 13];;
grouping;16;-------;-------;-------
16;[8 0 4 7 11 18];[8 0 4 7 11];;
17.5;[8 0 4 7 11];;;
18;[8 0 4 7 11 15];;;
18.5;[8 0 4 7 11];;;
19;[8 0 4 7 11];;;
19.5;[8 0 4 7 11];;;
20;[11 0 4 8 11 15 18];[11 0 4 8 11 15 18];;
23;[11 0 4 8 15 18];;;
24;[2 0 3 7 10 5 13];[2 0 3 7 10 5 13];;
27;[0 0 3 7 9 14];;;
28;[10 0 4 8 11 6 14];[10 0 4 8 11 6 14];;
31;[2 0 4 7 10 14];;;
32;[7 0 3 7 10 14];[7 0 3 7 10 14];;
35;[7 0 3 7 10 14];;;
36;[0 0 3 7 10 14];[0 0 3 7 10 14];;
39;[0 0 3 7 10 14 23];;;
40;[8 0 4 7 11 18];[8 0 4 7 11 18];;
43;[8 0 4 7 11 18];;;
44;[7 0 3 7 10 16];[7 0 3 7 10 16];;
47;[7 0 3 7 10 4 13];;;
48;[0 0 3 7 9 14];[0 0 3 7 9 14];;
