time;surface;reduction;melodyPC;melodyMIDI
;;;;
tonality;0;[0 2 3 5 7 8 10];-------;-------
grouping;2;-------;-------;-------
2;[0 0 3 7 10];[0 0 3 7 10];;
3.5;[0 0 3 7 10];;;
4;[0 0 3 7 10];[0 0 3 7 10];;
6;[0 0 3 7 10];[0 0 3 7 10];;
9.5;[0 0 3 7 10];;;
10;[0 0 3 7 10];[0 0 3 7 10];;
10.5;[0 0 3 7 10];;;
11;[0 0 3 7 10];;;
13;[0 0 3 7 10];;;
13.5;[0 0 3 7 10];;;
14;[0 0 3 7 10];[0 0 3 7 10];;
14.5;[0 0 3 7 10];;;
grouping;17.5;-------;-------;-------
17.5;[0 0 3 7 10];;;
18;[5 0 3 7 10];[5 0 3 7 10];;
19.5;[5 0 3 7 10];;;
20;[5 0 3 7 10];[5 0 3 7 10];;
22;[5 0 3 7 10];[5 0 3 7 10];;
25.5;[5 0 3 7 10];;;
26;[0 0 3 7 10];[0 0 3 7 10];;
27.5;[0 0 3 7 10];;;
28;[0 0 3 7 10];[0 0 3 7 10];;
29.5;[0 0 3 7 10];;;
30;[0 0 3 7 10];[0 0 3 7 10];;
30.5;[0 0 3 7 10];;;
grouping;34;-------;-------;-------
34;[8 0 4 7 10];[8 0 4 7 10 18];;
34.5;[8 0 4 7 10 18];;;
36;[8 0 4 7 10 18];;;
37.5;[8 0 4 7 10];;;
38;[7 0 4 7 10];[7 0 4 7 10];;
39.5;[7 0 4 7 10 17];;;
40;[3 0 4 8 11 14];[3 0 4 8 11 14];;
40.5;[7 0 4 7 10 17];;;
41;[3 0 4 8 11 14];;;
42;[0 0 3 7 10];[0 0 3 7 10];;
46;[0 0 3 7 10];[0 0 3 7 10];;
49.5;[0 0 3 7 10];;;
50;[0 0 3 7 10];[0 0 3 7 10];;
