time;surface;reduction;melodyPC;melodyMIDI
;;;;
tonality;11;[0 2 4 5 7 9 11];-------;-------
grouping;0;-------;-------;-------
0;[0 0 4 7];[0 0 4 7];;
tonality;7;[0 2 4 5 7 9 11];-------;-------
2;[7 0 4 7 10];[7 0 4 7 10];;
4;[0 0 4 7];[0 0 4 7];;
tonality;3;[0 2 4 6 7 9 11];-------;-------
6;[4 0 3 7 10 13];[4 0 3 7 10 13];;
7.5;[7 0 4 7 10];;;
8;[0 0 4 7];[0 0 4 7];;
tonality;7;[0 2 4 5 7 9 11];-------;-------
12;[2 0 3 7 10 14];[2 0 3 7 10 14];;
13.5;[2 0 3 7 10];;;
14;[7 0 4 7 10];[7 0 4 7 10];;
grouping;16;-------;-------;-------
16;[0 0 4 7];[0 0 4 7];;
tonality;3;[0 2 4 6 7 9 11];-------;-------
18;[7 0 4 7 10];[7 0 4 7 10];;
20;[0 0 4 7];[0 0 4 7];;
tonality;11;[0 2 4 5 7 9 11];-------;-------
22;[4 0 3 7 10];[4 0 3 7 10];;
23.5;[4 0 3 7 10];;;
24;[0 0 4 7];[0 0 4 7];;
tonality;3;[0 2 4 6 7 9 11];-------;-------
grouping;28;-------;-------;-------
28;[2 0 3 7 10 14];[2 0 3 7 10 14];;
30;[7 0 4 7 10];[7 0 4 7 10];;
31.5;[7 0 4 7 10];;;
32;[0 0 4 7];[0 0 4 7];;
tonality;7;[0 2 4 5 7 9 11];-------;-------
36;[2 0 3 7 10 14];[2 0 3 7 10 14];;
38;[7 0 4 7 10];[7 0 4 7 10];;
39.5;[7 0 4 7 10];;;
40;[0 0 4 7];[0 0 4 7];;
tonality;11;[0 2 4 5 7 9 11];-------;-------
grouping;44;-------;-------;-------
44;[2 0 3 7 10 14];[2 0 3 7 10 14];;
46;[7 0 4 7 10];[7 0 4 7 10];;
47.5;[7 0 4 7 10];;;
48;[0 0 4 7];[0 0 4 7];;
50;[0 0 4 7];;;
tonality;3;[0 2 4 6 7 9 11];-------;-------
52;[2 0 3 7 10 14];[2 0 3 7 10 14];;
54;[7 0 4 7 10];[7 0 4 7 10];;
55.5;[7 0 4 7 10];;;
56;[0 0 4 7];[0 0 4 7];;
tonality;11;[0 2 4 5 7 9 11];-------;-------
60;[2 0 3 7 10 17];[2 0 3 7 10 17];;
61.5;[2 0 3 7 10 17];;;
62;[7 0 4 7 10];[7 0 4 7 10];;
64;[0 0 4 7];[0 0 4 7];;
