time;surface;reduction;melodyPC;melodyMIDI
;;;;
tonality;7;[0 2 4 5 7 9 11];-------;-------
grouping;4;-------;-------;-------
4;[0 0 4 7 11];[0 0 4 7 11];;
2;[0 0 4 7 11];;;
3;[0 0 4 7 11 14];;;
4;[0 0 4 7 11 14];;;
6;[0 0 4 7 11];;;
8;[0 0 4 7 11];[0 0 4 7 11];;
9;[0 0 4 7 11];;;
10;[0 0 4 7 11];;;
11;[0 0 4 7 11 14];;;
12;[0 0 3 7 10];[0 0 3 7 10];;
16;[5 0 4 7 10];[5 0 4 7 10];;
17;[5 0 4 7 10];;;
18;[5 0 4 7 10 17];;;
19;[5 0 4 7 10];;;
grouping;20;-------;-------;-------
20;[10 0 4 7 11 14];[10 0 4 7 11];;
22;[10 0 4 7 11];;;
24;[10 0 4 7 11];[10 0 4 7 11];;
25;[10 0 4 7 11];;;
26;[10 0 4 7 11];;;
27;[10 0 4 7 11 14];;;
28;[10 0 3 7 10];[10 0 3 7 10];;
32;[3 0 4 7 10];[3 0 4 7 10];;
33;[3 0 4 7 10];;;
34;[3 0 4 7 10 17];;;
35;[3 0 4 7 10];;;
grouping;36;-------;-------;-------
36;[8 0 4 7 11];[8 0 4 7 11];;
37;[8 0 4 7 11];;;
38;[8 0 4 7 11];;;
39;[8 0 4 7 11];;;
40;[2 0 3 7 10];[2 0 3 7 10];;
41;[2 0 3 7 10];;;
41.5;[2 0 3 7 10];;;
42;[7 0 4 7 10];[7 0 4 7 10];;
42.5;[7 0 4 7 10 17];;;
43;[7 0 4 7 10];;;
44;[0 0 3 7 10];[0 0 3 7 10];;
48;[5 0 3 7 10 21];[5 0 3 7 9];;
49.5;[5 0 3 7 9];;;
50;[7 0 4 7 10 13];[7 0 4 7 10 13];;
50.5;[7 0 4 7 5 10 13];;;
51;[7 0 4 7 10 13];;;
grouping;52;-------;-------;-------
52;[0 0 4 7 11];[0 0 4 7 11];;
56;[2 0 3 7 10 14];[2 0 3 7 10];;
57;[2 0 3 7 10];;;
58;[4 0 3 7 10 13];[7 0 4 7 10];;
59;[7 0 4 7 10];;;
60;[4 0 3 7 10];[4 0 3 7 10];;
61;[4 0 3 7 10];;;
62;[3 0 4 7 10];[3 0 4 7 10];;
63;[3 0 4 7 10];;;
64;[2 0 3 7 10 17];[2 0 3 7 10 17];;
65;[2 0 3 7 10 17];;;
66;[7 0 4 7 10 17];[7 0 4 7 10];;
67;[7 0 4 7 10];;;
grouping;68;-------;-------;-------
68;[0 0 4 7 11 14];[0 0 4 7 11];;
70;[0 0 4 7 11];;;
72;[0 0 4 7 11];[0 0 4 7 11];;
73;[0 0 4 7 11];;;
74;[0 0 4 7 11];;;
75;[0 0 4 7 11 14];;;
76;[0 0 3 7 10];[0 0 3 7 10];;
80;[5 0 4 7 10];[5 0 4 7 10];;
81;[5 0 4 7 10];;;
82;[5 0 4 7 10 17];;;
83;[5 0 4 7 10];;;
grouping;84;-------;-------;-------
84;[10 0 4 7 11 14];[10 0 4 7 11];;
86;[10 0 4 7 11];;;
88;[10 0 4 7 11];[10 0 4 7 11];;
89;[10 0 4 7 11];;;
90;[10 0 4 7 11];;;
91;[10 0 4 7 11 14];;;
92;[10 0 3 7 10];[10 0 3 7 10];;
96;[3 0 4 7 10];[3 0 4 7 10];;
97;[3 0 4 7 10];;;
98;[3 0 4 7 10 17];;;
99;[3 0 4 7 10];;;
grouping;100;-------;-------;-------
100;[8 0 4 7 11];[8 0 4 7 11];;
101;[8 0 4 7 11];;;
102;[8 0 4 7 11];;;
103;[8 0 4 7 11];;;
104;[2 0 3 7 10];[2 0 3 7 10];;
105;[2 0 3 7 10];;;
105.5;[2 0 3 7 10];;;
106;[7 0 4 7 10];[7 0 4 7 10];;
106.5;[7 0 4 7 10 17];;;
107;[7 0 4 7 10];;;
108;[0 0 4 7 11];[0 0 4 7 11];;
112;[2 0 3 7 10 14];[2 0 3 7 10];;
113;[2 0 3 7 10];;;
114;[4 0 3 7 10 4 13];[7 0 4 7 10 13];;
115;[7 0 4 7 10 13];;;
116;[4 0 3 7 10];[4 0 3 7 10];;
117;[4 0 3 7 10];;;
118;[3 0 4 7 10];[3 0 4 7 10];;
119;[3 0 4 7 10];;;
120;[2 0 3 7 10 17];[2 0 3 7 10 17];;
121;[2 0 3 7 10 17];;;
122;[7 0 4 7 10 17];[7 0 4 7 10];;
123;[7 0 4 7 10];;;
124;[9 0 3 7 10];[9 0 3 7 10];;
128;[2 0 3 7 10];[2 0 3 7 10];;
130;[7 0 4 7 10 17];[7 0 4 7 10 17];;
132;[0 0 4 7 11];[0 0 4 7 11];;
