time;surface;reduction;melodyPC;melodyMIDI
;;;;
tonality;2;[0 2 3 5 7 8 10];-------;-------
grouping;4;-------;-------;-------
4;[0 0 3 7];[0 0 3 7 17];;
1.5;[0 0 3 7 17];;;
2;[0 0 3 7];;;
2.5;[0 0 3 7 10];;;
3;[0 0 3 7];;;
3.5;[0 0 3 7];;;
4;[0 0 3 7 17];;;
6;[0 0 3 7 11 17];[0 0 3 7 11 17];;
8;[0 0 3 7 10 17];[0 0 3 7 10];;
9;[0 0 3 7 10];;;
9.5;[0 0 3 7 10 17];;;
10;[0 0 3 7 9];[0 0 3 7 9];;
10.5;[0 0 3 7 9 14];;;
11;[0 0 3 7 9];;;
11.5;[0 0 3 7 10 21];;;
12;[5 0 3 7 14];[5 0 3 7 14];;
13;[5 0 3 7];;;
13.5;[5 0 3 7 14];;;
14;[5 0 3 7 11 14];[5 0 3 7 11 14];;
16;[5 0 3 7 10 14];[5 0 3 7 10 14];;
17;[5 0 3 7 10 14];;;
17.5;[5 0 3 7 10 17];;;
18;[5 0 3 7 9];[5 0 3 7 9];;
18.5;[5 0 3 7 9 13];;;
19;[7 0 4 7 10];[7 0 4 7 10];;
19.5;[11 0 4 8 15 18];;;
grouping;20;-------;-------;-------
20;[0 0 3 7];[0 0 3 7];;
22;[0 0 3 7];;;
22.5;[0 0 3 7];;;
23;[0 0 3 7];;;
23.5;[0 0 3 7 10];;;
24;[0 0 4 7 10 14];[0 0 4 7 10 14];;
27;[0 0 4 7 10];;;
28;[5 0 3 7 10];[5 0 3 7 10];;
30;[4 0 3 7 10];[4 0 3 7 10];;
32;[3 0 4 7 11 14];[3 0 4 7 11 14];;
33;[3 0 4 7 11];[3 0 4 7 11];;
33.5;[3 0 4 7 11 14];;;
34;[3 0 4 7 11];[3 0 4 7 11];;
34.5;[3 0 4 7 11];;;
35;[0 0 3 7 10 14];[0 0 3 7 10 14];;
35.5;[3 0 4 7 11];;;
36;[3 0 4 7 11];[3 0 4 7 11];;
38;[3 0 3 7 10 13];[6 0 4 7 10];;
tonality;1;[0 2 4 5 7 9 11];-------;-------
grouping;40;-------;-------;-------
40;[0 0 4 7 11];[0 0 4 7 11];;
41;[9 0 3 7 10 14];;;
41.5;[0 0 4 7 11];;;
42;[9 0 3 7 10 17];[9 0 3 7 10];;
42.5;[9 0 3 7 10];;;
43;[9 0 3 7 10 14];[9 0 3 7 10];;
43.5;[9 0 3 7 10];;;
44;[2 0 3 7 10 14];[2 0 3 7 10 14];;
45;[2 0 3 7 10];;;
45.5;[2 0 3 7 10 14];;;
46;[7 0 4 7 10];[7 0 4 7 10];;
46.5;[7 0 4 7 10];;;
47;[4 0 3 7 10 13];[7 0 4 7 10];;
47.5;[7 0 4 7 10];;;
48;[0 0 4 7 11];[0 0 4 7 11];;
50;[1 0 4 8 15 18];[9 0 4 7 10 13];;
50.6667;[6 0 3 7 10 13];;;
51.3333;[9 0 4 7 10];;;
52;[2 0 4 7 8 10];[2 0 4 7 10];;
52.6667;[11 0 3 7 10 13];;;
53.3333;[2 0 4 7 10];;;
54;[7 0 4 7 10];[7 0 4 7 10];;
54.6667;[4 0 3 7 10 13];;;
55.3333;[7 0 4 7 10];;;
grouping;56;-------;-------;-------
56;[0 0 4 7 11];[0 0 4 7 11];;
57;[9 0 3 7 10 14];;;
57.5;[0 0 4 7 11];;;
58;[9 0 3 7 10 17];[9 0 3 7 10];;
58.5;[9 0 3 7 10];;;
59;[9 0 3 7 10 14];[9 0 3 7 10];;
59.5;[9 0 3 7 10];;;
60;[2 0 3 7 10 14];[2 0 3 7 10 14];;
61;[2 0 3 7 10];;;
61.5;[2 0 3 7 10 14];;;
62;[7 0 4 7 10];[7 0 4 7 10];;
62.5;[7 0 4 7 10];;;
63;[4 0 3 7 10 13];[7 0 4 7 10];;
63.5;[7 0 4 7 10];;;
tonality;2;[0 2 3 5 7 8 10];-------;-------
64;[5 0 3 7 10 17];[5 0 3 7 10 17];;
68;[10 0 4 7 10];[10 0 4 7 10];;
69;[10 0 4 7 10 17];;;
69.5;[10 0 4 7 10];;;
70;[7 0 3 7 10 13];;;
70.5;[10 0 4 7 10];;;
71;[10 0 4 7 10 14];;;
71.5;[10 0 4 7 10 17];;;
grouping;72;-------;-------;-------
72;[0 0 3 7 17];[0 0 3 7 17];;
74;[0 0 3 7 11 17];[0 0 3 7 11 17];;
76;[0 0 3 7 10 17];[0 0 3 7 10];;
77;[0 0 3 7 10];;;
