time;surface;reduction;melodyPC;melodyMIDI
;;;;
tonality;7;[0 2 3 5 7 8 10];-------;-------
grouping;2;-------;-------;-------
2;[0 0 3 7];[0 0 3 7];;
4;[0 0 3 7 11];[0 0 3 7 11];;
5;[0 0 3 7 11];;;
6;[0 0 3 7 10];[0 0 3 7 10];;
8;[5 0 4 7 10];[5 0 4 7 10];;
9;[5 0 4 7 10];;;
10;[8 0 4 7 10];[8 0 4 7 10];;
12;[7 0 4 7 10];[7 0 4 7 10];;
12.5;[7 0 4 7 8 10];;;
13.5;[7 0 4 7 10 17];;;
14;[0 0 3 7];[0 0 3 7];;
grouping;18;-------;-------;-------
18;[5 0 4 7 10];[5 0 4 7 10];;
19;[5 0 4 7 10];;;
19.5;[5 0 4 7 10];;;
20.5;[5 0 4 7 10];;;
21;[5 0 4 7 10];;;
22;[0 0 3 6 9];[0 0 3 6 9];;
22.5;[0 0 3 6 9];;;
23.5;[0 0 3 6 9];;;
24;[0 0 3 6 9];;;
25;[0 0 3 6 9];;;
25.5;[0 0 3 6 9];;;
26;[3 0 4 7];[3 0 4 7];;
26.5;[3 0 4 7];;;
27;[3 0 4 7];;;
28;[3 0 4 7];;;
28.5;[3 0 4 7];;;
29.5;[3 0 4 7];;;
30;[7 0 4 8 10];[7 0 4 8 10];;
33;[7 0 4 8 10];;;
34;[3 0 4 7];[3 0 4 7];;
37;[3 0 4 7 14];;;
tonality;3;[0 2 4 5 7 9 11];-------;-------
grouping;38;-------;-------;-------
38;[2 0 3 7 10];[2 0 3 7 10];;
39;[2 0 3 7 10];;;
40;[2 0 3 7 10];;;
40.5;[2 0 3 7 10 17];;;
41.5;[2 0 3 7 10];;;
42;[7 0 4 7 10 14];[7 0 4 7 10];;
43;[7 0 4 7 10];;;
44;[7 0 4 7 10 14];;;
44.5;[7 0 4 7 10];;;
46;[0 0 4 7 11];[0 0 4 7 11];;
50;[0 0 4 7 11];[0 0 4 7 11];;
53;[9 0 3 7 10 14];;;
tonality;7;[0 2 3 5 7 8 10];-------;-------
grouping;54;-------;-------;-------
54;[0 0 3 7 10 17];[0 0 3 7 10 17];;
55;[0 0 3 7 10 17];;;
56;[0 0 3 7 10 17];;;
56.5;[0 0 3 7 10 17];;;
58;[5 0 4 7 10];[5 0 4 7 10];;
59;[5 0 4 7 10];;;
60;[5 0 4 7 10];;;
60.5;[5 0 4 7 10];;;
62;[10 0 4 7 10];[10 0 4 7 10];;
66;[7 0 4 7 10 17];[7 0 4 7 10 17];;
69;[7 0 4 7 8 10];;;
grouping;70;-------;-------;-------
70;[0 0 3 7];[0 0 3 7];;
72;[0 0 3 7 11];[0 0 3 7 11];;
73;[0 0 3 7 11];;;
74;[0 0 3 7 10];[0 0 3 7 10];;
76;[5 0 4 7 10];[5 0 4 7 10];;
77;[5 0 4 7 10];;;
78;[8 0 4 7 10];[8 0 4 7 10];;
80;[7 0 4 7 10];[7 0 4 7 10];;
80.5;[7 0 4 7 8 10];;;
81.5;[7 0 4 7 10 17];;;
82;[0 0 3 7];[0 0 3 7];;
grouping;86;-------;-------;-------
86;[0 0 3 7];[0 0 3 7];;
87;[0 0 3 7];;;
87.5;[0 0 3 7];;;
88.5;[0 0 3 7];;;
89;[0 0 3 7];;;
90;[5 0 4 7 10];[5 0 4 7 10];;
90.5;[5 0 4 7 10];;;
91.5;[5 0 4 7 10];;;
92;[5 0 4 7 10];;;
93;[5 0 4 7 10];;;
93.5;[5 0 4 7 10];;;
94;[0 0 3 6 9];[0 0 3 6 9];;
94.5;[0 0 3 6 9];;;
95;[0 0 3 6 9];;;
96;[0 0 3 6 9];;;
96.5;[0 0 3 6 9];;;
97.5;[0 0 3 6 9];;;
98;[7 0 4 8 10];[7 0 4 8 10];;
102;[0 0 3 7];[0 0 3 7];;
