time;surface;reduction;melodyPC;melodyMIDI
;;;;
tonality;0;[0 2 3 5 7 8 10];-------;-------
grouping;2;-------;-------;-------
2;[0 0 3 7 10];[0 0 3 7 10];;
1.5;[0 0 3 7 10 17];;;
2;[0 0 3 7 10];;;
3.5;[0 0 3 7 10 14];;;
3.75;[0 0 3 7 10];;;
4;[2 0 3 7 10];[2 0 3 7 10];;
4.5;[2 0 3 7 10];;;
6;[3 0 4 7 11];[3 0 4 7 11];;
6.5;[0 0 3 7 10 14];;;
7;[3 0 4 7 11 18];;;
8;[2 0 3 7 10];[2 0 3 7 10];;
9;[2 0 3 7 10];;;
9.5;[10 0 4 7 11 14];;;
10;[0 0 3 7 10];[0 0 3 7 10];;
12;[2 0 3 7 10 17];[2 0 3 7 10 17];;
14;[3 0 4 7 11];[3 0 4 7 11];;
16;[2 0 3 7 10 17];[2 0 3 7 10 17];;
17;[2 0 3 7 10 17];;;
17.5;[2 0 3 7 10];;;
grouping;18;-------;-------;-------
18;[0 0 3 7 10];[0 0 3 7 10];;
19.5;[0 0 3 7 10 14];;;
19.75;[0 0 3 7 10];;;
20;[2 0 3 7 10];[2 0 3 7 10];;
20.5;[2 0 3 7 10];;;
22;[3 0 4 7 11];[3 0 4 7 11];;
22.5;[0 0 3 7 10 14];;;
23;[3 0 4 7 11 18];;;
24;[2 0 3 7 10];[2 0 3 7 10];;
25;[2 0 3 7 10];;;
25.5;[10 0 4 7 11 14];;;
26;[0 0 3 7 10];[0 0 3 7 10];;
28;[2 0 3 7 10 17];[2 0 3 7 10 17];;
30;[3 0 4 7 11];[3 0 4 7 11];;
32;[2 0 3 7 10 17];[2 0 3 7 10 17];;
33;[2 0 3 7 10];;;
33.5;[2 0 3 7 10];;;
grouping;34;-------;-------;-------
34;[0 0 3 7 10];[0 0 3 7 10];;
35.5;[0 0 3 7 10 14];;;
35.75;[0 0 3 7 10];;;
36;[10 0 4 7 10 14];[10 0 4 7 10 14];;
37.5;[10 0 4 7 10];;;
38;[3 0 4 7 11 14];[3 0 4 7 11 14];;
39.5;[3 0 4 7 11];;;
40;[8 0 4 7 11];[8 0 4 7 11];;
40.5;[8 0 4 7 11];;;
41.5;[8 0 4 7 11 18];;;
42;[8 0 4 7 10 18];[8 0 4 7 10 14];;
42.5;[5 0 3 7 10 13];;;
43;[8 0 4 7 10 14];;;
44;[9 0 4 7 10 13];[9 0 4 7 10 13];;
46;[8 0 4 7 10 14];[8 0 4 7 10];;
47.5;[8 0 4 7 10];;;
48;[7 0 4 7 10 13];[7 0 4 7 10];;
49.5;[7 0 4 7 10];;;
49.75;[7 0 4 7 10];;;
grouping;50;-------;-------;-------
50;[0 0 3 7 10];[0 0 3 7 10];;
51;[0 0 3 7 10];;;
52;[2 0 3 7 10];[2 0 3 7 10];;
53;[2 0 3 7 10];;;
54;[3 0 4 7 11];[3 0 4 7 11];;
55;[0 0 3 7 10 14];;;
55.5;[3 0 4 7 11];;;
56;[7 0 3 7 10];[7 0 3 7 10];;
57;[7 0 4 7 10];[7 0 4 7 10];;
58;[0 0 3 7 10];[0 0 3 7 10];;
60;[2 0 3 7 10];[2 0 3 7 10];;
62;[0 0 3 7 10 14];[0 0 3 7 10 14];;
64;[2 0 3 7 10];[2 0 3 7 10];;
65;[2 0 3 7 10 17];;;
65.5;[2 0 3 7 10];;;
66;[0 0 3 7 10];[0 0 3 7 10];;
