time;surface;reduction;melodyPC;melodyMIDI
;;;;
tonality;0;[0 2 3 5 7 8 10];-------;-------
grouping;0;-------;-------;-------
0;[0 0 3 7];[0 0 3 7];;
2;[0 0 3 7 14];;;
3;[0 0 3 7];;;
4;[0 0 3 7 11 14];[0 0 3 7 11 14];;
5.5;[0 0 3 7 11];;;
6;[0 0 3 7 11 14];;;
8;[0 0 3 7 10];[0 0 3 7 10];;
10;[0 0 3 7 10 14];;;
11;[0 0 3 7 10];;;
12;[0 0 3 7 9 14];[0 0 3 7 9 14];;
13.5;[0 0 3 7 9];;;
14;[0 0 3 7 9 14];;;
grouping;16;-------;-------;-------
16;[8 0 4 7 11];[8 0 4 7 11];;
18;[8 0 4 7 11 18];;;
19;[8 0 4 7 11];;;
20;[5 0 3 7 10 17];[5 0 3 7 10 17];;
22;[5 0 3 7 10];[5 0 3 7 10];;
23;[5 0 3 7 10 14];;;
24;[5 0 3 7 9];[5 0 3 7 9];;
28;[7 0 4 7 10 13];[7 0 4 7 10 13];;
grouping;32;-------;-------;-------
32;[0 0 3 7];[0 0 3 7];;
34;[0 0 3 7 17];;;
35;[0 0 3 7];;;
36;[0 0 3 7 11 17];[0 0 3 7 11 17];;
37.5;[0 0 3 7 11];;;
38;[0 0 3 7 11 17];;;
40;[0 0 3 7 10];[0 0 3 7 10];;
42;[0 0 3 7 10 17];;;
43;[0 0 3 7 10];;;
44;[5 0 4 7 10 14];[5 0 4 7 10 14];;
45.5;[0 0 3 7 9];;;
46;[5 0 4 7 10 14];;;
tonality;3;[0 2 4 5 7 9 11];-------;-------
grouping;48;-------;-------;-------
48;[5 0 4 7 11];[5 0 4 7 11];;
50;[2 0 3 7 10 14];;;
51;[5 0 4 7 11];;;
52;[2 0 3 7 10 21];[2 0 3 7 10 21];;
53.5;[2 0 3 7 10];;;
54;[2 0 3 7 10 17];[2 0 3 7 10 17];;
55.5;[2 0 3 7 10 16];;;
56;[2 0 3 7 10];[2 0 3 7 10];;
60;[7 0 4 7 10 13];[7 0 4 7 10 13];;
62;[4 0 3 7 10 4 13];;;
63;[7 0 4 7 10 13];;;
grouping;64;-------;-------;-------
64;[0 0 4 7 11];[0 0 4 7 11];;
65.5;[0 0 4 7 11];;;
66;[2 0 3 7 10];[2 0 3 7 10];;
67;[2 0 3 7 10 21];;;
68;[0 0 4 7 11 14];[0 0 4 7 11 14];;
70;[2 0 3 7 10];[2 0 3 7 10];;
71;[2 0 3 7 10 21];;;
72;[9 0 3 7 10 14];[9 0 3 7 10 14];;
73.5;[0 0 4 7 11];;;
74;[2 0 3 7 10];[2 0 3 7 10];;
75;[2 0 3 7 10 21];;;
76;[0 0 4 7 11 14];[0 0 4 7 11 14];;
78;[2 0 3 7 10];[2 0 3 7 10];;
79;[2 0 3 7 10 21];;;
tonality;0;[0 2 3 5 7 8 10];-------;-------
grouping;80;-------;-------;-------
80;[3 0 4 7 11];[3 0 4 7 11];;
81.5;[3 0 4 7 11];;;
82;[3 0 4 8 11 14];[3 0 4 8 11 14];;
83;[7 0 4 7 10];;;
84;[0 0 3 7];[0 0 3 7];;
86;[10 0 4 7 10];[10 0 4 7 10];;
87;[9 0 4 7 10];[9 0 4 7 10];;
88;[8 0 4 7 11];[8 0 4 7 11];;
92;[5 0 3 7 9];[5 0 3 7 9];;
94;[7 0 4 7 10 13];[7 0 4 7 10 13];;
grouping;96;-------;-------;-------
96;[0 0 3 7];[0 0 3 7];;
98;[0 0 3 7 14];;;
99;[0 0 3 7];;;
100;[0 0 3 7 11 14];[0 0 3 7 11 14];;
101.5;[0 0 3 7 11];;;
102;[0 0 3 7 11 14];;;
104;[0 0 3 7 10];[0 0 3 7 10];;
106;[0 0 3 7 10 17];;;
107;[0 0 3 7 10];;;
108;[5 0 4 7 10 14];[5 0 4 7 10 14];;
109.5;[0 0 3 7 9];;;
110;[5 0 4 7 10 14];;;
grouping;112;-------;-------;-------
112;[8 0 4 7 11];[8 0 4 7 11];;
114;[8 0 4 7 11 18];;;
115;[8 0 4 7 11];;;
116;[5 0 3 7 9];[5 0 3 7 9];;
117.5;[5 0 3 7 10 21];;;
118;[7 0 4 7 10 13];[7 0 4 7 10 13];;
120;[0 0 3 7];[0 0 3 7];;
124;[10 0 4 7 10 17];[10 0 4 7 10 17];;
126;[9 0 4 7 10 18];[9 0 4 7 10 18];;
grouping;128;-------;-------;-------
128;[8 0 4 7 11];[8 0 4 7 11];;
130;[5 0 3 7 10 14];;;
131;[8 0 4 7 11];;;
132;[5 0 3 7 10];[5 0 3 7 10];;
133.5;[5 0 3 7 10 14];;;
134;[10 0 4 7 10 13];[10 0 4 7 10 13];;
136;[0 0 3 7 10];[0 0 3 7 10];;
140;[5 0 3 7 9];[5 0 3 7 9];;
142;[7 0 4 7 10 13];[7 0 4 7 10 13];;
144;[0 0 3 7 10];[0 0 3 7 10];;
