time;surface;reduction;melodyPC;melodyMIDI
;;;;
tonality;0;[0 2 4 5 7 9 11];-------;-------
grouping;2;-------;-------;-------
2;[5 0 3 7 9 14];[5 0 3 7 9 14];;
1;[5 0 3 7 9 14];;;
1.5;[5 0 3 7 9 14];;;
2;[5 0 3 7 9 14];;;
6;[7 0 4 7 10];[7 0 4 7 10];;
8;[7 0 4 7 10];;;
8.6667;[4 0 3 7 10 13];;;
9.3333;[3 0 4 8 11 14];;;
10;[0 0 4 7 11];[0 0 4 7 11];;
14;[0 0 4 7 11];[0 0 4 7 11];;
16;[0 0 4 7 11];;;
17;[0 0 4 7 11];;;
17.5;[0 0 4 7 11];;;
grouping;18;-------;-------;-------
18;[5 0 3 7 9 14];[5 0 3 7 9 14];;
19;[5 0 3 7 9 14];;;
20;[5 0 3 7 9 14];;;
21;[5 0 3 7 9 14];;;
22;[7 0 4 7 10];[7 0 4 7 10];;
23;[7 0 4 7 10];;;
24;[7 0 4 7 10];;;
24.6667;[4 0 3 7 10 13];;;
25.3333;[3 0 4 8 11 14];;;
26;[0 0 4 7 11];[0 0 4 7 11];;
30;[0 0 4 7 11];[0 0 4 7 11];;
32;[0 0 4 7 11];;;
33.5;[0 0 4 7 11];;;
grouping;34;-------;-------;-------
34;[9 0 3 7 9];[9 0 3 7 9];;
35;[9 0 3 7 9];;;
36;[9 0 3 7 9];;;
37;[9 0 3 7 9];;;
38;[5 0 3 7 10];[5 0 3 7 10];;
40;[5 0 3 7 10];;;
40.5;[5 0 3 7 10];;;
41.5;[5 0 3 7 10];;;
42;[4 0 3 7 10];[4 0 3 7 10];;
43;[4 0 3 7 10];;;
44;[4 0 3 7 10];;;
45;[4 0 3 7 10];;;
46;[2 0 4 7 10 13];[9 0 3 6 9];;
47;[6 0 3 7 9 18];;;
47.5;[9 0 3 6 9];;;
48;[9 0 3 6 9];;;
49;[11 0 4 7 10 13];;;
50;[2 0 3 7 10];[2 0 3 7 10 17];;
51;[2 0 3 7 10 18];;;
51.5;[2 0 3 7 10 17];;;
52;[2 0 3 7 10 17];;;
54;[7 0 4 7 10];[7 0 4 7 10];;
56;[7 0 4 7 10];;;
57;[7 0 4 7 10];;;
57.5;[7 0 4 7 10];;;
58;[0 0 4 7 11];[0 0 4 7 11];;
62;[0 0 4 7 11];[0 0 4 7 11];;
64;[0 0 4 7 11];;;
65;[0 0 4 7 11];;;
65.5;[0 0 4 7 11];;;
66;[7 0 3 7 10 13];[7 0 3 7 10 13];;
68;[7 0 3 7 10 13];;;
69;[7 0 3 7 10 13];;;
grouping;70;-------;-------;-------
70;[3 0 4 7 10];[3 0 4 7 10];;
74;[3 0 4 7 10];[3 0 4 7 10];;
76;[3 0 4 7 10];;;
76.6667;[3 0 4 7 10 14];;;
77.3333;[3 0 4 7 10];;;
78;[0 0 4 7 11];[0 0 4 7 11];;
79;[0 0 4 7 11];;;
79.5;[0 0 4 7 11];;;
80;[0 0 4 7 11];;;
82;[0 0 4 7 11];[0 0 4 7 11];;
84;[0 0 4 7 11];;;
85.5;[0 0 4 7 11];;;
grouping;86;-------;-------;-------
86;[3 0 4 7 10];[3 0 4 7 10];;
86.5;[0 0 3 7 10 13];;;
87.5;[3 0 4 7 10];;;
88;[0 0 3 7 10 13];;;
89;[3 0 4 7 10];;;
89.5;[0 0 3 7 10 13];;;
90;[0 0 3 7 10 13];[3 0 4 7 10];;
90.5;[3 0 4 7 10];;;
91.5;[3 0 4 7 10];;;
92;[3 0 4 7 10];;;
92.6667;[3 0 4 7 10 14];;;
93.3333;[3 0 4 7 10];;;
94;[0 0 4 7 11];[0 0 4 7 11];;
95;[0 0 4 7 11];;;
95.5;[0 0 4 7 11];;;
96;[0 0 4 7 11];;;
98;[0 0 4 7 11];[0 0 4 7 11];;
100;[0 0 4 7 11];;;
101.5;[0 0 4 7 11];;;
grouping;102;-------;-------;-------
102;[9 0 3 7 9];[9 0 3 7 9];;
103;[9 0 3 7 9];;;
104;[9 0 3 7 9];;;
105;[9 0 3 7 9];;;
106;[5 0 3 7 10];[5 0 3 7 10];;
108;[5 0 3 7 10];;;
108.5;[5 0 3 7 10];;;
109.5;[5 0 3 7 10];;;
110;[4 0 3 7 10];[4 0 3 7 10];;
111;[4 0 3 7 10];;;
112;[4 0 3 7 10];;;
113;[4 0 3 7 10];;;
114;[2 0 4 7 10 13];[9 0 3 6 9];;
114.5;[6 0 3 7 9 18];;;
115;[9 0 3 6 9];;;
115.5;[11 0 4 7 10 13];;;
116;[11 0 4 7 10 13];;;
116.5;[3 0 3 7 9 18];;;
117;[9 0 3 6 9];;;
118;[2 0 3 7 10 17];[2 0 3 7 10 17];;
119;[2 0 3 7 10 17];;;
119.5;[2 0 3 7 10 17];;;
120;[2 0 3 7 10 17];;;
122;[7 0 4 7 10];[7 0 4 7 10];;
124;[7 0 4 7 10 17];;;
125;[7 0 4 7 10 17];;;
125.5;[7 0 4 7 10 17];;;
126;[0 0 4 7 11];[0 0 4 7 11];;
130;[2 0 4 7 10];[2 0 4 7 10];;
132;[7 0 4 7 10];[7 0 4 7 10];;
133;[7 0 4 7 10];;;
133.5;[7 0 4 7 10];;;
