time;surface;reduction;melodyPC;melodyMIDI
;;;;
tonality;3;[0 2 3 5 7 8 10];-------;-------
grouping;0;-------;-------;-------
0;[0 0 3 7 10];[0 0 3 7 10];;
1.25;[0 0 3 7 10];;;
1.5;[0 0 3 7 10 14];;;
1.75;[0 0 3 7 10];;;
2;[0 0 3 7 9];[0 0 3 7 9];;
3.5;[0 0 3 7 9];;;
4;[5 0 3 7 9];[5 0 3 7 9];;
5.5;[5 0 3 7 9 18];;;
5.75;[5 0 3 7 9];;;
6;[7 0 4 7 10];[7 0 4 7 10];;
6.5;[7 0 4 7 10];;;
8;[0 0 3 7 10];[0 0 3 7 10];;
9;[0 0 3 7 10];;;
9.25;[0 0 3 7 10];;;
9.5;[0 0 3 7 10];;;
9.75;[0 0 3 7 10];;;
10;[5 0 4 7 10];[5 0 4 7 10];;
11.5;[5 0 4 7 10];;;
12;[8 0 3 7 10];[8 0 3 7 10];;
12.5;[8 0 3 7 10];;;
12.75;[8 0 3 7 10];;;
13;[1 0 4 7 10];[1 0 4 7 10];;
14;[7 0 3 7 10];[7 0 3 7 10];;
14.5;[7 0 3 7 10];;;
14.75;[7 0 3 7 10];;;
15;[7 0 3 6 9];[7 0 3 6 9];;
grouping;16;-------;-------;-------
16;[5 0 3 7 10];[5 0 3 7 10];;
17;[5 0 3 7 10];;;
17.25;[5 0 3 7 10];;;
17.5;[5 0 3 7 10];;;
17.75;[5 0 3 7 10];;;
18;[10 0 4 7 10];[10 0 4 7 10];;
19.5;[10 0 4 7 10];;;
20;[0 0 3 7 10];[0 0 3 7 10];;
21;[0 0 3 7 10];;;
21.3333;[0 0 3 7 10 11];;;
21.6667;[0 0 3 7 10];;;
22;[5 0 4 7 10];[5 0 4 7 10];;
22.5;[5 0 4 7 10];;;
23.5;[5 0 4 7 10];;;
23.75;[2 0 3 7 10 13];;;
24;[8 0 4 7 10];[8 0 4 7 10];;
24.3333;[8 0 4 7 10];;;
24.6667;[8 0 4 7 10];;;
25;[8 0 4 7 10];;;
25.3333;[8 0 4 7 10 18];;;
25.6667;[8 0 4 7 10];;;
26;[8 0 4 7 10 18];;;
27.5;[8 0 4 7 10];;;
28;[7 0 4 7 10];[7 0 4 7 10];;
28.5;[7 0 4 7 10];;;
32;[8 0 4 7 10];[8 0 4 7 10];;
33;[8 0 4 7 10 18];;;
33.5;[8 0 4 7 10];;;
34;[7 0 4 7 10];[7 0 4 7 10];;
35;[7 0 4 7 10 17];;;
35.5;[7 0 3 7 10 16];;;
36;[0 0 3 7 10];[0 0 3 7 10];;
39;[0 0 3 7 10];;;
39.5;[0 0 3 7 10 14];;;
grouping;40;-------;-------;-------
40;[0 0 3 7 9];[0 0 3 7 9];;
41;[0 0 3 7 9 14];;;
41.5;[0 0 3 7 9];;;
42;[2 0 4 7 10 13];[2 0 4 7 10 13];;
43.5;[2 0 4 7 10 13];;;
44;[7 0 4 7 10];[7 0 4 7 10];;
44.5;[7 0 4 7 10];;;
47;[7 0 4 7 10 17];;;
47.5;[7 0 4 7 10];;;
48;[0 0 3 7 9];[0 0 3 7 9];;
49;[0 0 3 7 9 14];;;
49.5;[0 0 3 7 9];;;
50;[2 0 4 7 10 13];[2 0 4 7 10 13];;
51.5;[2 0 4 7 10 13];;;
52;[7 0 4 7 10];[7 0 4 7 10];;
52.5;[7 0 4 7 10];;;
55;[7 0 4 7 10];;;
grouping;56;-------;-------;-------
56;[5 0 3 7 10];[5 0 3 7 10];;
57;[10 0 4 7 10];[10 0 4 7 10];;
57.5;[10 0 4 7 10];;;
58;[3 0 4 7 11];[3 0 4 7 11];;
59.5;[3 0 4 7 11];;;
60;[5 0 3 7 10 13];[8 0 4 7 10];;
61;[8 0 4 7 10];;;
62;[7 0 4 7 10];[7 0 4 7 10];;
63.5;[7 0 4 7 10];;;
64;[0 0 4 7 10];[0 0 4 7 10];;
64.5;[0 0 4 7 10];;;
65;[0 0 4 7 10];;;
66;[10 0 4 7 10];[10 0 4 7 10];;
66.5;[10 0 4 7 10];;;
67;[10 0 4 7 10];;;
68;[8 0 4 7 10];[8 0 4 7 10];;
69;[8 0 4 7 10];;;
69.5;[8 0 4 7 10 15];;;
70;[7 0 4 7 10];[7 0 4 7 10];;
70.5;[7 0 4 7 10];;;
71;[7 0 4 7 10 18];;;
71.5;[7 0 4 7 10];;;
grouping;72;-------;-------;-------
72;[0 0 3 7 10];[0 0 3 7 10];;
73;[0 0 3 7 10];;;
73.25;[0 0 3 7 10];;;
73.5;[0 0 3 7 10 14];;;
73.75;[0 0 3 7 10];;;
74;[0 0 3 7 9];[0 0 3 7 9];;
75.5;[0 0 3 7 9];;;
76;[5 0 3 7 9];[5 0 3 7 9];;
77.5;[5 0 3 7 9 18];;;
77.75;[5 0 3 7 9];;;
78;[7 0 4 7 10];[7 0 4 7 10];;
78.5;[7 0 4 7 10];;;
80;[0 0 3 7 10];[0 0 3 7 10];;
81;[0 0 3 7 10];;;
81.25;[0 0 3 7 10];;;
81.5;[0 0 3 7 10];;;
81.75;[0 0 3 7 10];;;
82;[5 0 4 7 10];[5 0 4 7 10];;
83.5;[5 0 4 7 10];;;
84;[8 0 3 7 10];[8 0 3 7 10];;
84.5;[8 0 3 7 10];;;
84.75;[8 0 3 7 10];;;
85;[1 0 4 7 10];[1 0 4 7 10];;
86;[7 0 3 7 10];[7 0 3 7 10];;
86.5;[7 0 3 7 10];;;
86.75;[7 0 3 7 10];;;
87;[7 0 3 6 9];[7 0 3 6 9];;
grouping;88;-------;-------;-------
88;[5 0 3 7 10];[5 0 3 7 10];;
89;[5 0 3 7 10];;;
89.25;[5 0 3 7 10];;;
89.5;[5 0 3 7 10];;;
89.75;[5 0 3 7 10];;;
90;[10 0 4 7 10];[10 0 4 7 10];;
91.5;[10 0 4 7 10];;;
92;[0 0 3 7 10];[0 0 3 7 10];;
93;[0 0 3 7 10];;;
93.3333;[0 0 3 7 10 11];;;
93.6667;[0 0 3 7 10];;;
94;[5 0 4 7 10];[5 0 4 7 10];;
94.5;[5 0 4 7 10];;;
95.5;[5 0 4 7 10];;;
95.75;[2 0 3 7 10 13];;;
96;[8 0 4 7 10];[8 0 4 7 10];;
97;[8 0 4 7 10 18];;;
97.5;[8 0 4 7 10];;;
98;[7 0 4 7 10];[7 0 4 7 10];;
99;[7 0 4 7 10 17];;;
99.5;[7 0 3 7 10 16];;;
100;[0 0 3 7 10];[0 0 3 7 10];;
