time;surface;reduction;melodyPC;melodyMIDI
;;;;
tonality;0;[0 2 3 5 7 8 10];-------;-------
grouping;0;-------;-------;-------
0;[0 0 3 7];[0 0 3 7];;
2;[0 0 3 7 11];;;
3;[0 0 3 7 14];;;
3.5;[0 0 3 7];;;
4;[0 0 3 7];[0 0 3 7];;
4.5;[0 0 3 7];;;
5;[0 0 3 7];;;
6;[0 0 3 7];;;
7.5;[0 0 3 7 9];;;
8;[7 0 3 7 10];[7 0 3 7 10];;
9;[7 0 3 7 10];;;
9.5;[7 0 3 7 10];;;
10;[7 0 3 7 10 14];;;
11;[7 0 3 7 10 17];;;
11.5;[7 0 3 7 10];;;
12;[0 0 4 7 10];[0 0 4 7 10];;
grouping;16;-------;-------;-------
16;[5 0 4 7 11];[5 0 4 7 11];;
16.5;[5 0 4 7 11];;;
18;[5 0 4 7 11 15];;;
19;[5 0 4 7 11 17];;;
19.5;[5 0 4 7 11];;;
20;[5 0 4 7 11];[5 0 4 7 11];;
20.5;[5 0 4 7 11];;;
21;[5 0 4 7 11];;;
23;[5 0 4 7 11];;;
23.5;[5 0 4 7 11 14];;;
24;[5 0 3 7 10];[5 0 3 7 10];;
25;[5 0 3 7 10];;;
25.5;[5 0 3 7 10];;;
26;[5 0 3 7 10 14];;;
27;[5 0 3 7 10 17];;;
27.5;[5 0 3 7 10];;;
28;[10 0 4 7 10];[10 0 4 7 10];;
31.5;[7 0 3 7 10 13];;;
grouping;32;-------;-------;-------
32;[3 0 4 7 11];[3 0 4 7 11];;
33;[3 0 4 7 11 14];;;
33.5;[3 0 4 7 11];;;
34;[3 0 4 7 11];[0 0 3 7 10 14];;
34.5;[0 0 3 7 10 14];;;
35.5;[3 0 4 7 11 15];;;
36;[3 0 3 7 10];[3 0 3 7 10];;
37;[3 0 3 7 10 14];;;
37.5;[3 0 3 7 10];;;
38;[8 0 4 7 10 17];[8 0 4 7 10];;
38.5;[8 0 4 7 10];;;
39.5;[5 0 3 7 10 13];;;
40;[1 0 4 7 11];[1 0 4 7 11];;
44;[5 0 3 7 9];[5 0 3 7 9];;
44.5;[5 0 3 7 9];;;
45;[5 0 3 7 10 21];;;
45.5;[5 0 3 7 9];;;
46;[7 0 4 7 10 13];[7 0 4 7 10 13];;
46.5;[7 0 4 7 10 13];;;
47;[7 0 4 7 10 13];[7 0 4 7 10 13];;
48;[0 0 3 7];[0 0 3 7];;
