time;surface;reduction;melodyPC;melodyMIDI
;;;;
tonality;1;[0 2 4 5 7 9 11];-------;-------
grouping;2;-------;-------;-------
2;[0 0 4 7 11];[0 0 4 7 11];;
1;[9 0 3 7 10 14];;;
2;[0 0 4 7 11];;;
3;[0 0 4 7 11];;;
4;[0 0 4 7 11];;;
6;[0 0 4 7 11];[0 0 4 7 11];;
8;[9 0 3 7 10];[9 0 3 7 10];;
10;[2 0 4 7 10];[2 0 4 7 10];;
14;[2 0 4 7 10 14];[2 0 4 7 10 14];;
17;[2 0 4 7 10];;;
grouping;18;-------;-------;-------
18;[2 0 3 7 10];[2 0 3 7 10 17];;
19;[2 0 3 7 10 17];;;
20;[2 0 3 7 10 17];;;
22;[7 0 4 7 10];[7 0 4 7 10];;
23;[7 0 4 7 10];;;
24;[7 0 4 7 10];;;
25;[4 0 3 7 10 13];;;
26;[0 0 4 7 11];[0 0 4 7 11];;
30;[0 0 4 8 18];[0 0 4 8 18];;
32;[7 0 4 7 10];[7 0 4 7 10];;
33;[7 0 4 7 10 14];;;
34;[0 0 4 7 11];[0 0 4 7 11];;
36;[0 0 4 7 10];[0 0 4 7 10];;
37.5;[9 0 3 7 10 13];;;
tonality;6;[0 2 4 5 7 9 11];-------;-------
grouping;38;-------;-------;-------
38;[0 0 4 7 11];[0 0 4 7 11];;
38.5;[0 0 4 7 11];;;
39;[0 0 4 7 11];;;
40;[0 0 4 7 11];;;
41.5;[0 0 4 7 11];;;
42;[4 0 3 6 9];[4 0 3 6 9];;
42.5;[4 0 3 6 9];;;
43;[4 0 3 6 9];;;
44;[4 0 3 6 9];;;
45.5;[4 0 3 6 9];;;
46;[4 0 3 7 10];[4 0 3 7 10];;
46.6667;[4 0 3 7 10];;;
47.3333;[4 0 3 7 10];;;
48;[4 0 3 7 10];;;
49;[4 0 3 7 10];;;
50;[2 0 3 7 10];[2 0 3 7 10];;
52;[7 0 4 7 10 14];[7 0 4 7 10 14];;
53.5;[4 0 3 7 10 13];;;
grouping;54;-------;-------;-------
54;[0 0 4 7 11];[0 0 4 7 11];;
54.5;[0 0 4 7 11];;;
55;[0 0 4 7 11];;;
56;[0 0 4 7 11];;;
57.5;[0 0 4 7 11];;;
58;[4 0 3 6 9];[4 0 3 6 9];;
58.5;[4 0 3 6 9];;;
59;[4 0 3 6 9];;;
60;[4 0 3 6 9];;;
61.5;[4 0 3 6 9];;;
62;[4 0 3 7 10];[4 0 3 7 10];;
62.6667;[4 0 3 7 10];;;
63.3333;[4 0 3 7 10];;;
64;[4 0 3 7 10 13];[4 0 3 7 10 13];;
65;[4 0 3 7 10 13];;;
tonality;1;[0 2 4 5 7 9 11];-------;-------
66;[2 0 3 7 10];[2 0 3 7 10];;
68;[11 0 4 8 18];[11 0 4 8 18];;
69;[11 0 4 8 10 18];;;
grouping;70;-------;-------;-------
70;[0 0 4 7 11];[0 0 4 7 11];;
71;[0 0 4 7 11];;;
72;[2 0 3 7 10 21];[2 0 3 7 10 21];;
73;[11 0 4 7 10 13];[11 0 4 7 10 13];;
74;[0 0 4 7 11];[0 0 4 7 11];;
76;[0 0 4 6 10];[0 0 4 6 10];;
78;[5 0 4 7 11];[5 0 4 7 11];;
82;[2 0 4 7 10 14];[2 0 4 7 10 14];;
85;[9 0 4 7 10];[9 0 4 7 10];;
grouping;86;-------;-------;-------
86;[2 0 3 7 10];[2 0 3 7 10 17];;
87;[2 0 3 7 10 17];;;
88;[2 0 3 7 10 17];;;
90;[7 0 4 7 10];[7 0 4 7 10];;
91;[7 0 4 7 10];;;
92;[7 0 4 7 10];;;
93;[7 0 4 7 10];;;
94;[0 0 4 7 11];[0 0 4 7 11];;
98;[2 0 3 7 10];[2 0 3 7 10];;
100;[7 0 4 7 10];[7 0 4 7 10];;
