time;surface;reduction;melodyPC;melodyMIDI
;;;;
tonality;10;[0 2 4 5 7 9 11];-------;-------
grouping;0;-------;-------;-------
0;[0 0 4 7 11];[0 0 4 7 11];;
3;[4 0 4 7 8 10];[4 0 4 7 8 10];;
5;[4 0 4 7 10];;;
6;[5 0 4 7 11 18];[5 0 4 7 11];;
8;[5 0 4 7 11];;;
9;[5 0 4 8 14];[5 0 4 8 14];;
12;[2 0 3 7 10];[2 0 3 7 10];;
15;[5 0 4 8 14];[5 0 4 8 14];;
17;[5 0 4 8 14];;;
18;[2 0 4 7 10 14];[2 0 4 7 10];;
20;[2 0 4 7 10];;;
21;[7 0 4 7 10];[7 0 4 7 10];;
22;[4 0 3 7 10 13];;;
23;[7 0 4 7 10];;;
grouping;24;-------;-------;-------
24;[4 0 3 7 10];[4 0 3 7 10];;
26;[4 0 3 7 10];;;
27;[11 0 4 7 10 13];[11 0 4 7 10 13];;
29;[11 0 4 7 10 13];;;
30;[2 0 3 7 10 17];[2 0 3 7 10 17];;
33;[7 0 4 7 10];[7 0 4 7 10];;
34;[4 0 3 7 10 13];;;
35;[7 0 4 7 10];;;
grouping;36;-------;-------;-------
36;[4 0 3 7 10];[4 0 3 7 10];;
38;[4 0 3 7 10];;;
39;[11 0 4 7 10 13];[11 0 4 7 10 13];;
41;[11 0 4 7 10 13];;;
42;[2 0 3 7 10 17];[2 0 3 7 10 17];;
45;[7 0 4 7 10];[7 0 4 7 10];;
grouping;48;-------;-------;-------
48;[7 0 3 7 10];[7 0 3 7 10];;
49.5;[7 0 3 7 10 11];;;
50;[7 0 3 7 10];;;
51;[0 0 4 7 10 14];[0 0 4 7 10];;
53;[0 0 4 7 10];;;
54;[2 0 3 7 10];[5 0 4 7];;
55;[5 0 4 7];;;
56;[2 0 3 7 10];;;
57;[11 0 4 7 10 13];[9 0 3 6 9];;
59;[9 0 3 6 9];;;
grouping;60;-------;-------;-------
60;[0 0 4 7];[0 0 4 7];;
62;[0 0 4 7 17];;;
63;[2 0 3 7 10 14 17];[2 0 3 7 10 14 17];;
65;[7 0 4 7 10];[7 0 4 7 10];;
66;[0 0 4 7];[0 0 4 7];;
69;[0 0 4 7];[0 0 4 7];;
