time;surface;reduction;melodyPC;melodyMIDI
;;;;
tonality;8;[0 2 4 5 7 9 11];-------;-------
1;[9 0 3 7 10 13];[9 0 3 7 10 13];;
grouping;2;-------;-------;-------
2;[2 0 3 7 10];[2 0 3 7 10];;
4;[2 0 3 7 10];;;
4.5;[2 0 3 7 10];;;
5;[2 0 3 7 10 14];;;
5.5;[2 0 3 7 10 17];;;
6;[10 0 4 7 10];[10 0 4 7 10];;
7;[9 0 4 7 10];[9 0 4 7 10];;
8;[8 0 4 7 10];[8 0 4 7 10];;
9;[7 0 4 7 10];[7 0 4 7 10];;
9.5;[4 0 3 7 10 13];;;
10;[11 0 4 7 10 13];[11 0 4 7 10 13];;
12;[0 0 4 7 11];[0 0 4 7 11];;
12.5;[9 0 3 7 10 14];;;
13;[0 0 4 7 11];;;
13.5;[0 0 4 7 11];;;
14;[0 0 4 7 10];[0 0 4 7 10];;
15;[11 0 4 7 10];[11 0 4 7 10];;
16;[10 0 4 7 10];[10 0 4 7 10];;
17;[9 0 4 7 10];[9 0 4 7 10];;
17.5;[9 0 4 7 10];;;
18;[2 0 4 7 10];[2 0 4 7 10];;
20;[2 0 4 7 10];;;
20.5;[11 0 3 7 10 13];;;
21;[2 0 4 7 10];;;
21.5;[2 0 4 7 10 14];;;
22;[2 0 3 7 10 17];[2 0 3 7 10 14];;
22.3333;[2 0 3 7 10 14];;;
22.6667;[2 0 3 7 10 17];;;
23;[2 0 3 7 10 14];;;
24;[4 0 3 7 10 13];[7 0 4 7 10];;
25;[7 0 4 7 10];;;
grouping;26;-------;-------;-------
26;[0 0 4 7 11];[0 0 4 7 11];;
29;[0 0 4 7 11];;;
30;[0 0 4 7 10];[0 0 4 7 10];;
33;[9 0 4 7 10 13];[9 0 4 7 10 13];;
34;[0 0 4 7 11];[0 0 4 7 11];;
34.5;[9 0 3 7 10 14];;;
35;[0 0 4 7 11];;;
tonality;7;[0 2 4 5 7 9 11];-------;-------
38;[5 0 3 7 9];[5 0 3 7 9];;
40;[7 0 4 7 10 13];[7 0 4 7 10 13];;
grouping;42;-------;-------;-------
42;[0 0 4 7 11];[0 0 4 7 11];;
42.5;[0 0 4 7 11];;;
43.5;[0 0 4 7 11];;;
44;[9 0 3 7 10];[9 0 3 7 10];;
45;[9 0 3 7 10];;;
45.5;[9 0 3 7 10];;;
46;[2 0 3 7 10];[2 0 3 7 10];;
46.5;[2 0 3 7 10];;;
47;[2 0 3 7 10 14];;;
48;[7 0 4 7 10];[7 0 4 7 10];;
48.5;[7 0 4 7 10 14];;;
49.5;[7 0 4 7 8 10];;;
50;[0 0 4 7 10];[0 0 4 7 10];;
50.5;[0 0 4 7 10];;;
51;[0 0 4 7 10];;;
52;[4 0 3 6 9];[4 0 3 6 9];;
54;[2 0 3 7 10];[2 0 3 7 10];;
54.5;[2 0 3 7 10];;;
55;[2 0 3 7 10 18];;;
56;[7 0 4 7 10 13];[7 0 4 7 10 13];;
grouping;58;-------;-------;-------
58;[0 0 4 7 11];[0 0 4 7 11];;
58.5;[0 0 4 7 11];;;
59.5;[0 0 4 7 11];;;
60;[9 0 3 7 10];[9 0 3 7 10];;
61;[9 0 3 7 10];;;
61.5;[9 0 3 7 10];;;
62;[2 0 3 7 10];[2 0 3 7 10];;
62.5;[2 0 3 7 10];;;
63;[2 0 3 7 10 14];;;
64;[7 0 4 7 10];[7 0 4 7 10];;
64.5;[7 0 4 7 10 14];;;
65.5;[7 0 4 7 8 10];;;
66;[0 0 4 7 10];[0 0 4 7 10];;
67;[0 0 4 7 10];;;
67.5;[0 0 4 7 10 13];;;
68;[5 0 3 7 10];[5 0 3 7 10];;
68.5;[5 0 3 7 10];;;
69;[5 0 3 7 10];;;
tonality;8;[0 2 4 5 7 9 11];-------;-------
70;[7 0 4 7 10 14];[7 0 4 7 10 14];;
70.5;[7 0 4 7 10];;;
71;[7 0 4 7 10];;;
71.5;[7 0 4 7 10];;;
72;[7 0 3 7 9];[7 0 3 7 9];;
72.5;[7 0 3 7 9];;;
73;[9 0 4 7 10 13];[9 0 4 7 10 13];;
74;[0 0 4 7 11];[0 0 4 7 11];;
