time;surface;reduction;melodyPC;melodyMIDI
;;;;
tonality;0;[0 2 4 5 7 9 11];-------;-------
grouping;0;-------;-------;-------
0;[0 0 4 7];[0 0 4 7];;
4;[0 0 4 7];[0 0 4 7];;
4.5;[0 0 4 7];;;
6;[0 0 4 7];;;
7;[0 0 4 7];;;
8;[0 0 4 8 5 14];[5 0 3 7 9];;
8.5;[5 0 3 7 9];;;
9;[5 0 3 7 9];;;
12;[5 0 3 7 9];[5 0 3 7 9];;
grouping;16;-------;-------;-------
16;[2 0 3 7 10];[2 0 3 7 10];;
20;[7 0 4 7 10 14];[7 0 4 7 10];;
20.5;[7 0 4 7 10 15];;;
21;[7 0 4 7 10];;;
21.5;[4 0 3 7 10 13];;;
22;[7 0 4 7 10];[7 0 4 7 10];;
22.5;[7 0 4 7 11 22];;;
23;[7 0 4 7 10];;;
23.5;[7 0 4 7 10 18];;;
24;[0 0 4 7];[0 0 4 7];;
24.5;[0 0 4 7];;;
25;[0 0 4 7];;;
28;[0 0 4 7];[0 0 4 7];;
32;[0 0 4 7 10];[0 0 4 7 10];;
grouping;36;-------;-------;-------
36;[5 0 4 7];[5 0 4 7];;
36.5;[5 0 4 7];;;
37;[5 0 4 7];;;
40;[5 0 4 7 11];[5 0 4 7];;
40.5;[5 0 4 7];;;
42;[5 0 4 7];[5 0 4 7];;
43;[5 0 4 7];;;
44;[5 0 4 7 11];[5 0 4 7];;
44.5;[5 0 4 7];;;
45;[5 0 4 7];;;
48;[5 0 4 7];[5 0 4 7];;
grouping;52;-------;-------;-------
52;[2 0 4 7 10];[2 0 4 7 10];;
52.5;[2 0 4 7 10];;;
53;[2 0 4 7 10];;;
56;[2 0 4 7 10 14];[2 0 4 7 10];;
56.5;[2 0 4 7 10];;;
58;[2 0 4 7 10];[2 0 4 7 10];;
59;[2 0 4 7 10];;;
60;[2 0 3 7 10 14];[2 0 3 7 10];;
60.5;[2 0 3 7 10];;;
61;[2 0 3 7 10];;;
64;[7 0 4 7 10 14];[7 0 4 7 10 14];;
66;[7 0 4 7 10 13];[7 0 4 7 10 13];;
grouping;68;-------;-------;-------
68;[0 0 4 7];[0 0 4 7];;
72;[0 0 4 7];[0 0 4 7];;
72.5;[0 0 4 7];;;
74;[0 0 4 7];;;
75;[0 0 4 7];;;
76;[0 0 4 8 5 14];[5 0 3 7 9];;
76.5;[5 0 3 7 9];;;
77;[5 0 3 7 9];;;
80;[5 0 3 7 9];[5 0 3 7 9];;
grouping;84;-------;-------;-------
84;[2 0 3 7 10];[2 0 3 7 10];;
88;[7 0 4 7 10 14];[7 0 4 7 10];;
88.5;[7 0 4 7 10 15];;;
89;[7 0 4 7 10];;;
89.5;[4 0 3 7 10 13];;;
90;[7 0 4 7 10];[7 0 4 7 10];;
90.5;[7 0 4 7 11 22];;;
91;[7 0 4 7 10];;;
91.5;[7 0 4 7 10 18];;;
92;[0 0 4 7];[0 0 4 7];;
92.5;[0 0 4 7];;;
93;[0 0 4 7];;;
96;[0 0 4 7];[0 0 4 7];;
100;[0 0 4 7];[0 0 4 7];;
100.5;[0 0 4 7];;;
102;[0 0 4 7 17];;;
103;[0 0 4 7 18];;;
104;[0 0 4 7];[0 0 4 7];;
104.5;[9 0 3 7 10];;;
105;[0 0 4 7 11];;;
105.5;[0 0 4 7];;;
106;;[0 0 4 7];;
107;[0 0 4 7];;;
